Date,rate_PFE,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-1.87,0.0,0.0
2022-01-05,-0.9,0.0,0.0
2022-01-06,-1.59,0.0,0.0
2022-01-07,-0.82,-1.036,0.0
2022-01-10,-0.36,-1.108,0.0
2022-01-11,0.24,-0.686,0.0
2022-01-12,0.18,-0.47000000000000003,0.0
2022-01-13,-1.29,-0.41,0.0
2022-01-14,-2.07,-0.66,0.0
2022-01-18,-3.18,-1.2240000000000002,0.0
2022-01-19,-3.94,-2.06,0.0
2022-01-20,-3.26,-2.748,0.0
2022-01-21,-4.93,-3.476,0.0
2022-01-24,-6.59,-4.38,0.0
2022-01-25,-5.02,-4.747999999999999,0.0
2022-01-26,-4.28,-4.816,0.0
2022-01-27,-3.72,-4.9079999999999995,0.0
2022-01-28,-2.21,-4.364,0.0
2022-01-31,-4.79,-4.004,-2.52
2022-02-01,-4.02,-3.804,-2.721
2022-02-02,-2.73,-3.4939999999999998,-2.7640000000000002
2022-02-03,-3.51,-3.4519999999999995,-2.8945
2022-02-04,-4.13,-3.836,-3.0215
2022-02-07,-3.79,-3.636,-3.17
2022-02-08,-6.38,-4.108,-3.471
2022-02-09,-6.78,-4.918,-3.822
2022-02-10,-8.27,-5.87,-4.2445
2022-02-11,-7.96,-6.636,-4.577999999999999
2022-02-14,-9.65,-7.808,-4.957
2022-02-15,-9.66,-8.463999999999999,-5.281
2022-02-16,-9.86,-9.080000000000002,-5.577
2022-02-17,-11.23,-9.672,-5.975499999999999
2022-02-18,-11.89,-10.458,-6.3235
2022-02-22,-13.65,-11.258,-6.6765
2022-02-23,-14.81,-12.288,-7.1659999999999995
2022-02-24,-16.42,-13.6,-7.773000000000001
2022-02-25,-13.31,-14.016,-8.2525
2022-02-28,-14.69,-14.575999999999999,-8.8765
2022-03-01,-16.31,-15.108,-9.452499999999999
2022-03-02,-12.93,-14.732,-9.898
2022-03-03,-12.7,-13.988,-10.3965
2022-03-04,-11.28,-13.581999999999999,-10.785
2022-03-07,-12.44,-13.132,-11.2005
2022-03-08,-13.4,-12.549999999999999,-11.681000000000001
2022-03-09,-11.07,-12.177999999999999,-11.9155
2022-03-10,-10.27,-11.692,-12.09
2022-03-11,-8.37,-11.11,-12.095
2022-03-14,-4.86,-9.594,-11.94
2022-03-15,-4.93,-7.9,-11.703999999999999
2022-03-16,-3.65,-6.4159999999999995,-11.4035
2022-03-17,-1.28,-4.617999999999999,-10.9745
2022-03-18,-0.8,-3.104,-10.453
2022-03-21,-1.37,-2.406,-9.927
2022-03-22,-3.45,-2.1100000000000003,-9.417
2022-03-23,-4.99,-2.378,-8.925999999999998
2022-03-24,-4.26,-2.974,-8.318000000000001
2022-03-25,-3.92,-3.5980000000000003,-7.8485
2022-03-28,-3.02,-3.928,-7.265000000000001
2022-03-29,-3.99,-4.036,-6.648999999999999
2022-03-30,-4.54,-3.946,-6.2295
2022-03-31,-5.75,-4.244,-5.882
2022-04-01,-5.93,-4.645999999999999,-5.6145000000000005
2022-04-04,-7.04,-5.45,-5.344499999999999
2022-04-05,-6.51,-5.954,-5.0
2022-04-06,-3.59,-5.763999999999999,-4.6259999999999994
2022-04-07,0.51,-4.5120000000000005,-4.087
2022-04-08,0.53,-3.22,-3.6420000000000003
2022-04-11,-1.69,-2.1499999999999995,-3.4834999999999994
2022-04-12,-3.17,-1.482,-3.3954999999999997
2022-04-13,-3.19,-1.402,-3.3724999999999996
2022-04-14,-3.15,-2.134,-3.4659999999999997
2022-04-18,-5.46,-3.3319999999999994,-3.6989999999999994
2022-04-19,-8.47,-4.688,-4.054
2022-04-20,-9.25,-5.904000000000001,-4.344
2022-04-21,-10.41,-7.348000000000001,-4.615
2022-04-22,-12.19,-9.156,-5.0115
2022-04-25,-10.7,-10.203999999999999,-5.3505
2022-04-26,-10.56,-10.622,-5.727500000000001
2022-04-27,-9.27,-10.626000000000001,-5.9915
2022-04-28,-7.87,-10.117999999999999,-6.158
2022-04-29,-10.48,-9.776,-6.3945
2022-05-02,-11.47,-9.93,-6.6715
2022-05-03,-9.76,-9.77,-6.8075
2022-05-04,-9.1,-9.736,-6.936999999999999
2022-05-05,-11.27,-10.416,-7.321000000000001
2022-05-06,-10.21,-10.361999999999998,-7.857000000000001
2022-05-09,-10.93,-10.254,-8.43
2022-05-10,-9.39,-10.18,-8.815000000000001
2022-05-11,-9.46,-10.251999999999999,-9.1295
2022-05-12,-7.76,-9.55,-9.358
2022-05-13,-8.61,-9.23,-9.630999999999998
2022-05-16,-7.25,-8.494,-9.7205
2022-05-17,-6.03,-7.822,-9.5985
2022-05-18,-7.74,-7.478,-9.523
2022-05-19,-7.29,-7.384,-9.367
2022-05-20,-3.98,-6.458,-8.9565
2022-05-23,-3.23,-5.654,-8.583
2022-05-24,-2.26,-4.9,-8.168
2022-05-25,-1.72,-3.696,-7.7905
2022-05-26,-1.21,-2.48,-7.4575000000000005
2022-05-27,-1.35,-1.954,-7.0009999999999994
2022-05-31,-2.94,-1.8960000000000001,-6.574499999999999
2022-06-01,-4.05,-2.254,-6.289
2022-06-02,-3.49,-2.6079999999999997,-6.0085
2022-06-03,-2.54,-2.874,-5.572
2022-06-06,-2.43,-3.0900000000000003,-5.183
