Date,rate_BAC,rate_VOO,Sector,rate_BLK,rate_C,rate_COIN,rate_JPM,rate_MA,rate_MS,rate_PYPL,rate_V
2022-01-03,0.0,0.0,Financial Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,1.96,-0.02,Financial Services,0.3,0.39,-0.18,1.88,0.6,2.03,-0.97,0.23
2022-01-05,1.08,-0.97,Financial Services,-1.09,-0.2,-3.32,0.64,0.4,0.74,-1.99,-0.32
2022-01-06,2.11,-1.04,Financial Services,-0.89,1.43,-3.36,1.17,-0.13,1.61,-0.68,-0.37
2022-01-07,3.25,-1.21,Financial Services,-1.06,2.11,-3.69,1.67,-0.17,1.93,-1.88,-0.99
2022-01-10,2.98,-1.27,Financial Services,-2.09,2.31,-5.13,1.72,-0.94,1.97,-3.07,-2.1
2022-01-11,3.42,-0.63,Financial Services,-0.91,3.16,-1.39,1.8,-0.47,3.29,0.28,-1.28
2022-01-12,2.86,-0.4,Financial Services,-1.16,3.3,-2.17,2.23,-0.26,1.17,-1.41,-0.83
2022-01-13,2.71,-1.43,Financial Services,-2.55,3.69,-4.15,2.13,0.18,0.8,-3.82,-1.07
2022-01-14,1.35,-1.41,Financial Services,-4.06,3.02,-3.6,-2.55,0.71,-1.91,-4.83,-1.19
2022-01-18,-1.27,-2.7,Financial Services,-5.39,1.73,-6.05,-5.55,-0.46,-5.5,-6.38,-0.83
2022-01-19,-0.98,-3.45,Financial Services,-5.9,0.9,-6.82,-6.61,-1.58,-4.23,-6.73,-1.18
2022-01-20,-2.08,-4.24,Financial Services,-5.82,1.07,-6.17,-7.18,-0.93,-1.21,-6.84,-1.29
2022-01-21,-3.4,-5.63,Financial Services,-7.86,0.13,-15.25,-8.35,-2.72,-1.92,-10.64,-4.15
2022-01-24,-3.99,-5.34,Financial Services,-8.99,-0.32,-15.4,-8.41,-3.86,-2.5,-11.17,-5.54
2022-01-25,-2.34,-6.33,Financial Services,-7.86,1.36,-17.58,-7.56,-6.36,-1.67,-13.02,-5.48
2022-01-26,-1.46,-6.51,Financial Services,-8.15,2.12,-20.19,-6.8,-4.98,-0.69,-13.59,-3.92
2022-01-27,-2.27,-6.91,Financial Services,-8.88,1.41,-23.34,-8.22,-3.6,0.15,-13.06,-3.81
2022-01-28,-1.52,-4.96,Financial Services,-6.93,2.05,-20.58,-7.51,3.91,0.71,-10.54,4.99
2022-01-31,-1.01,-3.46,Financial Services,-5.5,2.56,-15.89,-6.44,4.82,1.35,-6.62,4.25
2022-02-01,0.57,-2.79,Financial Services,-5.03,4.4,-12.41,-4.8,5.96,2.57,-4.53,6.68
2022-02-02,0.48,-1.97,Financial Services,-5.37,3.96,-16.49,-5.48,7.03,2.54,-25.61,7.95
2022-02-03,-0.42,-4.0,Financial Services,-7.07,2.66,-18.88,-6.18,5.51,1.09,-29.64,6.34
2022-02-04,3.18,-3.6,Financial Services,-6.66,3.76,-13.71,-4.0,3.72,2.71,-28.77,5.04
2022-02-07,3.62,-3.88,Financial Services,-5.94,4.13,-9.25,-3.71,2.34,3.67,-31.05,4.53
2022-02-08,5.39,-3.15,Financial Services,-6.95,5.24,-8.01,-2.0,1.9,4.77,-31.65,4.87
2022-02-09,5.19,-1.81,Financial Services,-6.36,6.28,-5.62,-1.62,3.63,7.0,-30.25,6.14
2022-02-10,4.72,-3.44,Financial Services,-10.03,5.79,-9.66,-2.0,1.9,5.91,-32.3,3.85
2022-02-11,2.42,-5.24,Financial Services,-10.64,5.28,-13.9,-3.21,0.76,3.1,-34.26,3.45
2022-02-14,1.4,-5.53,Financial Services,-11.92,4.28,-13.6,-4.06,1.85,1.22,-34.87,3.74
2022-02-15,2.17,-4.08,Financial Services,-9.63,5.09,-7.76,-2.7,3.77,2.05,-34.14,4.85
2022-02-16,1.95,-3.98,Financial Services,-9.39,5.02,-8.18,-2.53,4.13,-0.14,-36.82,5.29
2022-02-17,-1.41,-5.93,Financial Services,-11.68,1.64,-15.02,-4.7,1.73,-4.93,-39.73,3.41
2022-02-18,-1.64,-6.5,Financial Services,-12.39,0.78,-16.2,-4.27,0.75,-5.63,-40.57,2.55
2022-02-22,-2.47,-7.48,Financial Services,-13.55,0.41,-21.49,-4.43,0.32,-6.28,-40.83,1.94
2022-02-23,-4.1,-9.06,Financial Services,-14.97,-0.6,-23.2,-6.37,-1.51,-7.43,-42.16,-0.46
2022-02-24,-6.56,-7.73,Financial Services,-15.05,-4.45,-20.29,-8.89,0.6,-9.09,-39.82,0.14
2022-02-25,-3.6,-5.81,Financial Services,-12.96,-2.47,-21.46,-6.81,0.53,-6.47,-36.6,1.02
2022-02-28,-5.31,-6.04,Financial Services,-13.72,-6.62,-15.51,-10.57,-1.62,-10.12,-36.06,-0.38
2022-03-01,-8.69,-7.18,Financial Services,-16.4,-7.37,-12.76,-13.45,-5.76,-12.74,-37.89,-3.5
2022-03-02,-7.28,-5.58,Financial Services,-13.93,-5.92,-13.47,-11.76,-5.86,-12.04,-37.84,-3.71
2022-03-03,-8.65,-6.03,Financial Services,-13.96,-8.82,-20.41,-12.35,-6.65,-12.6,-40.69,-4.26
2022-03-04,-11.8,-6.74,Financial Services,-18.34,-10.36,-25.59,-14.68,-9.27,-13.94,-41.46,-7.29
2022-03-07,-17.15,-9.33,Financial Services,-20.41,-11.91,-27.53,-17.79,-13.84,-16.68,-44.86,-11.49
2022-03-08,-16.62,-9.98,Financial Services,-21.98,-12.96,-27.16,-18.35,-13.46,-16.81,-44.13,-11.03
2022-03-09,-11.47,-7.69,Financial Services,-18.63,-11.3,-19.8,-15.19,-9.82,-12.85,-41.13,-7.42
2022-03-10,-12.25,-8.09,Financial Services,-18.19,-12.94,-22.4,-16.16,-10.76,-14.34,-42.07,-8.22
2022-03-11,-12.96,-9.21,Financial Services,-19.31,-14.05,-27.99,-17.98,-10.7,-15.0,-43.19,-8.79
2022-03-14,-11.13,-9.84,Financial Services,-18.16,-13.94,-30.98,-17.2,-9.7,-15.45,-43.02,-7.16
2022-03-15,-10.5,-7.92,Financial Services,-17.04,-12.57,-29.74,-15.76,-7.98,-13.87,-40.96,-4.53
2022-03-16,-7.73,-5.92,Financial Services,-14.45,-9.93,-22.44,-12.08,-5.39,-8.54,-36.67,-1.93
2022-03-17,-7.24,-4.8,Financial Services,-13.37,-9.17,-20.37,-10.99,-4.92,-6.48,-34.23,-1.22
2022-03-18,-7.52,-3.77,Financial Services,-13.63,-9.07,-16.53,-11.02,-3.94,-5.54,-30.42,1.35
2022-03-21,-7.65,-3.77,Financial Services,-14.15,-9.65,-20.55,-11.3,-5.15,-7.71,-32.79,0.41
2022-03-22,-4.78,-2.68,Financial Services,-12.71,-8.83,-16.43,-9.44,-4.09,-6.12,-30.93,1.06
2022-03-23,-7.11,-3.9,Financial Services,-13.86,-10.64,-17.75,-11.22,-6.06,-7.93,-32.79,-0.67
2022-03-24,-7.15,-2.83,Financial Services,-13.66,-10.53,-14.6,-10.65,-4.14,-8.18,-31.98,0.53
2022-03-25,-5.74,-2.35,Financial Services,-13.36,-10.03,-16.15,-9.88,-4.23,-7.93,-33.31,1.04
2022-03-28,-6.13,-1.69,Financial Services,-12.38,-11.32,-9.6,-10.53,-3.83,-9.03,-31.91,2.11
2022-03-29,-6.36,-0.48,Financial Services,-9.81,-10.45,-8.21,-10.34,0.74,-8.46,-29.01,5.47
2022-03-30,-7.31,-1.09,Financial Services,-9.35,-12.81,-11.7,-10.74,-0.69,-10.02,-30.57,3.57
2022-03-31,-11.13,-2.57,Financial Services,-10.81,-15.29,-14.74,-13.4,-1.99,-12.85,-32.22,2.57
2022-04-01,-11.47,-2.24,Financial Services,-9.89,-16.47,-15.56,-13.62,-0.22,-12.87,-30.69,4.53
2022-04-04,-11.61,-1.45,Financial Services,-8.56,-15.75,-13.54,-13.26,0.55,-12.59,-27.78,5.14
2022-04-05,-13.08,-2.62,Financial Services,-10.53,-17.66,-19.9,-14.86,-0.4,-14.55,-30.21,4.4
2022-04-06,-14.01,-3.57,Financial Services,-12.66,-19.3,-24.45,-16.01,-2.98,-16.65,-33.19,1.2
2022-04-07,-14.67,-3.1,Financial Services,-12.25,-20.08,-24.73,-16.26,-4.03,-16.65,-32.87,-0.09
2022-04-08,-14.08,-3.33,Financial Services,-13.67,-18.75,-27.04,-14.77,-3.31,-15.74,-33.93,0.29
2022-04-11,-14.25,-4.94,Financial Services,-14.53,-19.26,-30.15,-15.07,-4.61,-15.78,-34.73,-0.72
2022-04-12,-15.15,-5.28,Financial Services,-15.81,-19.6,-31.93,-15.99,-5.03,-15.87,-35.65,-2.24
2022-04-13,-15.89,-4.23,Financial Services,-15.93,-19.89,-29.74,-18.67,-2.53,-15.67,-37.45,-1.39
2022-04-14,-18.57,-5.37,Financial Services,-18.98,-18.67,-33.07,-19.41,-1.81,-15.05,-39.12,-1.61
2022-04-18,-15.83,-5.35,Financial Services,-19.89,-16.49,-34.01,-17.94,-2.08,-13.35,-40.13,-1.44
2022-04-19,-14.28,-3.88,Financial Services,-17.5,-15.53,-31.28,-16.25,-0.19,-10.93,-38.32,-0.29
2022-04-20,-14.09,-3.95,Financial Services,-17.78,-15.24,-33.13,-15.96,0.19,-9.24,-43.48,0.66
2022-04-21,-15.7,-5.34,Financial Services,-19.73,-15.99,-37.52,-16.6,-0.04,-10.93,-46.72,0.05
2022-04-22,-18.61,-7.86,Financial Services,-21.78,-18.2,-40.11,-18.98,-3.59,-15.08,-48.7,-3.71
2022-04-25,-19.19,-7.37,Financial Services,-21.19,-18.36,-38.5,-19.01,-2.67,-14.77,-47.67,-2.9
2022-04-26,-21.0,-9.95,Financial Services,-23.54,-19.79,-42.1,-21.39,-5.48,-17.44,-50.07,-6.93
2022-04-27,-21.43,-9.73,Financial Services,-23.99,-20.79,-44.18,-22.4,-0.81,-17.6,-50.72,-1.01
2022-04-28,-20.22,-7.52,Financial Services,-23.11,-20.12,-44.11,-21.19,3.81,-16.41,-45.13,1.97
2022-04-29,-22.66,-10.83,Financial Services,-26.02,-22.99,-48.62,-23.71,-0.32,-19.22,-47.58,-1.46
2022-05-02,-21.05,-9.99,Financial Services,-25.27,-21.57,-43.44,-22.36,-1.44,-17.34,-44.16,-2.12
2022-05-03,-18.93,-9.62,Financial Services,-24.57,-19.38,-42.45,-20.74,-1.77,-15.57,-44.65,-3.46
2022-05-04,-15.74,-6.99,Financial Services,-20.76,-16.02,-39.48,-18.19,1.06,-12.14,-43.46,-0.78
2022-05-05,-18.05,-10.13,Financial Services,-24.26,-17.47,-46.63,-20.18,-2.94,-14.4,-47.77,-4.95
2022-05-06,-18.25,-10.67,Financial Services,-24.84,-16.98,-51.35,-20.31,-4.59,-15.1,-49.98,-6.04
2022-05-09,-20.56,-13.43,Financial Services,-27.41,-19.71,-60.45,-21.48,-9.63,-18.14,-51.25,-10.45
2022-05-10,-21.88,-13.22,Financial Services,-26.87,-21.52,-65.29,-23.36,-10.34,-19.03,-51.72,-10.19
2022-05-11,-22.29,-14.58,Financial Services,-28.01,-23.25,-74.17,-23.84,-10.2,-20.39,-53.87,-8.76
