Date,rate_ACN_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,0.2
2019-03-01,6.71,4.45,2.26,2.82
2019-04-29,15.55,7.58,7.97,9.45
2019-06-25,17.47,7.2,10.27,12.12
2019-08-21,23.1,7.24,15.86,18.61
2019-10-17,18.06,8.87,9.19,10.87
2019-12-13,28.79,13.19,15.6,18.31
2020-02-12,31.56,18.03,13.53,15.91
2020-04-09,13.84,3.89,9.95,11.75
2020-06-08,31.19,14.68,16.51,19.37
2020-08-04,39.44,16.26,23.18,27.11
2020-09-30,38.84,17.41,21.43,25.08
2020-11-25,50.97,24.05,26.92,31.45
2021-01-26,52.88,29.15,23.73,27.75
2021-03-24,60.45,30.35,30.1,35.14
2021-05-20,68.98,36.67,32.31,37.71
2021-07-19,82.1,38.99,43.11,50.25
2021-09-14,98.5,43.6,54.9,63.94
2021-11-09,112.41,49.14,63.27,73.66
2022-01-06,117.88,49.24,68.64,79.89
2022-03-07,79.93,37.68,42.25,49.25
2022-05-03,79.83,36.93,42.9,50.01
2022-06-30,65.7,27.61,38.09,44.42
2022-08-26,76.35,34.27,42.08,49.05
2022-10-24,64.48,27.92,36.56,42.64
2022-12-20,57.51,28.33,29.18,34.08
2023-02-17,65.39,34.71,30.68,35.82
2023-04-18,66.9,36.36,30.54,35.66
2023-06-14,85.15,41.83,43.32,50.49
2023-08-11,82.03,43.86,38.17,44.51
2023-10-09,83.57,40.69,42.88,49.98
2023-12-05,95.95,46.52,49.43,57.59
2024-02-02,115.26,55.53,59.73,69.55
2024-04-02,96.28,61.42,34.86,40.67
2024-05-29,74.08,63.18,10.9,12.85
2024-07-26,92.12,67.5,24.62,28.78
