Date,rate_VTI,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.09,0.0,0.0
2022-01-05,-1.18,0.0,0.0
2022-01-06,-1.19,0.0,0.0
2022-01-07,-1.41,-0.774,0.0
2022-01-10,-1.49,-1.0719999999999998,0.0
2022-01-11,-0.76,-1.206,0.0
2022-01-12,-0.65,-1.0999999999999999,0.0
2022-01-13,-1.73,-1.208,0.0
2022-01-14,-1.7,-1.266,0.0
2022-01-18,-3.12,-1.592,0.0
2022-01-19,-3.87,-2.214,0.0
2022-01-20,-4.7,-3.024,0.0
2022-01-21,-6.08,-3.8939999999999997,0.0
2022-01-24,-5.64,-4.682,0.0
2022-01-25,-6.78,-5.414,0.0
2022-01-26,-7.09,-6.058000000000001,0.0
2022-01-27,-7.68,-6.653999999999999,0.0
2022-01-28,-5.73,-6.5840000000000005,0.0
2022-01-31,-4.01,-6.258,-3.245
2022-02-01,-3.23,-5.548,-3.4065
2022-02-02,-2.66,-4.662,-3.535
2022-02-03,-4.73,-4.072,-3.7125
2022-02-04,-4.16,-3.758,-3.8610000000000007
2022-02-07,-4.38,-3.832,-4.0095
2022-02-08,-3.55,-3.896,-4.1125
2022-02-09,-2.08,-3.78,-4.1785
2022-02-10,-3.64,-3.562,-4.328
2022-02-11,-5.4,-3.81,-4.5115
2022-02-14,-5.72,-4.078,-4.7125
2022-02-15,-4.1,-4.188000000000001,-4.7615
2022-02-16,-4.02,-4.576,-4.769
2022-02-17,-6.13,-5.074,-4.8405000000000005
2022-02-18,-6.85,-5.364,-4.879
2022-02-22,-7.89,-5.798,-4.9915
2022-02-23,-9.52,-6.882,-5.1285
2022-02-24,-7.99,-7.675999999999999,-5.1735
2022-02-25,-6.02,-7.654000000000001,-5.0905000000000005
2022-02-28,-6.11,-7.506,-5.1095
2022-03-01,-7.31,-7.390000000000001,-5.2745
2022-03-02,-5.66,-6.618,-5.396
2022-03-03,-6.33,-6.286,-5.5794999999999995
2022-03-04,-7.22,-6.526000000000001,-5.704
2022-03-07,-9.92,-7.287999999999999,-5.991999999999999
2022-03-08,-10.41,-7.9079999999999995,-6.2935
2022-03-09,-8.0,-8.376,-6.516
2022-03-10,-8.4,-8.79,-6.831999999999999
2022-03-11,-9.61,-9.267999999999999,-7.1305000000000005
2022-03-14,-10.47,-9.378,-7.384
2022-03-15,-8.64,-9.024000000000001,-7.529999999999999
2022-03-16,-6.41,-8.706,-7.6455
2022-03-17,-5.18,-8.062000000000001,-7.7035
2022-03-18,-4.09,-6.958000000000001,-7.6015
2022-03-21,-4.18,-5.7,-7.468000000000001
2022-03-22,-3.02,-4.576,-7.224499999999999
2022-03-23,-4.62,-4.218,-6.9795
2022-03-24,-3.27,-3.836,-6.7435
2022-03-25,-2.86,-3.59,-6.585499999999999
2022-03-28,-2.24,-3.2020000000000004,-6.392
2022-03-29,-0.77,-2.7520000000000002,-6.0649999999999995
2022-03-30,-1.57,-2.1420000000000003,-5.8605
2022-03-31,-3.04,-2.096,-5.696
2022-04-01,-2.58,-2.04,-5.464
2022-04-04,-1.79,-1.95,-5.0575
2022-04-05,-3.19,-2.434,-4.6965
2022-04-06,-4.28,-2.976,-4.5105
2022-04-07,-3.92,-3.152,-4.2865
2022-04-08,-4.22,-3.4799999999999995,-4.017
2022-04-11,-5.68,-4.258,-3.7775
2022-04-12,-5.96,-4.811999999999999,-3.6435000000000004
2022-04-13,-4.75,-4.906000000000001,-3.5605
2022-04-14,-5.89,-5.3,-3.596
2022-04-18,-6.05,-5.6659999999999995,-3.694
2022-04-19,-4.42,-5.414,-3.7060000000000004
2022-04-20,-4.54,-5.13,-3.781999999999999
2022-04-21,-6.08,-5.396,-3.8550000000000004
2022-04-22,-8.61,-5.9399999999999995,-4.122
2022-04-25,-8.11,-6.351999999999999,-4.3845
2022-04-26,-10.7,-7.608,-4.807499999999999
2022-04-27,-10.52,-8.803999999999998,-5.295
2022-04-28,-8.37,-9.262,-5.635
2022-04-29,-11.69,-9.878,-6.0675
2022-05-02,-10.72,-10.4,-6.474500000000001
2022-05-03,-10.31,-10.322,-6.900499999999999
2022-05-04,-7.76,-9.77,-7.129
2022-05-05,-11.06,-10.308,-7.467999999999999
2022-05-06,-11.76,-10.322,-7.860000000000001
2022-05-09,-14.79,-11.136,-8.3885
2022-05-10,-14.63,-12.0,-8.836
