Date,rate_UPS,rate_UPS_5D,rate_UPS_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.87,,,-0.02,,
2022-01-05,0.24,,,-0.97,,
2022-01-06,0.72,,,-1.04,,
2022-01-07,1.07,0.58,,-1.21,-0.648,
2022-01-10,-0.41,0.49799999999999994,,-1.27,-0.9019999999999999,
2022-01-11,-0.57,0.20999999999999996,,-0.63,-1.024,
2022-01-12,-0.59,0.044,,-0.4,-0.9099999999999999,
2022-01-13,-0.85,-0.27,,-1.43,-0.9879999999999999,
2022-01-14,-2.21,-0.9259999999999999,,-1.41,-1.028,
2022-01-18,-2.55,-1.3539999999999999,,-2.7,-1.314,
2022-01-19,-3.18,-1.8760000000000001,,-3.45,-1.8780000000000001,
2022-01-20,-3.69,-2.496,,-4.24,-2.646,
2022-01-21,-3.81,-3.088,,-5.63,-3.4859999999999998,
2022-01-24,-3.05,-3.2560000000000002,,-5.34,-4.272,
2022-01-25,-3.95,-3.536,,-6.33,-4.998,
2022-01-26,-5.16,-3.932,,-6.51,-5.609999999999999,
2022-01-27,-6.88,-4.57,,-6.91,-6.144,
2022-01-28,-5.47,-4.902,,-4.96,-6.01,
2022-01-31,-3.84,-5.0600000000000005,-2.1655,-3.46,-5.634,-2.8954999999999997
2022-02-01,8.43,-2.5840000000000005,-1.7439999999999998,-2.79,-4.926,-3.035
2022-02-02,9.03,0.2539999999999999,-1.3359999999999999,-1.97,-4.018,-3.1325
2022-02-03,7.57,3.1439999999999997,-0.9695,-4.0,-3.436,-3.284
2022-02-04,5.91,5.42,-0.7099999999999999,-3.6,-3.164,-3.4120000000000004
2022-02-07,6.02,7.391999999999999,-0.4625,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,6.09,6.9239999999999995,-0.1375,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,6.03,6.324,0.19250000000000003,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,4.07,5.6240000000000006,0.4255000000000001,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,0.85,4.612,0.5105000000000001,-5.24,-3.504,-4.0409999999999995
2022-02-14,1.08,3.624,0.675,-5.53,-3.8340000000000005,-4.247
2022-02-15,2.58,2.922,0.9315,-4.08,-4.0200000000000005,-4.316
2022-02-16,1.68,2.0520000000000005,1.1744999999999999,-3.98,-4.454,-4.3425
2022-02-17,-0.43,1.152,1.3375,-5.93,-4.952,-4.427
2022-02-18,-1.05,0.772,1.4755,-6.5,-5.204,-4.4704999999999995
