Date,rate_REGN_5D,rate_REGN_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.502,,-0.648,
2022-01-10,-1.5939999999999999,,-0.9019999999999999,
2022-01-11,-1.4099999999999997,,-1.024,
2022-01-12,-0.7540000000000001,,-0.9099999999999999,
2022-01-13,-0.512,,-0.9879999999999999,
2022-01-14,-0.374,,-1.028,
2022-01-18,-0.61,,-1.314,
2022-01-19,-0.7979999999999999,,-1.8780000000000001,
2022-01-20,-1.198,,-2.646,
2022-01-21,-1.0739999999999998,,-3.4859999999999998,
2022-01-24,-0.9279999999999999,,-4.272,
2022-01-25,-1.1940000000000002,,-4.998,
2022-01-26,-1.564,,-5.609999999999999,
2022-01-27,-1.752,,-6.144,
2022-01-28,-1.6540000000000004,,-6.01,
2022-01-31,-2.0100000000000002,-1.2035,-5.634,-2.8954999999999997
2022-02-01,-1.7119999999999997,-1.2775,-4.926,-3.035
2022-02-02,-1.2,-1.2429999999999999,-4.018,-3.1325
2022-02-03,-0.844,-1.137,-3.436,-3.284
2022-02-04,-0.874,-1.0285,-3.164,-3.4120000000000004
2022-02-07,-0.4699999999999999,-0.9455,-3.2479999999999998,-3.5454999999999997
2022-02-08,-0.3459999999999999,-0.9655000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-0.4379999999999999,-1.0,-3.2879999999999994,-3.6985000000000006
2022-02-10,-0.5159999999999998,-1.0775000000000001,-3.1759999999999997,-3.8505000000000003
2022-02-11,-0.04999999999999991,-0.9129999999999999,-3.504,-4.0409999999999995
2022-02-14,-0.013999999999999898,-0.8554999999999999,-3.8340000000000005,-4.247
2022-02-15,0.3580000000000001,-0.7235,-4.0200000000000005,-4.316
2022-02-16,0.7000000000000001,-0.6255,-4.454,-4.3425
2022-02-17,0.958,-0.5385000000000001,-4.952,-4.427
2022-02-18,0.2500000000000001,-0.5820000000000001,-5.204,-4.4704999999999995
2022-02-22,-0.3879999999999999,-0.7205,-5.593999999999999,-4.5775
2022-02-23,-1.0419999999999998,-0.6855,-6.590000000000001,-4.714
2022-02-24,-1.6939999999999997,-0.658,-7.340000000000001,-4.775
2022-02-25,-1.9420000000000002,-0.586,-7.316,-4.720000000000001
2022-02-28,-1.842,-0.629,-7.224000000000001,-4.774
2022-03-01,-1.6979999999999997,-0.6425,-7.164,-4.96
2022-03-02,-1.448,-0.6195,-6.467999999999999,-5.099500000000001
2022-03-03,-1.3939999999999997,-0.7065,-6.128,-5.3025
2022-03-04,-1.3379999999999999,-0.7095,-6.314,-5.439500000000001
2022-03-07,-1.3259999999999998,-0.742,-6.9719999999999995,-5.726
2022-03-08,-1.0979999999999999,-0.7995,-7.531999999999999,-6.031000000000001
2022-03-09,-0.8979999999999999,-0.7575000000000001,-7.954000000000001,-6.258
2022-03-10,-0.31399999999999995,-0.6755000000000001,-8.366,-6.572
2022-03-11,0.3700000000000001,-0.4880000000000001,-8.86,-6.8605
2022-03-14,1.532,-0.3465,-8.962,-7.0905000000000005
2022-03-15,3.104,-0.020000000000000063,-8.55,-7.210000000000001
2022-03-16,4.782,0.3484999999999999,-8.196000000000002,-7.302000000000001
2022-03-17,6.468000000000001,0.7665,-7.537999999999999,-7.343000000000001
2022-03-18,7.8,1.2224999999999997,-6.45,-7.235000000000001
2022-03-21,8.930000000000001,1.8235,-5.236,-7.0985
2022-03-22,9.751999999999999,2.5149999999999997,-4.188,-6.858499999999999
2022-03-23,9.482,2.9794999999999994,-3.7840000000000003,-6.600500000000001
2022-03-24,9.313999999999998,3.5184999999999995,-3.3899999999999997,-6.3555
