Date,rate_QQQ_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-3050.0
2022-01-05,0.0,0.0,-117.53
2022-01-06,0.0,0.0,-106.73
2022-01-07,-1.51,0.0,-119.01
2022-01-10,-2.03,0.0,-106.3
2022-01-11,-2.22,0.0,-146.03
2022-01-12,-2.05,0.0,-215.0
2022-01-13,-2.23,0.0,-116.08
2022-01-14,-2.23,0.0,-87.23
2022-01-18,-2.59,0.0,-64.07
2022-01-19,-3.32,0.0,-50.72
2022-01-20,-4.29,0.0,-43.63
2022-01-21,-5.27,0.0,-41.92
2022-01-24,-6.28,0.0,-43.82
2022-01-25,-7.29,0.0,-50.08
2022-01-26,-8.18,0.0,-47.77
2022-01-27,-9.04,0.0,-50.36
2022-01-28,-9.04,0.0,-61.69
2022-01-31,-8.61,-2.9,-59.54
2022-02-01,-7.66,-3.04,-70.97
2022-02-02,-6.56,-3.13,-107.11
2022-02-03,-5.99,-3.28,-88.5
2022-02-04,-5.68,-3.41,-80.83
2022-02-07,-6.02,-3.55,-85.05
2022-02-08,-6.3,-3.64,-96.83
2022-02-09,-6.36,-3.7,-140.33
2022-02-10,-6.12,-3.85,-85.17
2022-02-11,-6.65,-4.04,-74.43
2022-02-14,-7.02,-4.25,-63.47
2022-02-15,-7.15,-4.32,-68.14
2022-02-16,-7.66,-4.34,-73.12
2022-02-17,-8.3,-4.43,-61.05
2022-02-18,-8.58,-4.47,-62.31
2022-02-22,-9.05,-4.58,-52.54
2022-02-23,-10.4,-4.71,-50.0
2022-02-24,-11.18,-4.78,-39.72
2022-02-25,-11.16,-4.72,-62.99
2022-02-28,-10.9,-4.77,-52.48
2022-03-01,-10.66,-4.96,-42.76
2022-03-02,-9.71,-5.1,-58.24
2022-03-03,-9.56,-5.3,-66.83
2022-03-04,-9.93,-5.44,-67.51
2022-03-07,-10.96,-5.73,-54.13
2022-03-08,-11.86,-6.03,-47.9
2022-03-09,-12.46,-6.26,-53.84
2022-03-10,-13.0,-6.57,-57.73
2022-03-11,-13.65,-6.86,-57.44
2022-03-14,-13.98,-7.09,-63.31
2022-03-15,-13.73,-7.21,-70.58
2022-03-16,-13.45,-7.3,-75.51
2022-03-17,-12.76,-7.34,-94.58
2022-03-18,-11.37,-7.24,-99.73
2022-03-21,-9.73,-7.1,-109.28
2022-03-22,-8.26,-6.86,-128.73
2022-03-23,-7.67,-6.6,-91.03
2022-03-24,-6.89,-6.36,-92.23
2022-03-25,-6.49,-6.18,-134.89
2022-03-28,-5.73,-5.97,-142.6
2022-03-29,-5.0,-5.63,-418.75
2022-03-30,-4.22,-5.41,-224.77
2022-03-31,-4.07,-5.23,-82.88
2022-04-01,-3.91,-5.01,-111.61
2022-04-04,-3.67,-4.61,-99.31
2022-04-05,-4.11,-4.25,-77.86
2022-04-06,-4.67,-4.04,-77.87
2022-04-07,-4.96,-3.79,-99.03
2022-04-08,-5.46,-3.5,-117.42
2022-04-11,-6.69,-3.25,-82.59
2022-04-12,-7.63,-3.12,-77.46
2022-04-13,-7.9,-3.03,-82.51
2022-04-14,-8.59,-3.06,-78.96
2022-04-18,-9.05,-3.14,-78.5
2022-04-19,-8.78,-3.15,-97.16
2022-04-20,-8.69,-3.21,-125.82
2022-04-21,-9.28,-3.28,-100.19
2022-04-22,-9.94,-3.53,-63.87
2022-04-25,-10.39,-3.79,-60.52
2022-04-26,-11.87,-4.2,-51.16
2022-04-27,-13.12,-4.66,-55.6
2022-04-28,-13.43,-4.98,-62.77
2022-04-29,-14.06,-5.4,-48.2
2022-05-02,-14.55,-5.78,-42.94
2022-05-03,-14.38,-6.19,-47.51
2022-05-04,-13.63,-6.41,-63.09
2022-05-05,-14.32,-6.74,-54.89
2022-05-06,-14.44,-7.12,-56.14
2022-05-09,-15.54,-7.62,-47.28
2022-05-10,-16.47,-8.04,-42.51
2022-05-11,-18.43,-8.5,-45.2
