Date,rate_PLD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,11.74
2019-03-01,5.37,4.45,0.92,12.55
2019-04-29,12.52,7.58,4.94,16.1
2019-06-25,18.24,7.2,11.04,21.5
2019-08-21,22.82,7.24,15.58,25.51
2019-10-17,30.44,8.87,21.57,30.81
2019-12-13,29.63,13.19,16.44,26.27
2020-02-12,40.36,18.03,22.33,31.48
2020-04-09,33.78,3.89,29.89,38.17
2020-06-08,41.63,14.68,26.95,35.57
2020-08-04,51.8,16.26,35.54,43.16
2020-09-30,45.33,17.41,27.92,36.43
2020-11-25,43.24,24.05,19.19,28.71
2021-01-26,52.39,29.15,23.24,32.29
2021-03-24,49.49,30.35,19.14,28.66
2021-05-20,67.1,36.67,30.43,38.65
2021-07-19,79.34,38.99,40.35,47.42
2021-09-14,86.84,43.6,43.24,49.97
2021-11-09,107.51,49.14,58.37,63.35
2022-01-06,118.07,49.24,68.83,72.6
2022-03-07,108.11,37.68,70.43,74.02
2022-05-03,112.6,36.93,75.67,78.65
2022-06-30,67.47,27.61,39.86,46.98
2022-08-26,81.38,34.27,47.11,53.4
2022-10-24,48.91,27.92,20.99,30.3
2022-12-20,60.36,28.33,32.03,40.06
2023-02-17,77.44,34.71,42.73,49.52
2023-04-18,75.35,36.36,38.99,46.22
2023-06-14,73.48,41.83,31.65,39.72
2023-08-11,75.09,43.86,31.23,39.35
2023-10-09,56.83,40.69,16.14,26.01
2023-12-05,68.77,46.52,22.25,31.41
2024-02-02,82.55,55.53,27.02,35.63
2024-04-02,77.78,61.42,16.36,26.2
2024-05-29,51.03,63.18,-12.15,0.99
2024-07-26,74.01,67.5,6.51,17.49
