Date,rate_ALB_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,6300.0
2022-01-05,0.0,0.0,77.32
2022-01-06,0.0,0.0,33.65
2022-01-07,0.04,0.0,88.43
2022-01-10,-0.37,0.0,-59.84
2022-01-11,-0.18,0.0,444.44
2022-01-12,0.35,0.0,715.0
2022-01-13,0.61,0.0,141.96
2022-01-14,0.66,0.0,107.09
2022-01-18,0.62,0.0,16.67
2022-01-19,-0.69,0.0,-26.09
2022-01-20,-2.21,0.0,-21.7
2022-01-21,-3.65,0.0,-16.7
2022-01-24,-5.03,0.0,-27.9
2022-01-25,-6.39,0.0,-43.13
2022-01-26,-7.37,0.0,-41.47
2022-01-27,-8.19,0.0,-34.3
2022-01-28,-8.67,0.0,-81.05
2022-01-31,-8.01,-2.9,-1.16
2022-02-01,-6.52,-3.04,41.58
2022-02-02,-5.3,-3.13,-57.36
2022-02-03,-4.57,-3.28,-40.75
2022-02-04,-3.82,-3.41,-45.83
2022-02-07,-3.88,-3.55,2.84
2022-02-08,-3.73,-3.64,71.11
2022-02-09,-2.49,-3.7,272.93
2022-02-10,-0.77,-3.85,186.34
2022-02-11,0.45,-4.04,115.84
2022-02-14,1.1,-4.25,90.96
2022-02-15,2.35,-4.32,229.9
2022-02-16,3.17,-4.34,281.91
2022-02-17,-0.12,-4.43,-126.81
2022-02-18,-3.5,-4.47,-147.69
2022-02-22,-6.53,-4.58,-109.09
2022-02-23,-11.55,-4.71,-118.54
2022-02-24,-16.77,-4.78,-144.11
2022-02-25,-17.2,-4.72,-168.33
2022-02-28,-16.77,-4.77,-130.63
2022-03-01,-17.13,-4.96,-143.04
2022-03-02,-16.27,-5.1,-177.78
2022-03-03,-15.99,-5.3,-190.22
2022-03-04,-16.98,-5.44,-204.6
2022-03-07,-18.88,-5.73,-151.23
2022-03-08,-19.34,-6.03,-97.7
2022-03-09,-19.64,-6.26,-120.94
2022-03-10,-19.43,-6.57,-103.34
2022-03-11,-18.92,-6.86,-95.44
2022-03-14,-18.56,-7.09,-119.92
2022-03-15,-18.45,-7.21,-142.3
2022-03-16,-18.09,-7.3,-156.08
2022-03-17,-17.39,-7.34,-169.58
2022-03-18,-16.21,-7.24,-221.75
2022-03-21,-14.27,-7.1,-216.71
2022-03-22,-12.22,-6.86,-232.46
2022-03-23,-10.74,-6.6,-99.23
