Date,rate_ANET_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,4.88
2019-03-01,30.68,4.45,26.23,9.81
2019-04-29,43.49,7.58,35.91,11.63
2019-06-25,13.71,7.2,6.51,6.11
2019-08-21,5.33,7.24,-1.91,4.52
2019-10-17,11.65,8.87,2.78,5.4
2019-12-13,-8.88,13.19,-22.07,0.74
2020-02-12,8.67,18.03,-9.36,3.12
2020-04-09,-1.7,3.89,-5.59,3.83
2020-06-08,7.54,14.68,-7.14,3.54
2020-08-04,21.22,16.26,4.96,5.81
2020-09-30,-4.74,17.41,-22.15,0.72
2020-11-25,24.2,24.05,0.15,4.91
2021-01-26,40.79,29.15,11.64,7.07
2021-03-24,30.53,30.35,0.18,4.92
2021-05-20,53.95,36.67,17.28,8.13
2021-07-19,65.87,38.99,26.88,9.93
2021-09-14,63.88,43.6,20.28,8.69
2021-11-09,142.87,49.14,93.73,22.49
2022-01-06,142.56,49.24,93.32,22.41
2022-03-07,109.4,37.68,71.72,18.35
2022-05-03,108.64,36.93,71.71,18.35
2022-06-30,71.71,27.61,44.1,13.17
2022-08-26,125.02,34.27,90.75,21.93
2022-10-24,102.65,27.92,74.73,18.92
2022-12-20,122.72,28.33,94.39,22.61
2023-02-17,152.68,34.71,117.97,27.04
2023-04-18,197.2,36.36,160.84,35.1
2023-06-14,208.83,41.83,167.0,36.25
2023-08-11,219.49,43.86,175.63,37.87
2023-10-09,258.55,40.69,217.86,45.81
2023-12-05,293.7,46.52,247.18,51.31
2024-02-02,398.15,55.53,342.62,69.24
2024-04-02,430.45,61.42,369.03,74.2
2024-05-29,462.23,63.18,399.05,79.84
2024-07-26,482.07,67.5,414.57,82.76
