Date,rate_NFLX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,66.23
2019-03-01,5.64,6.13,-0.49,65.86
2019-04-29,9.84,10.74,-0.9,65.55
2019-06-25,5.98,9.75,-3.77,63.4
2019-08-21,-10.18,9.45,-19.63,51.49
2019-10-17,-10.0,11.38,-21.38,50.18
2019-12-13,-8.01,17.31,-25.32,47.22
2020-02-12,16.44,23.26,-6.82,61.11
2020-04-09,13.02,5.35,7.67,71.99
2020-06-08,26.72,21.76,4.96,69.95
2020-08-04,50.79,23.27,27.52,86.89
2020-09-30,44.19,22.35,21.84,82.62
2020-11-25,38.78,30.73,8.05,72.27
2021-01-26,58.7,37.01,21.69,82.51
2021-03-24,45.41,38.04,7.37,71.76
2021-05-20,38.61,45.0,-6.39,61.43
2021-07-19,45.54,46.79,-1.25,65.29
2021-09-14,50.14,49.47,0.67,66.73
2021-11-09,66.41,55.69,10.72,74.28
2022-01-06,39.15,54.19,-15.04,54.94
2022-03-07,-11.41,37.12,-48.53,29.8
2022-05-03,-48.34,34.96,-83.3,3.7
2022-06-30,-54.15,22.0,-76.15,9.07
2022-08-26,-39.9,30.79,-70.69,13.17
2022-10-24,-23.47,22.72,-46.19,31.56
2022-12-20,-21.14,22.59,-43.73,33.4
2023-02-17,-6.86,30.41,-37.27,38.25
2023-04-18,-10.33,31.87,-42.2,34.55
2023-06-14,18.36,38.27,-19.91,51.28
2023-08-11,14.17,40.92,-26.75,46.15
2023-10-09,2.8,35.51,-32.71,41.68
2023-12-05,20.7,42.24,-21.54,50.06
2024-02-02,49.27,52.79,-3.52,63.59
2024-04-02,61.02,59.09,1.93,67.68
2024-05-29,70.93,60.75,10.18,73.87
2024-07-26,63.51,64.89,-1.38,65.19
