Date,rate_XOM,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,1.87,0.0,0.0
2022-01-05,2.52,0.0,0.0
2022-01-06,3.75,0.0,0.0
2022-01-07,4.19,2.466,0.0
2022-01-10,3.87,3.2399999999999998,0.0
2022-01-11,7.18,4.302,0.0
2022-01-12,6.93,5.183999999999999,0.0
2022-01-13,6.35,5.704,0.0
2022-01-14,7.77,6.419999999999999,0.0
2022-01-18,9.16,7.478,0.0
2022-01-19,9.2,7.882,0.0
2022-01-20,9.38,8.372,0.0
2022-01-21,8.12,8.725999999999999,0.0
2022-01-24,8.83,8.938,0.0
2022-01-25,11.66,9.437999999999999,0.0
2022-01-26,10.65,9.728,0.0
2022-01-27,11.91,10.234,0.0
2022-01-28,12.12,11.033999999999999,0.0
2022-01-31,13.02,11.872,7.4239999999999995
2022-02-01,18.84,13.307999999999998,8.366
2022-02-02,18.57,14.892,9.200999999999999
2022-02-03,17.37,15.984,9.9435
2022-02-04,19.58,17.476,10.735000000000001
2022-02-07,20.84,19.04,11.567499999999999
2022-02-08,18.11,18.894,12.2795
2022-02-09,16.5,18.48,12.7455
2022-02-10,15.53,18.112,13.1755
2022-02-11,18.05,17.806,13.760499999999999
2022-02-14,16.48,16.933999999999997,14.196000000000002
2022-02-15,15.11,16.334,14.493500000000001
2022-02-16,15.61,16.156,14.813999999999998
2022-02-17,15.44,16.137999999999998,15.116999999999999
2022-02-18,14.24,15.376,15.422999999999998
2022-02-22,13.0,14.679999999999998,15.631499999999999
2022-02-23,13.43,14.344,15.720000000000002
2022-02-24,12.1,13.642,15.792499999999999
2022-02-25,14.91,13.535999999999998,15.9425
2022-02-28,15.7,13.828,16.1215
2022-03-01,16.27,14.482,16.284
2022-03-02,18.15,15.425999999999998,16.2495
2022-03-03,18.85,16.776,16.2635
2022-03-04,23.07,18.408,16.5485
2022-03-07,27.26,20.720000000000002,16.9325
2022-03-08,28.17,23.1,17.299
2022-03-09,21.27,23.724,17.457
2022-03-10,24.82,24.918,17.872999999999998
2022-03-11,24.22,25.148000000000003,18.307499999999997
2022-03-14,20.01,23.698,18.4055
2022-03-15,13.39,20.741999999999997,18.250999999999998
2022-03-16,12.97,19.082,18.144
2022-03-17,15.89,17.296,18.158
2022-03-18,15.45,15.542000000000002,18.1585
2022-03-21,20.47,15.633999999999997,18.47
2022-03-22,19.95,16.945999999999998,18.817500000000003
2022-03-23,21.81,18.714,19.2365
2022-03-24,22.17,19.97,19.740000000000002
2022-03-25,24.79,21.838,20.234
2022-03-28,21.35,22.014,20.5165
2022-03-29,20.71,22.166000000000004,20.738500000000002
2022-03-30,22.75,22.354000000000003,20.9685
2022-03-31,21.03,22.125999999999998,21.077499999999997
2022-04-01,21.16,21.400000000000002,20.982
2022-04-04,21.21,21.372,20.679499999999997
2022-04-05,20.6,21.35,20.301
2022-04-06,21.91,21.182,20.333
2022-04-07,23.91,21.758,20.2875
2022-04-08,26.47,22.82,20.4
2022-04-11,22.2,23.018,20.5095
2022-04-12,24.72,23.842,21.076
2022-04-13,26.47,24.753999999999998,21.751
2022-04-14,27.94,25.56,22.3535
2022-04-18,28.97,26.060000000000002,23.0295
2022-04-19,27.83,27.186,23.3975
2022-04-20,28.12,27.865999999999996,23.806
2022-04-21,26.78,27.927999999999997,24.0545
2022-04-22,24.04,27.148000000000003,24.148000000000003
2022-04-25,19.91,25.336000000000002,23.904
2022-04-26,19.95,23.76,23.834
2022-04-27,23.36,22.808,23.9665
2022-04-28,27.06,22.863999999999997,24.182
2022-04-29,24.24,22.904000000000003,24.3425
2022-05-02,25.18,23.958,24.5435
2022-05-03,27.72,25.512,24.869
2022-05-04,32.72,27.383999999999997,25.475
2022-05-05,30.74,28.119999999999997,25.916500000000003
2022-05-06,32.71,29.814,26.3565
2022-05-09,22.4,29.258,26.153
2022-05-10,23.2,28.354000000000003,26.202999999999996
2022-05-11,25.75,26.96,26.2545
2022-05-12,25.04,25.82,26.183
2022-05-13,28.72,25.022,26.221999999999998
2022-05-16,31.73,26.887999999999998,26.360000000000003
2022-05-17,33.4,28.927999999999997,26.6385
2022-05-18,31.29,30.036,26.796999999999997
2022-05-19,32.0,31.427999999999997,27.058
2022-05-20,33.04,32.291999999999994,27.508000000000003
2022-05-23,35.96,33.138,28.310499999999998
2022-05-24,36.7,33.798,29.148000000000003
2022-05-25,39.44,35.428000000000004,29.951999999999998
2022-05-26,39.93,37.013999999999996,30.595499999999998
2022-05-27,41.3,38.666,31.448500000000003
2022-05-31,39.01,39.275999999999996,32.14
2022-06-01,40.5,40.035999999999994,32.778999999999996
2022-06-02,40.33,40.214,33.1595
2022-06-03,41.84,40.596,33.7145
2022-06-06,41.65,40.666,34.161500000000004
2022-06-07,46.56,42.176,35.3695
2022-06-08,47.88,43.652,36.6035
2022-06-09,45.43,44.672000000000004,37.5875
2022-06-10,43.41,44.986000000000004,38.506
2022-06-13,38.41,44.338,38.9905
2022-06-14,38.72,42.77,39.339999999999996
2022-06-15,37.2,40.634,39.53
2022-06-16,32.79,38.106,39.605000000000004
2022-06-17,26.14,34.652,39.312
2022-06-21,32.9,33.55,39.305
2022-06-22,28.33,31.471999999999998,38.923500000000004
2022-06-23,24.99,29.03,38.338
