Date,rate_MKC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,79.5
2019-01-31,-5.28,2.79,-8.07,70.95
2019-03-01,4.11,5.82,-1.71,77.69
2019-03-29,14.59,6.59,8.0,87.99
2019-04-29,16.2,10.42,5.78,85.63
2019-05-28,15.37,5.19,10.18,90.3
2019-06-25,15.04,9.51,5.53,85.37
2019-07-24,18.84,12.59,6.25,86.13
2019-08-21,18.8,8.26,10.54,90.68
2019-09-19,16.75,11.09,5.66,85.51
2019-10-17,17.75,10.2,7.55,87.51
2019-11-14,18.08,13.63,4.45,84.22
2019-12-13,20.72,16.06,4.66,84.44
2020-01-14,19.78,19.31,0.47,80.0
2020-02-12,18.05,22.17,-4.12,75.14
2020-03-12,-6.15,-7.39,1.24,80.82
2020-04-09,10.19,4.54,5.65,85.49
2020-05-08,16.81,9.68,7.13,87.06
2020-06-08,22.49,20.77,1.72,81.33
2020-07-07,29.22,16.81,12.41,92.66
2020-08-04,38.36,22.24,16.12,96.6
2020-09-01,40.04,26.62,13.42,93.73
2020-09-30,35.09,22.37,12.72,92.99
2020-10-28,28.49,18.79,9.7,89.79
2020-11-25,27.93,31.0,-3.07,76.25
2020-12-24,28.33,32.65,-4.32,74.92
2021-01-26,31.38,37.29,-5.91,73.24
2021-02-24,15.63,39.48,-23.85,54.21
2021-03-24,19.05,38.31,-19.26,59.08
2021-04-22,23.95,44.93,-20.98,57.26
2021-05-20,22.82,45.12,-22.3,55.86
2021-06-18,16.1,44.74,-28.64,49.14
2021-07-19,19.13,46.9,-27.77,50.06
2021-08-16,15.86,52.69,-36.83,40.45
2021-09-14,13.16,50.65,-37.49,39.75
2021-10-12,3.95,46.96,-43.01,33.9
2021-11-09,7.64,57.28,-49.64,26.87
2021-12-08,17.52,57.14,-39.62,37.49
2022-01-06,27.44,55.71,-28.27,49.53
2022-02-04,33.85,48.73,-14.88,63.73
2022-03-07,36.39,38.56,-2.17,77.2
2022-04-04,33.59,50.04,-16.45,62.06
2022-05-03,28.42,36.37,-7.95,71.07
2022-06-01,18.96,33.73,-14.77,63.84
2022-06-30,9.19,23.28,-14.09,64.56
2022-07-29,14.43,34.14,-19.71,58.6
2022-08-26,13.98,32.25,-18.27,60.13
2022-09-26,0.9,20.34,-19.44,58.89
2022-10-24,-0.2,24.25,-24.45,53.58
2022-11-21,13.9,29.08,-15.18,63.41
2022-12-20,10.86,24.09,-13.23,65.48
2023-01-20,3.31,28.72,-25.41,52.56
2023-02-17,1.05,31.99,-30.94,46.7
2023-03-20,-2.2,27.76,-29.96,47.74
2023-04-18,13.45,33.44,-19.99,58.31
2023-05-16,19.28,31.79,-12.51,66.24
2023-06-14,20.77,39.9,-19.13,59.22
2023-07-14,13.69,43.27,-29.58,48.14
2023-08-11,14.77,42.01,-27.24,50.62
2023-09-11,11.03,42.23,-31.2,46.42
2023-10-09,-13.97,36.77,-50.74,25.7
2023-11-06,-11.72,37.4,-49.12,27.42
2023-12-05,-8.99,43.51,-52.5,23.84
2024-01-04,-7.03,46.32,-53.35,22.94
2024-02-02,-7.45,54.14,-61.59,14.2
2024-03-04,-6.27,59.08,-65.35,10.21
2024-04-02,7.06,60.46,-53.4,22.88
2024-04-30,4.08,55.27,-51.19,25.23
2024-05-29,-3.74,62.08,-65.82,9.71
2024-06-27,-3.13,68.1,-71.23,3.98
2024-07-26,4.02,66.24,-62.22,13.53
