Date,rate_UPS_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,58.78
2019-01-31,5.34,2.79,2.55,60.99
2019-03-01,9.97,5.82,4.15,62.38
2019-03-29,9.9,6.59,3.31,61.65
2019-04-29,2.84,10.42,-7.58,52.2
2019-05-28,-7.65,5.19,-12.84,47.64
2019-06-25,-4.54,9.51,-14.05,46.59
2019-07-24,12.3,12.59,-0.29,58.52
2019-08-21,13.15,8.26,4.89,63.02
2019-09-19,15.0,11.09,3.91,62.17
2019-10-17,13.99,10.2,3.79,62.07
2019-11-14,18.98,13.63,5.35,63.42
2019-12-13,13.47,16.06,-2.59,56.53
2020-01-14,11.92,19.31,-7.39,52.36
2020-02-12,0.81,22.17,-21.36,40.24
2020-03-12,-17.28,-7.39,-9.89,50.2
2020-04-09,-5.19,4.54,-9.73,50.33
2020-05-08,-8.66,9.68,-18.34,42.86
2020-06-08,6.29,20.77,-14.48,46.21
2020-07-07,9.91,16.81,-6.9,52.79
2020-08-04,38.12,22.24,15.88,72.56
2020-09-01,53.02,26.62,26.4,81.68
2020-09-30,56.99,22.37,34.62,88.82
2020-10-28,45.78,18.79,26.99,82.2
2020-11-25,58.31,31.0,27.31,82.47
2020-12-24,58.8,32.65,26.15,81.47
2021-01-26,48.01,37.29,10.72,68.08
2021-02-24,45.95,39.48,6.47,64.39
2021-03-24,44.98,38.31,6.67,64.56
2021-04-22,58.97,44.93,14.04,70.96
2021-05-20,89.39,45.12,44.27,97.19
2021-06-18,75.76,44.74,31.02,85.69
2021-07-19,85.79,46.9,38.89,92.52
2021-08-16,70.63,52.69,17.94,74.34
2021-09-14,65.14,50.65,14.49,71.35
2021-10-12,56.82,46.96,9.86,67.33
2021-11-09,79.48,57.28,22.2,78.04
2021-12-08,73.9,57.14,16.76,73.32
2022-01-06,82.74,55.71,27.03,82.23
2022-02-04,88.31,48.73,39.58,93.12
2022-03-07,67.57,38.56,29.01,83.95
2022-04-04,69.89,50.04,19.85,76.0
2022-05-03,46.92,36.37,10.55,67.93
2022-06-01,47.97,33.73,14.24,71.13
2022-06-30,49.85,23.28,26.57,81.83
2022-07-29,58.36,34.14,24.22,79.79
2022-08-26,59.98,32.25,27.73,82.84
2022-09-26,30.84,20.34,10.5,67.89
2022-10-24,35.08,24.25,10.83,68.17
2022-11-21,45.03,29.08,15.95,72.62
2022-12-20,38.89,24.09,14.8,71.62
2023-01-20,41.96,28.72,13.24,70.26
2023-02-17,45.39,31.99,13.4,70.4
2023-03-20,45.05,27.76,17.29,73.78
2023-04-18,52.78,33.44,19.34,75.56
2023-05-16,30.74,31.79,-1.05,57.87
2023-06-14,36.81,39.9,-3.09,56.1
2023-07-14,44.39,43.27,1.12,59.75
2023-08-11,38.29,42.01,-3.72,55.55
2023-09-11,28.96,42.23,-13.27,47.26
2023-10-09,23.52,36.77,-13.25,47.28
2023-11-06,13.73,37.4,-23.67,38.24
2023-12-05,22.94,43.51,-20.57,40.93
2024-01-04,24.89,46.32,-21.43,40.18
2024-02-02,13.4,54.14,-40.74,23.43
2024-03-04,20.09,59.08,-38.99,24.95
2024-04-02,18.72,60.46,-41.74,22.56
2024-04-30,17.4,55.27,-37.87,25.92
2024-05-29,6.86,62.08,-55.22,10.86
2024-06-27,7.88,68.1,-60.22,6.52
2024-07-26,2.25,66.24,-63.99,3.25
