Date,rate_LIN,rate_VOO,Sector,rate_META
2022-01-03,0.0,0.0,none,0.0
2022-01-04,0.91,-0.02,none,-0.3
2022-01-05,1.14,-0.97,none,-2.11
2022-01-06,-0.09,-1.04,none,-0.89
2022-01-07,-0.35,-1.21,none,-0.99
2022-01-10,-0.47,-1.27,none,-1.54
2022-01-11,-0.25,-0.63,none,-0.14
2022-01-12,0.81,-0.4,none,-0.38
2022-01-13,-0.91,-1.43,none,-1.89
2022-01-14,-1.95,-1.41,none,-0.69
2022-01-18,-3.58,-2.7,none,-3.74
2022-01-19,-3.36,-3.45,none,-3.42
2022-01-20,-3.47,-4.24,none,-4.09
2022-01-21,-4.68,-5.63,none,-7.07
2022-01-24,-4.67,-5.34,none,-5.84
2022-01-25,-5.33,-6.33,none,-8.07
2022-01-26,-6.52,-6.51,none,-9.5
2022-01-27,-5.9,-6.91,none,-9.5
2022-01-28,-4.99,-4.96,none,-7.66
2022-01-31,-4.03,-3.46,none,-4.66
2022-02-01,-3.17,-2.79,none,-2.95
2022-02-02,-2.93,-1.97,none,-1.86
2022-02-03,-5.75,-4.0,none,-25.06
2022-02-04,-9.45,-3.6,none,-25.24
2022-02-07,-9.86,-3.88,none,-28.56
2022-02-08,-9.22,-3.15,none,-29.94
2022-02-09,-7.67,-1.81,none,-26.49
2022-02-10,-6.34,-3.44,none,-27.63
2022-02-11,-10.35,-5.24,none,-30.13
2022-02-14,-10.7,-5.53,none,-30.67
2022-02-15,-8.25,-4.08,none,-29.66
2022-02-16,-7.68,-3.98,none,-31.02
2022-02-17,-9.1,-5.93,none,-33.71
2022-02-18,-7.96,-6.5,none,-34.18
2022-02-22,-10.68,-7.48,none,-35.43
2022-02-23,-11.41,-9.06,none,-36.53
2022-02-24,-13.12,-7.73,none,-33.75
2022-02-25,-9.54,-5.81,none,-32.87
2022-02-28,-10.78,-6.04,none,-32.7
2022-03-01,-13.52,-7.18,none,-33.97
2022-03-02,-11.33,-5.58,none,-32.58
2022-03-03,-12.13,-6.03,none,-34.12
2022-03-04,-13.85,-6.74,none,-34.99
2022-03-07,-16.85,-9.33,none,-38.76
2022-03-08,-16.72,-9.98,none,-37.89
2022-03-09,-10.42,-7.69,none,-35.33
2022-03-10,-13.16,-8.09,none,-36.35
2022-03-11,-13.96,-9.21,none,-38.72
2022-03-14,-12.6,-9.84,none,-39.02
2022-03-15,-9.99,-7.92,none,-37.32
2022-03-16,-6.87,-5.92,none,-33.67
2022-03-17,-5.42,-4.8,none,-32.34
2022-03-18,-4.73,-3.77,none,-29.61
2022-03-21,-5.02,-3.77,none,-31.19
2022-03-22,-4.59,-2.68,none,-29.54
2022-03-23,-6.04,-3.9,none,-30.56
2022-03-24,-2.82,-2.83,none,-28.61
2022-03-25,-2.61,-2.35,none,-27.89
2022-03-28,-1.44,-1.69,none,-27.33
2022-03-29,-0.34,-0.48,none,-25.33
2022-03-30,-0.55,-1.09,none,-25.97
2022-03-31,-2.4,-2.57,none,-27.72
2022-04-01,-1.37,-2.24,none,-26.13
2022-04-04,-1.75,-1.45,none,-23.33
2022-04-05,-1.65,-2.62,none,-23.89
2022-04-06,-3.63,-3.57,none,-26.2
2022-04-07,-2.75,-3.1,none,-26.29
2022-04-08,-2.82,-3.33,none,-26.46
2022-04-11,-3.01,-4.94,none,-28.05
2022-04-12,-3.95,-5.28,none,-28.74
2022-04-13,-2.39,-4.23,none,-28.49
2022-04-14,-2.6,-5.37,none,-29.94
2022-04-18,-2.9,-5.35,none,-29.76
2022-04-19,-2.71,-3.88,none,-27.69
2022-04-20,-0.26,-3.95,none,-33.03
2022-04-21,-0.86,-5.34,none,-36.94
2022-04-22,-5.23,-7.86,none,-38.19
2022-04-25,-3.96,-7.37,none,-37.28
2022-04-26,-7.11,-9.95,none,-39.23
2022-04-27,-6.05,-9.73,none,-41.18
2022-04-28,-3.59,-7.52,none,-31.21
2022-04-29,-4.57,-10.83,none,-32.91
2022-05-02,-4.05,-9.99,none,-28.62
2022-05-03,-3.83,-9.62,none,-28.33
2022-05-04,-1.39,-6.99,none,-24.62
2022-05-05,-4.25,-10.13,none,-29.55
2022-05-06,-5.42,-10.67,none,-31.02
2022-05-09,-7.92,-13.43,none,-33.48
2022-05-10,-8.18,-13.22,none,-33.0
2022-05-11,-7.86,-14.58,none,-35.94
2022-05-12,-7.59,-14.64,none,-35.12
2022-05-13,-5.36,-12.68,none,-32.68
2022-05-16,-5.16,-12.99,none,-32.22
2022-05-17,-2.35,-11.29,none,-31.36
2022-05-18,-4.97,-14.71,none,-34.82
2022-05-19,-4.78,-15.27,none,-35.13
2022-05-20,-3.43,-15.25,none,-34.38
2022-05-23,-1.85,-13.68,none,-33.49
2022-05-24,-1.83,-14.29,none,-38.47
2022-05-25,-3.23,-13.59,none,-37.62
2022-05-26,-1.88,-11.92,none,-35.02
2022-05-27,0.92,-9.77,none,-33.85
2022-05-31,-0.57,-10.26,none,-34.35
2022-06-01,-2.04,-10.69,none,-35.01
2022-06-02,1.98,-9.06,none,-31.63
2022-06-03,1.6,-10.5,none,-34.34
2022-06-06,2.68,-10.26,none,-33.16
2022-06-07,2.75,-9.4,none,-32.69
2022-06-08,0.61,-10.37,none,-32.35
2022-06-09,-2.36,-12.42,none,-36.63
2022-06-10,-4.7,-14.93,none,-39.48
2022-06-13,-7.57,-18.12,none,-43.31
2022-06-14,-9.28,-18.32,none,-43.49
2022-06-15,-7.97,-17.18,none,-41.59
2022-06-16,-11.05,-19.83,none,-44.46
2022-06-17,-10.76,-19.62,none,-43.48
2022-06-21,-8.33,-17.71,none,-45.75
2022-06-22,-8.45,-17.88,none,-46.15
2022-06-23,-8.92,-17.04,none,-45.17
2022-06-24,-7.0,-14.53,none,-41.31
2022-06-27,-9.09,-14.84,none,-41.54
2022-06-28,-9.94,-16.63,none,-44.52
2022-06-29,-10.54,-16.92,none,-43.42
2022-06-30,-11.7,-17.56,none,-44.33
2022-07-01,-12.0,-16.28,none,-43.53
2022-07-05,-16.32,-16.14,none,-40.84
2022-07-06,-15.22,-15.85,none,-40.31
2022-07-07,-15.35,-14.65,none,-39.48
2022-07-08,-15.41,-14.7,none,-39.93
2022-07-11,-14.47,-15.64,none,-42.71
2022-07-12,-15.45,-16.4,none,-42.57
2022-07-13,-15.09,-16.77,none,-42.49
2022-07-14,-16.82,-16.99,none,-44.38
2022-07-15,-14.41,-15.46,none,-42.07
2022-07-18,-14.36,-16.14,none,-41.2
2022-07-19,-11.76,-13.93,none,-38.23
2022-07-20,-12.55,-13.4,none,-35.7
2022-07-21,-11.37,-12.55,none,-35.67
2022-07-22,-11.82,-13.32,none,-40.49
2022-07-25,-11.05,-13.24,none,-41.4
2022-07-26,-11.5,-14.25,none,-44.0
