Date,rate_AMZN,rate_AMZN_5D,rate_AMZN_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.83,,,-0.02,,
2022-01-05,-1.75,,,-0.97,,
2022-01-06,-2.07,,,-1.04,,
2022-01-07,-2.27,-1.384,,-1.21,-0.648,
2022-01-10,-2.58,-1.9,,-1.27,-0.9019999999999999,
2022-01-11,-0.86,-1.906,,-0.63,-1.024,
2022-01-12,-0.93,-1.7420000000000002,,-0.4,-0.9099999999999999,
2022-01-13,-2.7,-1.8679999999999999,,-1.43,-0.9879999999999999,
2022-01-14,-2.29,-1.8719999999999999,,-1.41,-1.028,
2022-01-18,-3.72,-2.1,,-2.7,-1.314,
2022-01-19,-4.89,-2.906,,-3.45,-1.8780000000000001,
2022-01-20,-6.95,-4.11,,-4.24,-2.646,
2022-01-21,-10.96,-5.7620000000000005,,-5.63,-3.4859999999999998,
2022-01-24,-10.11,-7.325999999999999,,-5.34,-4.272,
2022-01-25,-12.54,-9.09,,-6.33,-4.998,
2022-01-26,-13.13,-10.738,,-6.51,-5.609999999999999,
2022-01-27,-12.72,-11.892,,-6.91,-6.144,
2022-01-28,-10.41,-11.782,,-4.96,-6.01,
2022-01-31,-7.43,-11.245999999999999,-5.457,-3.46,-5.634,-2.8954999999999997
2022-02-01,-6.3,-9.998,-5.772,-2.79,-4.926,-3.035
2022-02-02,-6.62,-8.696000000000002,-6.0615000000000006,-1.97,-4.018,-3.1325
2022-02-03,-13.17,-8.786,-6.6325,-4.0,-3.436,-3.284
2022-02-04,-2.71,-7.2459999999999996,-6.664500000000001,-3.6,-3.164,-3.4120000000000004
2022-02-07,-2.55,-6.2700000000000005,-6.6785,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-0.51,-5.112,-6.575000000000001,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-0.64,-3.9159999999999995,-6.564,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-1.92,-1.666,-6.613499999999999,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-5.26,-2.1759999999999997,-6.7415,-5.24,-3.504,-4.0409999999999995
2022-02-14,-4.17,-2.5,-6.835500000000001,-5.53,-3.8340000000000005,-4.247
2022-02-15,-3.36,-3.07,-6.8175,-4.08,-4.0200000000000005,-4.316
2022-02-16,-2.4,-3.4219999999999997,-6.6930000000000005,-3.98,-4.454,-4.3425
2022-02-17,-4.48,-3.934,-6.5695,-5.93,-4.952,-4.427
2022-02-18,-5.71,-4.024,-6.307,-6.5,-5.204,-4.4704999999999995
2022-02-22,-7.15,-4.62,-6.159000000000001,-7.48,-5.593999999999999,-4.5775
2022-02-23,-10.38,-6.024000000000001,-6.051,-9.06,-6.590000000000001,-4.714
2022-02-24,-6.46,-6.836000000000001,-5.7175,-7.73,-7.340000000000001,-4.775
2022-02-25,-5.0,-6.94,-5.3315,-5.81,-7.316,-4.720000000000001
2022-02-28,-5.13,-6.824000000000001,-5.0675,-6.04,-7.224000000000001,-4.774
2022-03-01,-6.41,-6.676,-5.0165,-7.18,-7.164,-4.96
2022-03-02,-5.87,-5.774,-4.995,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-8.32,-6.146,-5.08,-6.03,-6.128,-5.3025
2022-03-04,-9.66,-7.078,-4.9045000000000005,-6.74,-6.314,-5.439500000000001
2022-03-07,-14.49,-8.95,-5.4935,-9.33,-6.9719999999999995,-5.726
2022-03-08,-15.36,-10.74,-6.134,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-13.39,-12.244,-6.7780000000000005,-7.69,-7.954000000000001,-6.258
2022-03-10,-8.85,-12.35,-7.1885,-8.09,-8.366,-6.572
2022-03-11,-9.63,-12.344000000000001,-7.574,-9.21,-8.86,-6.8605
2022-03-14,-11.84,-11.814,-7.9030000000000005,-9.84,-8.962,-7.0905000000000005
2022-03-15,-8.48,-10.438,-8.118500000000001,-7.92,-8.55,-7.210000000000001
2022-03-16,-4.97,-8.754000000000001,-8.199000000000002,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-2.45,-7.474000000000001,-8.2015,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,0.0,-5.548,-7.977500000000001,-3.77,-6.45,-7.235000000000001
2022-03-21,0.15,-3.15,-7.6845,-3.77,-5.236,-7.0985
2022-03-22,2.24,-1.0059999999999998,-7.215000000000001,-2.68,-4.188,-6.858499999999999
2022-03-23,1.33,0.254,-6.6295,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,1.47,1.038,-6.233,-2.83,-3.3899999999999997,-6.3555
2022-03-25,2.17,1.472,-5.874499999999999,-2.35,-3.106,-6.182499999999999
2022-03-28,4.76,2.3939999999999997,-5.380000000000001,-1.69,-2.69,-5.965000000000001
2022-03-29,4.96,2.9379999999999997,-4.8115000000000006,-0.48,-2.25,-5.63
2022-03-30,3.1,3.2920000000000003,-4.363,-1.09,-1.688,-5.4055
2022-03-31,1.07,3.2120000000000006,-3.8934999999999995,-2.57,-1.636,-5.2325
2022-04-01,1.38,3.054,-3.3415,-2.24,-1.614,-5.0075
2022-04-04,4.23,2.9480000000000004,-2.4055,-1.45,-1.566,-4.6135
2022-04-05,2.01,2.3579999999999997,-1.5370000000000001,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-0.72,1.594,-0.9035000000000002,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-1.23,1.134,-0.5225000000000001,-3.1,-2.596,-3.79
2022-04-08,-2.95,0.26799999999999996,-0.18850000000000003,-3.33,-2.814,-3.496
2022-04-11,-4.67,-1.512,0.17,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-4.86,-2.886,0.35100000000000003,-5.28,-4.044,-3.119
2022-04-13,-2.15,-3.1719999999999997,0.492,-4.23,-4.176,-3.0345
2022-04-14,-4.34,-3.7939999999999996,0.39749999999999996,-5.37,-4.630000000000001,-3.063
2022-04-18,-3.72,-3.9479999999999995,0.21150000000000002,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-0.54,-3.122,0.177,-3.88,-4.822000000000001,-3.1475
2022-04-20,-3.0,-2.75,-0.085,-3.95,-4.556,-3.211
2022-04-21,-6.4,-3.6,-0.4715,-5.34,-4.7780000000000005,-3.283
2022-04-22,-8.76,-4.484,-0.9830000000000002,-7.86,-5.276,-3.5345
2022-04-25,-7.73,-5.286,-1.4780000000000002,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-11.82,-7.542,-2.307,-9.95,-6.894,-4.1985
2022-04-27,-12.57,-9.456,-3.1835,-9.73,-8.05,-4.661
2022-04-28,-8.64,-9.904,-3.7705000000000006,-7.52,-8.485999999999999,-4.9825
2022-04-29,-21.08,-12.368,-4.878,-10.83,-9.08,-5.3955
2022-05-02,-20.35,-14.892000000000001,-5.964499999999999,-9.99,-9.604,-5.7829999999999995
2022-05-03,-20.5,-16.628,-7.2010000000000005,-9.62,-9.538,-6.1915
2022-05-04,-19.46,-18.006,-8.2745,-6.99,-8.99,-6.410000000000001
2022-05-05,-25.34,-21.346,-9.5055,-10.13,-9.512,-6.7379999999999995
2022-05-06,-26.35,-22.400000000000002,-10.761500000000002,-10.67,-9.48,-7.1165
2022-05-09,-30.05,-24.34,-12.1165,-13.43,-10.168,-7.6215
2022-05-10,-30.0,-26.24,-13.383000000000001,-13.22,-10.888,-8.0355
2022-05-11,-32.19,-28.786,-14.749500000000001,-14.58,-12.406,-8.500499999999999
2022-05-12,-31.21,-29.96,-16.2025,-14.64,-13.308000000000002,-9.021
