Date,rate_MPC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,24.36
2019-03-01,-2.92,4.45,-7.37,21.73
2019-04-29,-4.88,7.58,-12.46,19.92
2019-06-25,-18.6,7.2,-25.8,15.16
2019-08-21,-24.55,7.24,-31.79,13.02
2019-10-17,-0.43,8.87,-9.3,21.04
2019-12-13,-8.28,13.19,-21.47,16.7
2020-02-12,-7.82,18.03,-25.85,15.14
2020-04-09,-53.6,3.89,-57.49,3.86
2020-06-08,-25.58,14.68,-40.26,10.0
2020-08-04,-33.22,16.26,-49.48,6.71
2020-09-30,-47.33,17.41,-64.74,1.27
2020-11-25,-26.81,24.05,-50.86,6.22
2021-01-26,-20.59,29.15,-49.74,6.62
2021-03-24,-7.06,30.35,-37.41,11.02
2021-05-20,3.93,36.67,-32.74,12.68
2021-07-19,-10.93,38.99,-49.92,6.56
2021-09-14,0.36,43.6,-43.24,8.94
2021-11-09,16.53,49.14,-32.61,12.73
2022-01-06,21.64,49.24,-27.6,14.52
2022-03-07,29.06,37.68,-8.62,21.29
2022-05-03,59.66,36.93,22.73,32.47
2022-06-30,42.02,27.61,14.41,29.5
2022-08-26,79.42,34.27,45.15,40.46
2022-10-24,91.45,27.92,63.53,47.02
2022-12-20,94.07,28.33,65.74,47.8
2023-02-17,110.11,34.71,75.4,51.25
2023-04-18,121.2,36.36,84.84,54.61
2023-06-14,91.76,41.83,49.93,42.17
2023-08-11,156.16,43.86,112.3,64.41
2023-10-09,150.79,40.69,110.1,63.62
2023-12-05,154.76,46.52,108.24,62.96
2024-02-02,184.18,55.53,128.65,70.24
2024-04-02,260.32,61.42,198.9,95.29
2024-05-29,194.54,63.18,131.36,71.2
2024-07-26,194.86,67.5,127.36,69.78
