Date,rate_LRCX,rate_LRCX_5D,rate_LRCX_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-03-31,-18.29,-15.98,-20.3145,-2.57,-1.636,-5.2325
2022-04-01,-19.47,-16.718,-20.269,-2.24,-1.614,-5.0075
2022-04-04,-18.04,-17.241999999999997,-19.899499999999996,-1.45,-1.566,-4.6135
2022-04-05,-22.68,-19.034,-19.7705,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-23.47,-20.39,-19.872,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-22.72,-21.276,-19.792499999999997,-3.1,-2.596,-3.79
2022-04-08,-24.42,-22.266,-19.701,-3.33,-2.814,-3.496
2022-04-11,-26.73,-24.004,-19.623,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-28.04,-25.076,-19.725,-5.28,-4.044,-3.119
2022-04-13,-27.2,-25.821999999999996,-20.002000000000002,-4.23,-4.176,-3.0345
2022-04-14,-29.65,-27.208,-20.488,-5.37,-4.630000000000001,-3.063
2022-04-18,-27.51,-27.826,-21.0005,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-26.22,-27.724,-21.3915,-3.88,-4.822000000000001,-3.1475
2022-04-20,-25.88,-27.292,-21.838,-3.95,-4.556,-3.211
2022-04-21,-27.66,-27.383999999999997,-22.258499999999998,-5.34,-4.7780000000000005,-3.283
2022-04-22,-28.61,-27.176,-22.91,-7.86,-5.276,-3.5345
2022-04-25,-26.63,-27.0,-23.4525,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-29.49,-27.653999999999996,-24.156,-9.95,-6.894,-4.1985
2022-04-27,-29.56,-28.389999999999997,-24.948,-9.73,-8.05,-4.661
2022-04-28,-25.43,-27.944,-25.384999999999998,-7.52,-8.485999999999999,-4.9825
2022-04-29,-28.22,-27.865999999999996,-25.8815,-10.83,-9.08,-5.3955
2022-05-02,-25.45,-27.629999999999995,-26.180500000000002,-9.99,-9.604,-5.7829999999999995
2022-05-03,-24.55,-26.642000000000003,-26.506,-9.62,-9.538,-6.1915
2022-05-04,-21.5,-25.029999999999998,-26.447000000000003,-6.99,-8.99,-6.410000000000001
2022-05-05,-25.15,-24.974,-26.531,-10.13,-9.512,-6.7379999999999995
