Date,rate_UBER_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-05-10,0.0,0.0,0.0,51.14
2019-06-10,8.23,2.48,5.75,55.5
2019-07-09,11.75,4.73,7.02,56.47
2019-08-06,-1.01,1.11,-2.12,49.53
2019-09-04,-12.77,2.71,-15.48,39.4
2019-10-02,-20.41,0.55,-20.96,35.24
2019-10-30,-7.62,6.08,-13.7,40.75
2019-11-27,-18.68,9.71,-28.39,29.61
2019-12-27,-16.25,12.04,-28.29,29.68
2020-01-28,2.92,13.12,-10.2,43.4
2020-02-26,-4.32,9.3,-13.62,40.81
2020-03-25,-26.66,-11.47,-15.19,39.62
2020-04-23,-20.08,0.02,-20.1,35.89
2020-05-21,-2.97,5.54,-8.51,44.69
2020-06-19,-8.51,10.67,-19.18,36.59
2020-07-20,-4.48,15.38,-19.86,36.08
2020-08-17,-14.34,18.91,-33.25,25.92
2020-09-15,2.38,18.41,-16.03,38.98
2020-10-13,-2.34,21.74,-24.08,32.88
2020-11-10,28.7,22.84,5.86,55.59
2020-12-09,46.24,26.35,19.89,66.23
2021-01-08,44.06,30.71,13.35,61.27
2021-02-08,59.21,33.3,25.91,70.8
2021-03-09,49.31,31.53,17.78,64.63
2021-04-07,52.59,37.27,15.32,62.76
2021-05-05,36.53,39.33,-2.8,49.02
2021-06-03,29.41,39.61,-10.2,43.4
2021-07-01,33.82,42.7,-8.88,44.41
2021-07-30,15.02,45.34,-30.32,28.14
2021-08-27,9.74,46.66,-36.92,23.14
2021-09-27,26.65,44.84,-18.19,37.34
2021-10-25,22.22,47.96,-25.74,31.62
2021-11-22,13.6,51.0,-37.4,22.77
2021-12-21,11.9,48.75,-36.85,23.19
2022-01-20,0.68,42.84,-42.16,19.16
2022-02-17,-4.87,39.13,-44.0,17.77
2022-03-18,-10.74,41.34,-52.08,11.64
2022-04-18,-14.81,38.22,-53.03,10.92
2022-05-16,-36.37,25.99,-62.36,3.84
2022-06-14,-42.62,17.37,-59.99,5.64
2022-07-14,-43.28,18.39,-61.67,4.36
2022-08-11,-16.36,30.2,-46.56,15.82
2022-09-09,-14.98,28.23,-43.21,18.36
2022-10-07,-24.32,14.54,-38.86,21.66
2022-11-04,-23.09,18.53,-41.62,19.57
2022-12-05,-24.61,25.45,-50.06,13.17
2023-01-04,-29.03,20.17,-49.2,13.82
2023-02-02,-9.38,30.09,-39.47,21.2
2023-03-03,-5.18,25.82,-31.0,27.63
2023-03-31,-12.96,27.47,-40.43,20.47
2023-05-01,-9.8,28.67,-38.47,21.96
2023-05-30,3.35,30.08,-26.73,30.87
2023-06-28,21.61,35.22,-13.61,40.82
2023-07-27,27.85,39.18,-11.33,42.55
2023-08-24,22.49,35.23,-12.74,41.48
2023-09-22,19.94,32.23,-12.29,41.82
2023-10-20,15.76,28.56,-12.8,41.43
2023-11-17,46.21,37.17,9.04,58.0
2023-12-18,65.04,43.67,21.37,67.35
2024-01-18,72.74,43.95,28.79,72.98
2024-02-15,115.45,51.04,64.41,100.0
2024-03-15,100.21,53.24,46.97,86.77
2024-04-15,92.12,50.56,41.56,82.67
2024-05-13,71.98,54.85,17.13,64.14
2024-06-11,80.45,58.95,21.5,67.45
2024-07-11,89.71,63.98,25.73,70.66
