Date,rate_GIS_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,52.95
2019-01-31,3.52,2.79,0.73,53.69
2019-03-01,9.47,5.82,3.65,56.67
2019-03-29,19.84,6.59,13.25,66.46
2019-04-29,17.45,10.42,7.03,60.12
2019-05-28,17.26,5.19,12.07,65.26
2019-06-25,22.71,9.51,13.2,66.41
2019-07-24,20.16,12.59,7.57,60.67
2019-08-21,22.82,8.26,14.56,67.8
2019-09-19,23.26,11.09,12.17,65.36
2019-10-17,19.53,10.2,9.33,62.46
2019-11-14,18.19,13.63,4.56,57.6
2019-12-13,15.65,16.06,-0.41,52.53
2020-01-14,18.34,19.31,-0.97,51.96
2020-02-12,17.78,22.17,-4.39,48.47
2020-03-12,10.95,-7.39,18.34,71.65
2020-04-09,26.71,4.54,22.17,75.56
2020-05-08,31.24,9.68,21.56,74.93
2020-06-08,35.2,20.77,14.43,67.66
2020-07-07,36.33,16.81,19.52,72.85
2020-08-04,40.85,22.24,18.61,71.93
2020-09-01,35.76,26.62,9.14,62.27
2020-09-30,34.32,22.37,11.95,65.13
2020-10-28,28.95,18.79,10.16,63.31
2020-11-25,29.43,31.0,-1.57,51.35
2020-12-24,27.04,32.65,-5.61,47.23
2021-01-26,26.58,37.29,-10.71,42.03
2021-02-24,19.92,39.48,-19.56,33.0
2021-03-24,24.7,38.31,-13.61,39.07
2021-04-22,31.41,44.93,-13.52,39.16
2021-05-20,32.71,45.12,-12.41,40.29
2021-06-18,26.15,44.74,-18.59,33.99
2021-07-19,27.7,46.9,-19.2,33.37
2021-08-16,25.42,52.69,-27.27,25.14
2021-09-14,23.91,50.65,-26.74,25.68
2021-10-12,30.37,46.96,-16.59,36.03
2021-11-09,32.04,57.28,-25.24,27.21
2021-12-08,33.69,57.14,-23.45,29.03
2022-01-06,41.93,55.71,-13.78,38.89
2022-02-04,40.15,48.73,-8.58,44.2
2022-03-07,39.06,38.56,0.5,53.46
2022-04-04,40.21,50.04,-9.83,42.92
2022-05-03,41.97,36.37,5.6,58.66
2022-06-01,41.9,33.73,8.17,61.28
2022-06-30,53.56,23.28,30.28,83.83
2022-07-29,51.57,34.14,17.43,70.72
2022-08-26,53.64,32.25,21.39,74.76
2022-09-26,57.92,20.34,37.58,91.27
2022-10-24,55.12,24.25,30.87,84.43
2022-11-21,63.03,29.08,33.95,87.57
2022-12-20,62.97,24.09,38.88,92.6
2023-01-20,51.09,28.72,22.37,75.76
2023-02-17,49.13,31.99,17.14,70.43
2023-03-20,55.96,27.76,28.2,81.71
2023-04-18,68.32,33.44,34.88,88.52
2023-05-16,72.77,31.79,40.98,94.74
2023-06-14,53.74,39.9,13.84,67.06
2023-07-14,42.48,43.27,-0.79,52.14
2023-08-11,37.96,42.01,-4.05,48.82
2023-09-11,28.79,42.23,-13.44,39.24
2023-10-09,24.79,36.77,-11.98,40.73
2023-11-06,26.94,37.4,-10.46,42.28
2023-12-05,25.29,43.51,-18.22,34.37
2024-01-04,27.33,46.32,-18.99,33.58
2024-02-02,25.24,54.14,-28.9,23.48
2024-03-04,24.16,59.08,-34.92,17.34
2024-04-02,35.69,60.46,-24.77,27.69
2024-04-30,35.74,55.27,-19.53,33.03
2024-05-29,27.9,62.08,-34.18,18.09
2024-06-27,22.25,68.1,-45.85,6.19
2024-07-26,27.03,66.24,-39.21,12.96
