Date,rate_MDLZ_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,72.97
2019-03-01,5.92,6.13,-0.21,72.66
2019-04-29,12.43,10.74,1.69,75.45
2019-06-25,20.34,9.75,10.59,88.51
2019-08-21,16.49,9.45,7.04,83.3
2019-10-17,15.35,11.38,3.97,78.8
2019-12-13,11.9,17.31,-5.41,65.03
2020-02-12,23.03,23.26,-0.23,72.63
2020-04-09,8.87,5.35,3.52,78.14
2020-06-08,11.21,21.76,-10.55,57.49
2020-08-04,14.8,23.27,-8.47,60.54
2020-09-30,16.41,22.35,-5.94,64.26
2020-11-25,15.98,30.73,-14.75,51.33
2021-01-26,15.56,37.01,-21.45,41.5
2021-03-24,16.14,38.04,-21.9,40.84
2021-05-20,25.51,45.0,-19.49,44.37
2021-07-19,26.47,46.79,-20.32,43.15
2021-09-14,19.43,49.47,-30.04,28.89
2021-11-09,22.59,55.69,-33.1,24.4
2022-01-06,31.27,54.19,-22.92,39.34
2022-03-07,21.06,37.12,-16.06,49.41
2022-05-03,24.57,34.96,-10.39,57.73
2022-06-30,19.27,22.0,-2.73,68.97
2022-08-26,21.27,30.79,-9.52,59.0
2022-10-24,14.09,22.72,-8.63,60.31
2022-12-20,27.19,22.59,4.6,79.72
2023-02-17,28.41,30.41,-2.0,70.04
2023-04-18,34.65,31.87,2.78,77.05
2023-06-14,38.65,38.27,0.38,73.53
2023-08-11,39.69,40.92,-1.23,71.17
2023-10-09,22.17,35.51,-13.34,53.4
2023-12-05,34.65,42.24,-7.59,61.83
2024-02-02,45.47,52.79,-7.32,62.23
2024-04-02,30.38,59.09,-28.71,30.84
2024-05-29,25.67,60.75,-35.08,21.5
2024-07-26,24.2,64.89,-40.69,13.26
