Date,rate_CRM,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-1.39,0.0,0.0
2022-01-05,-5.36,0.0,0.0
2022-01-06,-5.08,0.0,0.0
2022-01-07,-5.24,-3.414,0.0
2022-01-10,-4.98,-4.41,0.0
2022-01-11,-3.41,-4.814,0.0
2022-01-12,-2.51,-4.244,0.0
2022-01-13,-5.28,-4.284000000000001,0.0
2022-01-14,-4.5,-4.136,0.0
2022-01-18,-6.06,-4.351999999999999,0.0
2022-01-19,-6.0,-4.87,0.0
2022-01-20,-7.0,-5.768000000000001,0.0
2022-01-21,-8.3,-6.372,0.0
2022-01-24,-6.98,-6.868,0.0
2022-01-25,-9.7,-7.595999999999999,0.0
2022-01-26,-11.26,-8.648,0.0
2022-01-27,-10.64,-9.376,0.0
2022-01-28,-7.3,-9.176,0.0
2022-01-31,-3.55,-8.489999999999998,-5.727
2022-02-01,-3.63,-7.276000000000001,-5.9085
2022-02-02,-6.26,-6.276,-6.152
2022-02-03,-10.78,-6.304,-6.423
2022-02-04,-8.4,-6.523999999999999,-6.589
2022-02-07,-9.23,-7.660000000000001,-6.788499999999999
2022-02-08,-9.05,-8.744,-6.992
2022-02-09,-7.25,-8.942,-7.184
2022-02-10,-8.96,-8.578,-7.5065
2022-02-11,-12.77,-9.452000000000002,-7.8809999999999985
2022-02-14,-13.35,-10.276,-8.3235
2022-02-15,-10.2,-10.506,-8.5305
2022-02-16,-11.21,-11.298,-8.791
2022-02-17,-15.92,-12.690000000000001,-9.237
2022-02-18,-17.2,-13.575999999999999,-9.681999999999999
2022-02-22,-17.89,-14.484,-10.227500000000001
2022-02-23,-19.73,-16.39,-10.729
2022-02-24,-14.2,-16.988,-10.876000000000001
2022-02-25,-12.67,-16.338,-10.9775
2022-02-28,-11.69,-15.236,-11.197
2022-03-01,-11.99,-14.056000000000001,-11.619
2022-03-02,-11.39,-12.388,-12.007
2022-03-03,-13.64,-12.276,-12.376000000000001
2022-03-04,-14.33,-12.608,-12.5535
2022-03-07,-17.03,-13.675999999999998,-12.985
2022-03-08,-18.73,-15.024000000000001,-13.459999999999999
2022-03-09,-14.19,-15.584,-13.716999999999999
2022-03-10,-15.42,-15.940000000000001,-14.125499999999999
2022-03-11,-16.34,-16.342000000000002,-14.494500000000002
2022-03-14,-18.3,-16.596,-14.770999999999997
2022-03-15,-17.05,-16.259999999999998,-14.956
2022-03-16,-13.15,-16.052,-15.1035
2022-03-17,-11.15,-15.197999999999999,-15.1005
2022-03-18,-7.68,-13.466,-14.6885
2022-03-21,-9.78,-11.762,-14.317499999999999
2022-03-22,-7.91,-9.934000000000001,-13.8185
2022-03-23,-10.87,-9.478,-13.375499999999999
2022-03-24,-9.67,-9.181999999999999,-13.149000000000001
2022-03-25,-10.9,-9.826,-13.060500000000001
2022-03-28,-9.13,-9.696000000000002,-12.932500000000001
2022-03-29,-6.62,-9.437999999999999,-12.664
2022-03-30,-9.27,-9.118,-12.558000000000002
2022-03-31,-10.37,-9.258,-12.394499999999999
2022-04-01,-10.09,-9.096,-12.182500000000001
2022-04-04,-7.41,-8.751999999999999,-11.7015
2022-04-05,-11.01,-9.629999999999999,-11.3155
2022-04-06,-14.86,-10.748,-11.349
2022-04-07,-15.13,-11.7,-11.3345
2022-04-08,-16.37,-12.956,-11.336
2022-04-11,-17.08,-14.889999999999997,-11.275
2022-04-12,-17.34,-16.156,-11.2895
2022-04-13,-16.97,-16.578,-11.480500000000001
2022-04-14,-19.59,-17.47,-11.9025
2022-04-18,-20.6,-18.316,-12.5485
2022-04-19,-18.75,-18.65,-12.997
2022-04-20,-20.92,-19.366,-13.647499999999999
2022-04-21,-24.71,-20.913999999999998,-14.339499999999997
2022-04-22,-27.15,-22.426,-15.2135
2022-04-25,-25.83,-23.472,-15.959999999999999
2022-04-26,-27.72,-25.266,-16.8895
2022-04-27,-25.78,-26.238,-17.8475
2022-04-28,-21.13,-25.522,-18.4405
2022-04-29,-25.25,-25.142,-19.1845
2022-05-02,-23.86,-24.747999999999998,-19.872999999999998
2022-05-03,-23.53,-23.91,-20.679
2022-05-04,-20.57,-22.868000000000002,-21.157000000000004
2022-05-05,-26.06,-23.854000000000003,-21.717000000000002
2022-05-06,-27.14,-24.232,-22.317500000000003
2022-05-09,-29.68,-25.396,-22.983
2022-05-10,-28.19,-26.328000000000003,-23.538500000000003
2022-05-11,-30.65,-28.344,-24.204
2022-05-12,-31.01,-29.333999999999996,-24.906
2022-05-13,-28.29,-29.564,-25.341
2022-05-16,-29.46,-29.52,-25.784000000000002
2022-05-17,-29.62,-29.806,-26.327500000000004
2022-05-18,-32.33,-30.141999999999996,-26.898000000000003
2022-05-19,-33.06,-30.552,-27.315499999999997
2022-05-20,-31.35,-31.163999999999998,-27.5255
2022-05-23,-31.07,-31.486,-27.7875
2022-05-24,-32.5,-32.062,-28.026500000000006
2022-05-25,-31.35,-31.866000000000003,-28.304999999999996
2022-05-26,-30.16,-31.286,-28.7565
2022-05-27,-29.04,-30.824,-28.945999999999998
2022-05-31,-31.1,-30.830000000000002,-29.308000000000003
2022-06-01,-23.72,-29.074,-29.317500000000003
2022-06-02,-18.55,-26.514,-29.216500000000003
2022-06-03,-20.03,-24.488,-28.915
2022-06-06,-20.9,-22.860000000000003,-28.602999999999998
2022-06-07,-19.07,-20.454,-28.0725
2022-06-08,-18.21,-19.351999999999997,-27.573500000000003
2022-06-09,-19.09,-19.46,-26.9955
2022-06-10,-22.78,-20.009999999999998,-26.584000000000003
2022-06-13,-28.07,-21.444000000000003,-26.573
2022-06-14,-28.75,-23.380000000000003,-26.5375
2022-06-15,-27.0,-25.137999999999998,-26.4065
2022-06-16,-30.71,-27.462,-26.325499999999998
2022-06-17,-29.25,-28.756,-26.135
2022-06-21,-27.73,-28.688,-25.954
2022-06-22,-27.47,-28.432,-25.774
2022-06-23,-25.08,-28.048000000000002,-25.403
2022-06-24,-19.6,-25.826,-24.8155
2022-06-27,-21.56,-24.288,-24.3855
2022-06-28,-25.76,-23.894,-24.2215
2022-06-29,-26.12,-23.624000000000002,-23.9725
2022-06-30,-28.5,-24.308,-24.2115
2022-07-01,-26.42,-25.671999999999997,-24.605
2022-07-05,-24.76,-26.312,-24.841500000000003
2022-07-06,-24.53,-26.066000000000003,-25.023
2022-07-07,-22.86,-25.413999999999998,-25.2125
2022-07-08,-23.35,-24.384,-25.469500000000004
2022-07-11,-23.84,-23.868000000000002,-25.707
2022-07-12,-27.31,-24.378000000000004,-25.933500000000002
2022-07-13,-28.54,-25.18,-25.957
2022-07-14,-29.6,-26.528,-25.9995
2022-07-15,-26.86,-27.23,-25.9925
2022-07-18,-26.64,-27.79,-25.788999999999998
2022-07-19,-24.08,-27.144,-25.5305
2022-07-20,-20.34,-25.503999999999998,-25.160999999999998
2022-07-21,-19.09,-23.401999999999997,-24.742
2022-07-22,-20.34,-22.098000000000003,-24.505000000000003
2022-07-25,-22.57,-21.284,-24.6535
2022-07-26,-25.53,-21.574,-24.852
2022-07-27,-21.27,-21.76,-24.6275
2022-07-28,-20.85,-22.112000000000002,-24.363999999999997
2022-07-29,-19.67,-21.978,-23.9225
2022-08-01,-19.59,-21.382,-23.581
2022-08-02,-19.32,-20.14,-23.309
2022-08-03,-17.43,-19.372000000000003,-22.954
2022-08-04,-16.91,-18.584,-22.6565
2022-08-05,-17.26,-18.102,-22.351999999999997
2022-08-08,-17.4,-17.663999999999998,-22.03
2022-08-09,-19.61,-17.722,-21.645000000000003
2022-08-10,-17.73,-17.782,-21.104499999999998
2022-08-11,-18.29,-18.058,-20.539
2022-08-12,-17.36,-18.077999999999996,-20.064
2022-08-15,-17.01,-18.0,-19.582500000000003
2022-08-16,-17.43,-17.564,-19.25
2022-08-17,-17.9,-17.598,-19.128
2022-08-18,-17.91,-17.522,-19.069000000000003
2022-08-19,-19.11,-17.872000000000003,-19.0075
2022-08-22,-21.06,-18.682,-18.932
2022-08-23,-21.35,-19.466,-18.723
2022-08-24,-20.17,-19.92,-18.668
2022-08-25,-21.97,-20.732,-18.723999999999997
2022-08-26,-24.52,-21.814,-18.966500000000003
2022-08-29,-26.0,-22.802,-19.287
2022-08-30,-26.16,-23.764,-19.628999999999998
2022-08-31,-27.23,-25.176,-20.119
2022-09-01,-27.29,-26.24,-20.637999999999998
2022-09-02,-27.25,-26.786,-21.1375
2022-09-06,-27.83,-27.151999999999997,-21.659
2022-09-07,-27.23,-27.366000000000003,-22.04
2022-09-08,-25.68,-27.056,-22.4375
2022-09-09,-23.25,-26.248,-22.685499999999998
2022-09-12,-21.96,-25.19,-22.9155
2022-09-13,-25.32,-24.688000000000002,-23.331
2022-09-14,-24.35,-24.112000000000002,-23.677
2022-09-15,-26.8,-24.336000000000002,-24.122
2022-09-16,-28.27,-25.34,-24.639999999999997
2022-09-19,-27.68,-26.484,-25.0685
2022-09-20,-29.06,-27.232,-25.4685
2022-09-21,-30.05,-28.372000000000003,-25.9035
