Date,rate_NOW_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,6.12
2019-01-31,12.52,2.79,9.73,15.44
2019-03-01,20.47,5.82,14.65,20.14
2019-03-29,22.5,6.59,15.91,21.35
2019-04-29,34.22,10.42,23.8,28.9
2019-05-28,30.85,5.19,25.66,30.68
2019-06-25,34.31,9.51,24.8,29.86
2019-07-24,43.73,12.59,31.14,35.92
2019-08-21,26.71,8.26,18.45,23.78
2019-09-19,27.53,11.09,16.44,21.86
2019-10-17,20.09,10.2,9.89,15.59
2019-11-14,19.46,13.63,5.83,11.7
2019-12-13,27.69,16.06,11.63,17.25
2020-01-14,39.28,19.31,19.97,25.23
2020-02-12,59.44,22.17,37.27,41.79
2020-03-12,19.21,-7.39,26.6,31.58
2020-04-09,25.84,4.54,21.3,26.51
2020-05-08,68.85,9.68,59.17,62.75
2020-06-08,71.49,20.77,50.72,54.66
2020-07-07,80.85,16.81,64.04,67.41
2020-08-04,90.75,22.24,68.51,71.68
2020-09-01,106.63,26.62,80.01,82.69
2020-09-30,103.8,22.37,81.43,84.05
2020-10-28,101.19,18.79,82.4,84.98
2020-11-25,113.64,31.0,82.64,85.21
2020-12-24,125.49,32.65,92.84,94.97
2021-01-26,114.75,37.29,77.46,80.25
2021-02-24,120.23,39.48,80.75,83.4
2021-03-24,87.03,38.31,48.72,52.75
2021-04-22,115.07,44.93,70.14,73.24
2021-05-20,83.5,45.12,38.38,42.85
2021-06-18,106.06,44.74,61.32,64.8
2021-07-19,112.35,46.9,65.45,68.76
2021-08-16,120.48,52.69,67.79,71.0
2021-09-14,129.51,50.65,78.86,81.59
2021-10-12,122.06,46.96,75.1,77.99
2021-11-09,140.35,57.28,83.07,85.62
2021-12-08,129.92,57.14,72.78,75.77
2022-01-06,96.89,55.71,41.18,45.53
2022-02-04,96.63,48.73,47.9,51.96
2022-03-07,75.92,38.56,37.36,41.88
2022-04-04,93.09,50.04,43.05,47.32
2022-05-03,61.24,36.37,24.87,29.92
2022-06-01,58.19,33.73,24.46,29.53
2022-06-30,58.26,23.28,34.98,39.6
2022-07-29,48.0,34.14,13.86,19.39
2022-08-26,49.01,32.25,16.76,22.16
2022-09-26,24.62,20.34,4.28,10.22
2022-10-24,23.06,24.25,-1.19,4.99
2022-11-21,29.63,29.08,0.55,6.65
2022-12-20,28.92,24.09,4.83,10.75
2023-01-20,46.85,28.72,18.13,23.47
2023-02-17,45.32,31.99,13.33,18.88
2023-03-20,43.52,27.76,15.76,21.21
2023-04-18,56.22,33.44,22.78,27.92
2023-05-16,53.07,31.79,21.28,26.49
2023-06-14,84.3,39.9,44.4,48.61
2023-07-14,86.43,43.27,43.16,47.43
2023-08-11,77.86,42.01,35.85,40.43
2023-09-11,87.95,42.23,45.72,49.88
2023-10-09,74.51,36.77,37.74,42.24
2023-11-06,87.26,37.4,49.86,53.84
2023-12-05,110.13,43.51,66.62,69.88
2024-01-04,104.0,46.32,57.68,61.32
2024-02-02,135.57,54.14,81.43,84.05
2024-03-04,132.57,59.08,73.49,76.45
2024-04-02,125.55,60.46,65.09,68.41
2024-04-30,106.7,55.27,51.43,55.34
2024-05-29,116.67,62.08,54.59,58.36
2024-06-27,128.16,68.1,60.06,63.6
2024-07-26,142.4,66.24,76.16,79.0
