Date,rate_DUK_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,94.73
2019-03-01,4.84,6.13,-1.29,92.55
2019-04-29,4.77,10.74,-5.97,84.67
2019-06-25,5.22,9.75,-4.53,87.1
2019-08-21,4.95,9.45,-4.5,87.15
2019-10-17,8.11,11.38,-3.27,89.22
2019-12-13,2.23,17.31,-15.08,69.32
2020-02-12,10.77,23.26,-12.49,73.69
2020-04-09,2.34,5.35,-3.01,89.66
2020-06-08,4.32,21.76,-17.44,65.35
2020-08-04,-3.84,23.27,-27.11,49.06
2020-09-30,2.47,22.35,-19.88,61.24
2020-11-25,10.95,30.73,-19.78,61.4
2021-01-26,7.03,37.01,-29.98,44.22
2021-03-24,8.59,38.04,-29.45,45.11
2021-05-20,17.16,45.0,-27.84,47.83
2021-07-19,18.51,46.79,-28.28,47.09
2021-09-14,15.5,49.47,-33.97,37.5
2021-11-09,15.48,55.69,-40.21,26.99
2022-01-06,16.76,54.19,-37.43,31.67
2022-03-07,19.84,37.12,-17.28,65.62
2022-05-03,20.8,34.96,-14.16,70.87
2022-06-30,19.19,22.0,-2.81,89.99
2022-08-26,20.73,30.79,-10.06,77.78
2022-10-24,-1.47,22.72,-24.19,53.98
2022-12-20,11.1,22.59,-11.49,75.37
2023-02-17,9.96,30.41,-20.45,60.28
2023-04-18,7.56,31.87,-24.31,53.77
2023-06-14,0.26,38.27,-38.01,30.69
2023-08-11,2.91,40.92,-38.01,30.69
2023-10-09,-1.02,35.51,-36.53,33.19
2023-12-05,3.68,42.24,-38.56,29.77
2024-02-02,7.67,52.79,-45.12,18.72
2024-04-02,7.91,59.09,-51.18,8.51
2024-05-29,11.92,60.75,-48.83,12.47
2024-07-26,20.39,64.89,-44.5,19.76
