Date,rate_MSFT,rate_MSFT_5D,rate_MSFT_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.84,,,-0.02,,
2022-01-05,-2.7,,,-0.97,,
2022-01-06,-3.06,,,-1.04,,
2022-01-07,-3.04,-1.9280000000000002,,-1.21,-0.648,
2022-01-10,-3.01,-2.5300000000000002,,-1.27,-0.9019999999999999,
2022-01-11,-2.85,-2.932,,-0.63,-1.024,
2022-01-12,-2.1,-2.8120000000000003,,-0.4,-0.9099999999999999,
2022-01-13,-5.15,-3.2299999999999995,,-1.43,-0.9879999999999999,
2022-01-14,-3.93,-3.408,,-1.41,-1.028,
2022-01-18,-5.64,-3.934,,-2.7,-1.314,
2022-01-19,-5.48,-4.459999999999999,,-3.45,-1.8780000000000001,
2022-01-20,-5.88,-5.216,,-4.24,-2.646,
2022-01-21,-7.14,-5.614,,-5.63,-3.4859999999999998,
2022-01-24,-7.06,-6.24,,-5.34,-4.272,
2022-01-25,-9.17,-6.946000000000001,,-6.33,-4.998,
2022-01-26,-6.97,-7.244,,-6.51,-5.609999999999999,
2022-01-27,-6.13,-7.294,,-6.91,-6.144,
2022-01-28,-3.87,-6.639999999999999,,-4.96,-6.01,
2022-01-31,-3.14,-5.856,-4.358,-3.46,-5.634,-2.8954999999999997
2022-02-01,-3.66,-4.754,-4.541,-2.79,-4.926,-3.035
2022-02-02,-2.35,-3.8300000000000005,-4.6165,-1.97,-4.018,-3.1325
2022-02-03,-5.77,-3.758,-4.77,-4.0,-3.436,-3.284
2022-02-04,-4.45,-3.8739999999999997,-4.8395,-3.6,-3.164,-3.4120000000000004
2022-02-07,-5.85,-4.4159999999999995,-4.9799999999999995,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-4.78,-4.64,-5.068499999999999,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-2.81,-4.732,-5.0665,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-5.43,-4.664,-5.2330000000000005,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-7.6,-5.294,-5.3555,-5.24,-3.504,-4.0409999999999995
2022-02-14,-7.62,-5.648,-5.54,-5.53,-3.8340000000000005,-4.247
2022-02-15,-5.95,-5.882,-5.555499999999999,-4.08,-4.0200000000000005,-4.316
2022-02-16,-6.25,-6.57,-5.593999999999999,-3.98,-4.454,-4.3425
2022-02-17,-8.92,-7.268000000000001,-5.7459999999999996,-5.93,-4.952,-4.427
2022-02-18,-9.77,-7.702,-5.8775,-6.5,-5.204,-4.4704999999999995
2022-02-22,-9.83,-8.144,-6.016,-7.48,-5.593999999999999,-4.5775
2022-02-23,-12.1,-9.373999999999999,-6.1625,-9.06,-6.590000000000001,-4.714
2022-02-24,-7.74,-9.672,-6.2010000000000005,-7.73,-7.340000000000001,-4.775
2022-02-25,-6.91,-9.27,-6.24,-5.81,-7.316,-4.720000000000001
2022-02-28,-6.46,-8.608,-6.3695,-6.04,-7.224000000000001,-4.774
2022-03-01,-7.42,-8.126000000000001,-6.583500000000001,-7.18,-7.164,-4.96
2022-03-02,-5.85,-6.876,-6.6930000000000005,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-7.12,-6.752,-6.9315000000000015,-6.03,-6.128,-5.3025
2022-03-04,-8.94,-7.1579999999999995,-7.090000000000001,-6.74,-6.314,-5.439500000000001
2022-03-07,-12.22,-8.309999999999999,-7.478500000000001,-9.33,-6.9719999999999995,-5.726
2022-03-08,-13.15,-9.456,-7.843500000000001,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-9.31,-10.148,-8.069999999999999,-7.69,-7.954000000000001,-6.258
2022-03-10,-10.19,-10.762,-8.438999999999998,-8.09,-8.366,-6.572
2022-03-11,-11.87,-11.348,-8.761,-9.21,-8.86,-6.8605
2022-03-14,-12.97,-11.498,-9.0295,-9.84,-8.962,-7.0905000000000005
2022-03-15,-9.68,-10.803999999999998,-9.1325,-7.92,-8.55,-7.210000000000001
2022-03-16,-7.45,-10.431999999999999,-9.2075,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-7.2,-9.834,-9.254999999999999,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-5.6,-8.58,-9.089,-3.77,-6.45,-7.235000000000001
2022-03-21,-5.99,-7.184,-8.9,-3.77,-5.236,-7.0985
2022-03-22,-4.48,-6.144,-8.6325,-2.68,-4.188,-6.858499999999999
2022-03-23,-5.88,-5.83,-8.321499999999999,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-4.47,-5.284000000000001,-8.158,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-4.6,-5.084,-8.0425,-2.35,-3.106,-6.182499999999999
2022-03-28,-2.44,-4.3740000000000006,-7.841500000000001,-1.69,-2.69,-5.965000000000001
2022-03-29,-0.99,-3.6759999999999997,-7.519999999999999,-0.48,-2.25,-5.63
2022-03-30,-1.47,-2.794,-7.300999999999999,-1.09,-1.688,-5.4055
2022-03-31,-3.17,-2.534,-7.1034999999999995,-2.57,-1.636,-5.2325
2022-04-01,-2.75,-2.164,-6.794,-2.24,-1.614,-5.0075
2022-04-04,-1.09,-1.8940000000000001,-6.2375,-1.45,-1.566,-4.6135
2022-04-05,-2.15,-2.126,-5.6875,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-5.09,-2.85,-5.4765,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-4.61,-3.138,-5.1975,-3.1,-2.596,-3.79
2022-04-08,-5.75,-3.7379999999999995,-4.8915,-3.33,-2.814,-3.496
2022-04-11,-8.77,-5.273999999999999,-4.6815,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-9.7,-6.784000000000001,-4.6825,-5.28,-4.044,-3.119
2022-04-13,-8.09,-7.384,-4.714499999999999,-4.23,-4.176,-3.0345
2022-04-14,-10.34,-8.53,-4.871499999999999,-5.37,-4.630000000000001,-3.063
2022-04-18,-10.14,-9.408,-5.0985,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-8.69,-9.392,-5.233499999999999,-3.88,-4.822000000000001,-3.1475
2022-04-20,-8.37,-9.126000000000001,-5.428,-3.95,-4.556,-3.211
2022-04-21,-10.06,-9.52,-5.637,-5.34,-4.7780000000000005,-3.283
2022-04-22,-12.12,-9.876000000000001,-6.019499999999999,-7.86,-5.276,-3.5345
2022-04-25,-10.08,-9.864,-6.2935,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-13.36,-10.797999999999998,-6.839499999999999,-9.95,-6.894,-4.1985
2022-04-27,-9.3,-10.984,-7.255,-9.73,-8.05,-4.661
2022-04-28,-7.3,-10.431999999999999,-7.5465,-7.52,-8.485999999999999,-4.9825
2022-04-29,-11.08,-10.224,-7.942,-10.83,-9.08,-5.3955
2022-05-02,-8.66,-9.940000000000001,-8.2375,-9.99,-9.604,-5.7829999999999995
2022-05-03,-9.49,-9.166,-8.6575,-9.62,-9.538,-6.1915
2022-05-04,-6.95,-8.696000000000002,-8.897499999999999,-6.99,-8.99,-6.410000000000001
2022-05-05,-10.87,-9.41,-9.186499999999999,-10.13,-9.512,-6.7379999999999995
2022-05-06,-11.68,-9.53,-9.540000000000001,-10.67,-9.48,-7.1165
2022-05-09,-14.83,-10.764,-9.994,-13.43,-10.168,-7.6215
2022-05-10,-13.29,-11.524,-10.22,-13.22,-10.888,-8.0355
2022-05-11,-16.1,-13.354,-10.540000000000001,-14.58,-12.406,-8.500499999999999
2022-05-12,-17.73,-14.725999999999999,-11.022,-14.64,-13.308000000000002,-9.021
2022-05-13,-15.92,-15.574000000000002,-11.301,-12.68,-13.709999999999999,-9.3865
2022-05-16,-15.8,-15.768,-11.584,-12.99,-13.622,-9.7685
2022-05-17,-14.11,-15.931999999999999,-11.855,-11.29,-13.236,-10.139
2022-05-18,-18.16,-16.344,-12.3445,-14.71,-13.262,-10.677
2022-05-19,-18.46,-16.49,-12.764500000000002,-15.27,-13.388,-11.1735
2022-05-20,-18.64,-17.034,-13.0905,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-16.07,-17.088,-13.39,-13.68,-14.040000000000001,-11.8585
2022-05-24,-16.4,-17.546,-13.542000000000002,-14.29,-14.64,-12.075500000000002
2022-05-25,-15.48,-17.009999999999998,-13.850999999999999,-13.59,-14.416,-12.2685
2022-05-26,-14.4,-16.198,-14.206,-11.92,-13.745999999999999,-12.4885
2022-05-27,-12.07,-14.884,-14.255500000000001,-9.77,-12.65,-12.435500000000001
2022-05-31,-12.51,-14.172,-14.447999999999999,-10.26,-11.966,-12.449
2022-06-01,-11.99,-13.290000000000001,-14.573000000000002,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-11.31,-12.456,-14.791,-9.06,-10.34,-12.606
2022-06-03,-12.75,-12.126,-14.885,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-13.16,-12.344,-14.959,-10.26,-10.154,-12.604
2022-06-07,-11.97,-12.236,-14.815999999999999,-9.4,-9.982,-12.4025
2022-06-08,-12.63,-12.364,-14.783000000000001,-10.37,-9.918000000000001,-12.26
2022-06-09,-14.41,-12.984,-14.698500000000001,-12.42,-10.59,-12.152
2022-06-10,-18.14,-14.062000000000001,-14.719,-14.93,-11.475999999999999,-12.1665
2022-06-13,-21.54,-15.738,-15.0,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-20.82,-17.508000000000003,-15.251000000000001,-18.32,-14.831999999999999,-12.705
2022-06-15,-18.5,-18.682,-15.470500000000001,-17.18,-16.194,-12.999500000000001
2022-06-16,-20.67,-19.934,-15.595999999999998,-19.83,-17.676,-13.255500000000001
2022-06-17,-19.81,-20.268,-15.663499999999999,-19.62,-18.614,-13.472999999999999
2022-06-21,-17.86,-19.532,-15.624500000000001,-17.71,-18.532,-13.596
2022-06-22,-18.06,-18.979999999999997,-15.724,-17.88,-18.444,-13.806000000000001
2022-06-23,-16.23,-18.526,-15.7155,-17.04,-18.416,-13.9435
2022-06-24,-13.4,-17.072,-15.611500000000001,-14.53,-17.356,-13.9905
2022-06-27,-14.3,-15.970000000000002,-15.6065,-14.84,-16.4,-14.136499999999998
2022-06-28,-16.99,-15.795999999999998,-15.852500000000001,-16.63,-16.184,-14.479499999999998
2022-06-29,-15.78,-15.339999999999998,-16.016,-16.92,-15.992,-14.8125
2022-06-30,-16.87,-15.468,-16.259999999999998,-17.56,-16.096,-15.156
2022-07-01,-15.56,-15.9,-16.4725,-16.28,-16.446,-15.517
2022-07-05,-14.54,-15.947999999999999,-16.562,-16.14,-16.706,-15.799000000000001
2022-07-06,-13.49,-15.248,-16.5785,-15.85,-16.55,-16.0785
2022-07-07,-12.79,-14.65,-16.6195,-14.65,-16.096,-16.341
2022-07-08,-13.03,-13.882,-16.6395,-14.7,-15.524000000000001,-16.5575
2022-07-11,-14.03,-13.575999999999999,-16.6205,-15.64,-15.395999999999997,-16.7185
2022-07-12,-17.48,-14.163999999999998,-16.5875,-16.4,-15.447999999999999,-16.792
2022-07-13,-17.78,-15.022,-16.3995,-16.77,-15.632,-16.7245
2022-07-14,-17.35,-15.934000000000001,-16.226,-16.99,-16.1,-16.658
2022-07-15,-16.51,-16.630000000000003,-16.1265,-15.46,-16.252000000000002,-16.572
2022-07-18,-17.29,-17.282,-15.957500000000001,-16.14,-16.352,-16.3875
2022-07-19,-15.61,-16.908,-15.747499999999999,-13.93,-15.857999999999999,-16.103
2022-07-20,-14.74,-16.3,-15.5915,-13.4,-15.184000000000001,-15.8875
2022-07-21,-13.92,-15.613999999999999,-15.3845,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-15.35,-15.382,-15.3405,-13.32,-13.868,-15.434999999999999
2022-07-25,-15.84,-15.091999999999999,-15.4625,-13.24,-13.288,-15.370499999999998
2022-07-26,-18.04,-15.578,-15.6495,-14.25,-13.352,-15.341
2022-07-27,-12.68,-15.166,-15.433999999999997,-12.07,-13.086000000000002,-15.113
2022-07-28,-10.24,-14.429999999999998,-15.157,-10.99,-12.774,-14.8165
2022-07-29,-8.86,-13.132,-14.756499999999999,-9.72,-12.053999999999998,-14.4245
2022-08-01,-9.47,-11.858,-14.452000000000002,-9.72,-11.350000000000001,-14.0965
2022-08-02,-10.23,-10.296000000000001,-14.236499999999998,-10.15,-10.53,-13.797
2022-08-03,-8.42,-9.443999999999999,-13.983,-9.12,-9.94,-13.460500000000001
2022-08-04,-8.14,-9.024,-13.750499999999999,-9.18,-9.578,-13.187000000000001
2022-08-05,-8.31,-8.914,-13.514499999999998,-9.31,-9.496,-12.9175
2022-08-08,-8.93,-8.806000000000001,-13.2595,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,-8.49,-8.458,-12.809999999999999,-9.62,-9.319999999999999,-12.265
2022-08-10,-6.97,-8.168000000000001,-12.2695,-8.33,-9.162,-11.843
2022-08-11,-7.44,-8.028,-11.774,-8.33,-8.992,-11.41
2022-08-12,-6.36,-7.638,-11.2665,-7.26,-8.581999999999999,-11.0
2022-08-15,-6.02,-7.056,-10.703,-6.98,-8.104000000000001,-10.542
2022-08-16,-6.18,-6.593999999999999,-10.2315,-6.87,-7.554,-10.189
2022-08-17,-6.48,-6.4959999999999996,-9.8185,-7.3,-7.348000000000001,-9.884
2022-08-18,-6.72,-6.352,-9.458499999999999,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,-7.58,-6.595999999999999,-9.07,-7.96,-7.244,-9.344
2022-08-22,-9.37,-7.266,-8.746500000000001,-9.24,-7.696,-9.144
2022-08-23,-9.65,-7.959999999999999,-8.327000000000002,-9.38,-8.198,-8.9005
2022-08-24,-9.79,-8.622,-8.182500000000001,-9.2,-8.578,-8.757
2022-08-25,-9.13,-9.104000000000001,-8.126999999999999,-8.33,-8.822,-8.623999999999999
2022-08-26,-11.46,-9.879999999999999,-8.257000000000001,-10.4,-9.31,-8.658
2022-08-29,-12.08,-10.422,-8.3875,-10.79,-9.620000000000001,-8.7115
2022-08-30,-12.57,-11.006,-8.5045,-11.42,-10.028,-8.774999999999999
2022-08-31,-12.89,-11.626000000000001,-8.728,-11.87,-10.562,-8.9125
2022-09-01,-12.79,-12.358,-8.9605,-11.4,-11.175999999999998,-9.0235
2022-09-02,-13.71,-12.808000000000002,-9.2305,-11.98,-11.492,-9.157
2022-09-06,-14.3,-13.252,-9.499,-12.17,-11.768,-9.297
2022-09-07,-12.99,-13.336000000000002,-9.724,-10.9,-11.664,-9.361
2022-09-08,-12.86,-13.330000000000002,-10.0185,-10.38,-11.366,-9.4635
2022-09-09,-11.07,-12.986,-10.2,-9.13,-10.912,-9.503499999999999
2022-09-12,-10.4,-12.324000000000002,-10.402,-8.23,-10.162,-9.552
2022-09-13,-15.07,-12.478,-10.8545,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-15.0,-12.88,-11.2955,-11.7,-10.290000000000001,-10.045
2022-09-15,-17.18,-13.744,-11.8305,-12.63,-10.74,-10.311499999999999
2022-09-16,-17.38,-15.006,-12.3635,-13.28,-11.57,-10.620000000000001
2022-09-19,-17.45,-16.416000000000004,-12.857,-12.65,-12.453999999999999,-10.8545
2022-09-20,-18.13,-17.028,-13.294999999999998,-13.61,-12.774,-11.073
2022-09-21,-19.27,-17.881999999999998,-13.776000000000002,-15.08,-13.45,-11.358
2022-09-22,-18.61,-18.168,-14.216999999999999,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-19.6,-18.612000000000002,-14.7405,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-19.75,-19.072000000000003,-15.155000000000001,-17.92,-15.906,-12.503499999999999
2022-09-27,-20.1,-19.466,-15.556000000000001,-18.14,-16.812,-12.871
2022-09-28,-18.57,-19.326,-15.856,-16.92,-17.18,-13.146
2022-09-29,-19.74,-19.552,-16.198500000000003,-18.62,-17.748,-13.483500000000001
2022-09-30,-21.25,-19.881999999999998,-16.6215,-19.84,-18.288,-13.905499999999998
2022-10-03,-18.21,-19.573999999999998,-16.8465,-17.32,-18.168,-14.172500000000003
2022-10-04,-15.55,-18.663999999999998,-16.909,-14.89,-17.518,-14.3085
2022-10-05,-15.44,-18.038000000000004,-17.0315,-15.03,-17.14,-14.515
2022-10-06,-16.23,-17.336000000000002,-17.2,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-20.33,-17.151999999999997,-17.663,-18.18,-16.264,-15.243500000000001
2022-10-10,-21.96,-17.902,-18.241,-18.77,-16.554,-15.770500000000002
2022-10-11,-23.24,-19.44,-18.6495,-19.3,-17.436,-16.135
2022-10-12,-23.13,-20.977999999999998,-19.056,-19.54,-18.338,-16.526999999999997
2022-10-13,-20.3,-21.792,-19.212,-17.48,-18.654,-16.7695
2022-10-14,-22.19,-22.163999999999998,-19.4525,-19.3,-18.878,-17.070500000000003
2022-10-17,-19.2,-21.612000000000002,-19.54,-17.29,-18.582,-17.3025
2022-10-18,-18.88,-20.740000000000002,-19.5775,-16.34,-17.99,-17.439
2022-10-19,-19.56,-20.026,-19.592,-16.91,-17.464,-17.530499999999996
2022-10-20,-19.67,-19.9,-19.645000000000003,-17.57,-17.482,-17.619999999999997
2022-10-21,-17.66,-18.994,-19.548,-15.63,-16.747999999999998,-17.544500000000003
2022-10-24,-15.93,-18.339999999999996,-19.357,-14.63,-16.216,-17.380000000000003
2022-10-25,-14.78,-17.52,-19.091,-13.27,-15.602,-17.1365
2022-10-26,-21.29,-17.866,-19.226999999999997,-13.9,-15.0,-16.9855
2022-10-27,-22.83,-18.497999999999998,-19.3815,-14.35,-14.356,-16.772
2022-10-28,-19.76,-18.918,-19.307,-12.4,-13.709999999999999,-16.4
2022-10-31,-21.02,-19.936,-19.447499999999998,-12.98,-13.38,-16.183
2022-11-01,-21.81,-21.342000000000002,-19.7605,-13.0,-13.325999999999999,-16.0885
