Date,rate_LIN,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.91,0.0,0.0
2022-01-05,1.14,0.0,0.0
2022-01-06,-0.09,0.0,0.0
2022-01-07,-0.35,0.322,0.0
2022-01-10,-0.47,0.22800000000000004,0.0
2022-01-11,-0.25,-0.003999999999999981,0.0
2022-01-12,0.81,-0.06999999999999992,0.0
2022-01-13,-0.91,-0.23399999999999999,0.0
2022-01-14,-1.95,-0.554,0.0
2022-01-18,-3.58,-1.176,0.0
2022-01-19,-3.36,-1.798,0.0
2022-01-20,-3.47,-2.654,0.0
2022-01-21,-4.68,-3.408,0.0
2022-01-24,-4.67,-3.9520000000000004,0.0
2022-01-25,-5.33,-4.302,0.0
2022-01-26,-6.52,-4.933999999999999,0.0
2022-01-27,-5.9,-5.42,0.0
2022-01-28,-4.99,-5.482,0.0
2022-01-31,-4.03,-5.354,-2.3845
2022-02-01,-3.17,-4.922,-2.543
2022-02-02,-2.93,-4.204000000000001,-2.735
2022-02-03,-5.75,-4.1739999999999995,-3.0795
2022-02-04,-9.45,-5.066,-3.5475000000000003
2022-02-07,-9.86,-6.231999999999999,-4.023000000000001
2022-02-08,-9.22,-7.441999999999998,-4.4605
2022-02-09,-7.67,-8.389999999999999,-4.8315
2022-02-10,-6.34,-8.508,-5.189
2022-02-11,-10.35,-8.687999999999999,-5.661
2022-02-14,-10.7,-8.856,-6.0985
2022-02-15,-8.25,-8.662,-6.332
2022-02-16,-7.68,-8.664,-6.548
2022-02-17,-9.1,-9.216,-6.8295
2022-02-18,-7.96,-8.738000000000001,-6.9935
2022-02-22,-10.68,-8.734,-7.294
2022-02-23,-11.41,-9.366,-7.597999999999999
2022-02-24,-13.12,-10.453999999999999,-7.928
2022-02-25,-9.54,-10.541999999999998,-8.11
2022-02-28,-10.78,-11.105999999999998,-8.3995
2022-03-01,-13.52,-11.673999999999998,-8.873999999999999
2022-03-02,-11.33,-11.658,-9.282
2022-03-03,-12.13,-11.459999999999999,-9.742
2022-03-04,-13.85,-12.322,-10.147
2022-03-07,-16.85,-13.536000000000001,-10.517
2022-03-08,-16.72,-14.175999999999998,-10.86
2022-03-09,-10.42,-13.994,-10.92
2022-03-10,-13.16,-14.2,-11.194500000000001
2022-03-11,-13.96,-14.222,-11.575500000000002
2022-03-14,-12.6,-13.372,-11.688
2022-03-15,-9.99,-12.026,-11.6525
2022-03-16,-6.87,-11.315999999999999,-11.583499999999999
2022-03-17,-5.42,-9.768,-11.4705
2022-03-18,-4.73,-7.922,-11.251999999999999
2022-03-21,-5.02,-6.406000000000001,-11.105
2022-03-22,-4.59,-5.326,-10.800500000000001
2022-03-23,-6.04,-5.16,-10.532
2022-03-24,-2.82,-4.64,-10.017
2022-03-25,-2.61,-4.215999999999999,-9.6705
2022-03-28,-1.44,-3.5,-9.203500000000002
2022-03-29,-0.34,-2.6499999999999995,-8.544500000000001
2022-03-30,-0.55,-1.552,-8.0055
2022-03-31,-2.4,-1.468,-7.519
2022-04-01,-1.37,-1.22,-6.8950000000000005
2022-04-04,-1.75,-1.282,-6.140000000000001
2022-04-05,-1.65,-1.544,-5.3865
2022-04-06,-3.63,-2.16,-5.047000000000001
2022-04-07,-2.75,-2.2299999999999995,-4.5265
2022-04-08,-2.82,-2.52,-3.9695
2022-04-11,-3.01,-2.772,-3.4899999999999998
2022-04-12,-3.95,-3.232,-3.1879999999999997
2022-04-13,-2.39,-2.9840000000000004,-2.964
2022-04-14,-2.6,-2.954,-2.823
2022-04-18,-2.9,-2.97,-2.7315
2022-04-19,-2.71,-2.91,-2.616
2022-04-20,-0.26,-2.1719999999999997,-2.3995
2022-04-21,-0.86,-1.8659999999999997,-2.1405000000000003
2022-04-22,-5.23,-2.3920000000000003,-2.261
2022-04-25,-3.96,-2.604,-2.3284999999999996
2022-04-26,-7.11,-3.4840000000000004,-2.612
2022-04-27,-6.05,-4.642,-2.8975
2022-04-28,-3.59,-5.188,-3.0494999999999997
2022-04-29,-4.57,-5.056,-3.158
2022-05-02,-4.05,-5.074,-3.2920000000000003
2022-05-03,-3.83,-4.418,-3.396
2022-05-04,-1.39,-3.4859999999999998,-3.383
2022-05-05,-4.25,-3.618,-3.414
2022-05-06,-5.42,-3.7879999999999994,-3.5475000000000003
2022-05-09,-7.92,-4.561999999999999,-3.8024999999999998
2022-05-10,-8.18,-5.432,-4.061
2022-05-11,-7.86,-6.726000000000001,-4.2565
2022-05-12,-7.59,-7.394,-4.5165
2022-05-13,-5.36,-7.382,-4.6545000000000005
2022-05-16,-5.16,-6.83,-4.7675
2022-05-17,-2.35,-5.664,-4.7495
2022-05-18,-4.97,-5.086,-4.985
2022-05-19,-4.78,-4.524,-5.181
2022-05-20,-3.43,-4.138,-5.090999999999999
2022-05-23,-1.85,-3.4760000000000004,-4.9855
2022-05-24,-1.83,-3.372,-4.721500000000001
2022-05-25,-3.23,-3.024,-4.5805
2022-05-26,-1.88,-2.444,-4.495
2022-05-27,0.92,-1.5739999999999998,-4.2204999999999995
2022-05-31,-0.57,-1.318,-4.0465
2022-06-01,-2.04,-1.3599999999999999,-3.957
2022-06-02,1.98,-0.31799999999999995,-3.7885
2022-06-03,1.6,0.378,-3.496
2022-06-06,2.68,0.7300000000000001,-3.091
2022-06-07,2.75,1.3940000000000001,-2.5575
2022-06-08,0.61,1.924,-2.118
2022-06-09,-2.36,1.056,-1.843
2022-06-10,-4.7,-0.20400000000000001,-1.6985
2022-06-13,-7.57,-2.254,-1.8090000000000004
2022-06-14,-9.28,-4.66,-2.0149999999999997
2022-06-15,-7.97,-6.3759999999999994,-2.296
2022-06-16,-11.05,-8.114,-2.6
2022-06-17,-10.76,-9.325999999999999,-2.899
2022-06-21,-8.33,-9.478,-3.1439999999999997
2022-06-22,-8.45,-9.312,-3.474
2022-06-23,-8.92,-9.501999999999999,-3.8285000000000005
2022-06-24,-7.0,-8.692,-4.017
2022-06-27,-9.09,-8.358,-4.3775
2022-06-28,-9.94,-8.679999999999998,-4.9205
2022-06-29,-10.54,-9.097999999999999,-5.419
2022-06-30,-11.7,-9.654,-5.901999999999999
2022-07-01,-12.0,-10.654,-6.600999999999999
2022-07-05,-16.32,-12.1,-7.497
2022-07-06,-15.22,-13.156,-8.392
2022-07-07,-15.35,-14.118,-9.297
2022-07-08,-15.41,-14.86,-10.098
2022-07-11,-14.47,-15.354,-10.7035
2022-07-12,-15.45,-15.180000000000001,-11.241000000000001
2022-07-13,-15.09,-15.154,-11.616999999999999
2022-07-14,-16.82,-15.448000000000002,-11.994
2022-07-15,-14.41,-15.248000000000001,-12.315999999999999
2022-07-18,-14.36,-15.225999999999999,-12.4815
2022-07-19,-11.76,-14.488,-12.5315
2022-07-20,-12.55,-13.98,-12.7425
2022-07-21,-11.37,-12.89,-12.888499999999999
2022-07-22,-11.82,-12.372,-13.0335
2022-07-25,-11.05,-11.71,-13.236
2022-07-26,-11.5,-11.658,-13.3565
2022-07-27,-10.34,-11.216,-13.376499999999998
2022-07-28,-8.38,-10.617999999999999,-13.2685
2022-07-29,-6.85,-9.623999999999999,-13.026
2022-08-01,-7.24,-8.862,-12.788
2022-08-02,-7.79,-8.120000000000001,-12.3615
2022-08-03,-7.24,-7.5,-11.9625
2022-08-04,-6.75,-7.1739999999999995,-11.5325
