Date,rate_HON_5D,rate_HON_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,0.93,,-0.648,
2022-01-10,1.248,,-0.9019999999999999,
2022-01-11,1.6640000000000001,,-1.024,
2022-01-12,2.12,,-0.9099999999999999,
2022-01-13,2.6719999999999997,,-0.9879999999999999,
2022-01-14,2.8619999999999997,,-1.028,
2022-01-18,2.872,,-1.314,
2022-01-19,2.4739999999999998,,-1.8780000000000001,
2022-01-20,1.8080000000000003,,-2.646,
2022-01-21,0.7860000000000001,,-3.4859999999999998,
2022-01-24,-0.156,,-4.272,
2022-01-25,-0.986,,-4.998,
2022-01-26,-1.75,,-5.609999999999999,
2022-01-27,-2.3840000000000003,,-6.144,
2022-01-28,-2.634,,-6.01,
2022-01-31,-2.6320000000000006,0.251,-5.634,-2.8954999999999997
2022-02-01,-2.3680000000000003,0.1915,-4.926,-3.035
2022-02-02,-1.7740000000000002,0.1535,-4.018,-3.1325
2022-02-03,-2.5420000000000003,-0.2495,-3.436,-3.284
2022-02-04,-3.444,-0.655,-3.164,-3.4120000000000004
2022-02-07,-4.465999999999999,-1.098,-3.2479999999999998,-3.5454999999999997
2022-02-08,-5.3839999999999995,-1.4665000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-6.305999999999999,-1.839,-3.2879999999999994,-3.6985000000000006
2022-02-10,-6.31,-2.357,-3.1759999999999997,-3.8505000000000003
2022-02-11,-6.724000000000001,-3.0040000000000004,-3.504,-4.0409999999999995
2022-02-14,-7.252000000000001,-3.6265,-3.8340000000000005,-4.247
2022-02-15,-7.702,-4.11,-4.0200000000000005,-4.316
2022-02-16,-8.383999999999999,-4.5535000000000005,-4.454,-4.3425
2022-02-17,-9.040000000000001,-5.069,-4.952,-4.427
2022-02-18,-9.494,-5.574,-5.204,-4.4704999999999995
2022-02-22,-9.88,-6.057499999999999,-5.593999999999999,-4.5775
2022-02-23,-10.868,-6.580499999999999,-6.590000000000001,-4.714
2022-02-24,-11.496,-6.99,-7.340000000000001,-4.775
2022-02-25,-11.126,-7.254499999999998,-7.316,-4.720000000000001
2022-02-28,-10.414000000000001,-7.519,-7.224000000000001,-4.774
2022-03-01,-10.26,-7.964499999999999,-7.164,-4.96
2022-03-02,-9.508,-8.3655,-6.467999999999999,-5.099500000000001
2022-03-03,-8.974,-8.790000000000001,-6.128,-5.3025
2022-03-04,-9.028,-8.876000000000001,-6.314,-5.439500000000001
2022-03-07,-9.680000000000001,-9.078,-6.9719999999999995,-5.726
2022-03-08,-9.712,-9.276,-7.531999999999999,-6.031000000000001
2022-03-09,-9.802,-9.47,-7.954000000000001,-6.258
2022-03-10,-10.088,-9.7355,-8.366,-6.572
2022-03-11,-10.565999999999999,-9.940000000000001,-8.86,-6.8605
2022-03-14,-10.468,-10.014,-8.962,-7.0905000000000005
2022-03-15,-10.034,-9.9715,-8.55,-7.210000000000001
2022-03-16,-9.494,-9.918000000000001,-8.196000000000002,-7.302000000000001
2022-03-17,-8.77,-9.832,-7.537999999999999,-7.343000000000001
2022-03-18,-7.58,-9.575,-6.45,-7.235000000000001
2022-03-21,-6.642,-9.301,-5.236,-7.0985
2022-03-22,-5.95,-8.989,-4.188,-6.858499999999999
2022-03-23,-5.826,-8.6575,-3.7840000000000003,-6.600500000000001
2022-03-24,-5.562,-8.3485,-3.3899999999999997,-6.3555
2022-03-25,-5.266,-8.110000000000001,-3.106,-6.182499999999999
2022-03-28,-4.8740000000000006,-7.9159999999999995,-2.69,-5.965000000000001
2022-03-29,-4.632,-7.581999999999999,-2.25,-5.63
