Date,rate_CRM_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-6850.0
2022-01-05,0.0,0.0,-452.58
2022-01-06,0.0,0.0,-388.46
2022-01-07,-3.41,0.0,-333.06
2022-01-10,-4.41,0.0,-292.13
2022-01-11,-4.81,0.0,-441.27
2022-01-12,-4.24,0.0,-527.5
2022-01-13,-4.28,0.0,-269.23
2022-01-14,-4.14,0.0,-219.15
2022-01-18,-4.35,0.0,-124.44
2022-01-19,-4.87,0.0,-73.91
2022-01-20,-5.77,0.0,-65.09
2022-01-21,-6.37,0.0,-47.42
2022-01-24,-6.87,0.0,-30.71
2022-01-25,-7.6,0.0,-53.24
2022-01-26,-8.65,0.0,-72.96
2022-01-27,-9.38,0.0,-53.98
2022-01-28,-9.18,0.0,-47.18
2022-01-31,-8.49,-2.9,-2.6
2022-02-01,-7.28,-3.04,-30.11
2022-02-02,-6.28,-3.13,-217.77
2022-02-03,-6.3,-3.28,-169.5
2022-02-04,-6.52,-3.41,-133.33
2022-02-07,-7.66,-3.55,-137.89
2022-02-08,-8.74,-3.64,-187.3
2022-02-09,-8.94,-3.7,-300.55
2022-02-10,-8.58,-3.85,-160.47
2022-02-11,-9.45,-4.04,-143.7
2022-02-14,-10.28,-4.25,-141.41
2022-02-15,-10.51,-4.32,-150.0
2022-02-16,-11.3,-4.34,-181.66
2022-02-17,-12.69,-4.43,-168.47
2022-02-18,-13.58,-4.47,-164.62
2022-02-22,-14.48,-4.58,-139.17
2022-02-23,-16.39,-4.71,-117.77
2022-02-24,-16.99,-4.78,-83.7
2022-02-25,-16.34,-4.72,-118.07
2022-02-28,-15.24,-4.77,-93.54
2022-03-01,-14.06,-4.96,-66.99
2022-03-02,-12.39,-5.1,-104.12
2022-03-03,-12.28,-5.3,-126.2
2022-03-04,-12.61,-5.44,-112.61
2022-03-07,-13.68,-5.73,-82.53
2022-03-08,-15.02,-6.03,-87.68
2022-03-09,-15.58,-6.26,-84.53
