Date,rate_SPY_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-05,0.0,0.0,3.09
2022-01-06,0.0,0.0,5.77
2022-01-07,-0.62,0.0,3.31
2022-01-10,-0.87,0.0,3.15
2022-01-11,-0.98,0.0,9.52
2022-01-12,-0.86,0.0,7.5
2022-01-13,-0.94,0.0,3.5
2022-01-14,-0.98,0.0,4.26
2022-01-18,-1.26,0.0,2.59
2022-01-19,-1.82,0.0,2.61
2022-01-20,-2.57,0.0,2.36
2022-01-21,-3.4,0.0,2.31
2022-01-24,-4.17,0.0,2.43
2022-01-25,-4.88,0.0,2.05
2022-01-26,-5.49,0.0,1.69
2022-01-27,-6.02,0.0,1.59
2022-01-28,-5.89,0.0,2.82
2022-01-31,-5.51,-2.9,3.18
2022-02-01,-4.81,-3.04,4.3
2022-02-02,-3.89,-3.13,7.11
2022-02-03,-3.31,-3.28,3.0
2022-02-04,-3.04,-3.41,3.33
2022-02-07,-3.12,-3.55,3.35
2022-02-08,-3.19,-3.64,4.13
2022-02-09,-3.17,-3.7,5.52
2022-02-10,-3.06,-3.85,2.91
2022-02-11,-3.39,-4.04,2.48
2022-02-14,-3.71,-4.25,2.53
2022-02-15,-3.9,-4.32,3.68
2022-02-16,-4.32,-4.34,4.02
2022-02-17,-4.81,-4.43,2.19
2022-02-18,-5.07,-4.47,1.69
2022-02-22,-5.46,-4.58,1.74
2022-02-23,-6.46,-4.71,1.43
2022-02-24,-7.22,-4.78,1.42
2022-02-25,-7.19,-4.72,2.58
2022-02-28,-7.09,-4.77,2.48
2022-03-01,-7.03,-4.96,1.53
2022-03-02,-6.34,-5.1,2.33
2022-03-03,-5.99,-5.3,2.16
2022-03-04,-6.19,-5.44,1.78
2022-03-07,-6.85,-5.73,1.07
2022-03-08,-7.42,-6.03,0.8
2022-03-09,-7.84,-6.26,1.56
2022-03-10,-8.26,-6.57,1.48
2022-03-11,-8.75,-6.86,1.19
2022-03-14,-8.86,-7.09,1.02
2022-03-15,-8.44,-7.21,1.14
2022-03-16,-8.1,-7.3,1.18
2022-03-17,-7.45,-7.34,1.67
2022-03-18,-6.43,-7.24,-6.1
2022-03-21,-5.28,-7.1,-6.63
2022-03-22,-4.31,-6.86,-9.7
2022-03-23,-3.97,-6.6,-6.41
2022-03-24,-3.57,-6.36,2.83
2022-03-25,-3.23,-6.18,2.55
2022-03-28,-2.75,-5.97,4.14
2022-03-29,-2.25,-5.63,8.33
2022-03-30,-1.63,-5.41,4.59
2022-03-31,-1.58,-5.23,2.33
2022-04-01,-1.56,-5.01,2.68
2022-04-04,-1.51,-4.61,4.14
2022-04-05,-1.94,-4.25,1.53
2022-04-06,-2.43,-4.04,1.68
2022-04-07,-2.54,-3.79,1.61
2022-04-08,-2.77,-3.5,0.9
2022-04-11,-3.46,-3.25,1.21
2022-04-12,-3.99,-3.12,1.14
2022-04-13,-4.12,-3.03,1.65
2022-04-14,-4.58,-3.06,0.93
2022-04-18,-4.97,-3.14,1.12
2022-04-19,-4.76,-3.15,2.06
2022-04-20,-4.49,-3.21,2.03
2022-04-21,-4.71,-3.28,1.31
2022-04-22,-5.2,-3.53,0.89
2022-04-25,-5.6,-3.79,1.36
2022-04-26,-6.82,-4.2,0.7
2022-04-27,-7.97,-4.66,0.92
2022-04-28,-8.4,-4.98,1.33
2022-04-29,-8.99,-5.4,0.74
2022-05-02,-9.52,-5.78,0.6
2022-05-03,-9.46,-6.19,0.83
2022-05-04,-8.91,-6.41,1.29
2022-05-05,-9.44,-6.74,0.59
2022-05-06,-9.41,-7.12,0.75
2022-05-09,-10.09,-7.62,0.74
2022-05-10,-10.8,-8.04,0.68
2022-05-11,-12.32,-8.5,0.75
2022-05-12,-13.22,-9.02,0.55
2022-05-13,-13.61,-9.39,0.87
2022-05-16,-13.53,-9.77,0.54
2022-05-17,-13.14,-10.14,0.97
2022-05-18,-13.18,-10.68,0.34
2022-05-19,-13.3,-11.17,0.65
2022-05-20,-13.81,-11.54,0.79
2022-05-23,-13.95,-11.86,0.66
2022-05-24,-14.56,-12.08,0.42
2022-05-25,-14.32,-12.27,0.74
2022-05-26,-13.65,-12.49,0.92
2022-05-27,-12.57,-12.44,0.61
2022-05-31,-11.89,-12.45,0.58
2022-06-01,-11.16,-12.5,0.84
2022-06-02,-10.26,-12.61,0.99
2022-06-03,-9.98,-12.62,0.67
2022-06-06,-10.07,-12.6,0.97
2022-06-07,-9.9,-12.4,0.85
2022-06-08,-9.83,-12.26,0.77
2022-06-09,-10.51,-12.15,0.4
2022-06-10,-11.4,-12.17,0.54
2022-06-13,-12.97,-12.44,0.66
2022-06-14,-14.75,-12.7,0.44
2022-06-15,-16.11,-13.0,0.41
2022-06-16,-17.6,-13.26,0.25
2022-06-17,-18.62,-13.47,-1.68
2022-06-21,-18.61,-13.6,-1.58
2022-06-22,-18.59,-13.81,-1.4
2022-06-23,-18.64,-13.94,-1.82
2022-06-24,-17.64,-13.99,-1.79
2022-06-27,-16.67,-14.14,-1.82
2022-06-28,-16.44,-14.48,-1.02
2022-06-29,-16.18,-14.81,0.35
2022-06-30,-16.22,-15.16,0.23
2022-07-01,-16.5,-15.52,0.37
2022-07-05,-16.69,-15.8,0.43
