Date,rate_DHR_5D,rate_DHR_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.59,,-0.648,
2022-01-10,-1.988,,-0.9019999999999999,
2022-01-11,-2.0100000000000002,,-1.024,
2022-01-12,-1.9220000000000002,,-0.9099999999999999,
2022-01-13,-2.472,,-0.9879999999999999,
2022-01-14,-2.7039999999999997,,-1.028,
2022-01-18,-3.4,,-1.314,
2022-01-19,-4.27,,-1.8780000000000001,
2022-01-20,-5.384,,-2.646,
2022-01-21,-5.936,,-3.4859999999999998,
2022-01-24,-6.718000000000001,,-4.272,
2022-01-25,-7.586,,-4.998,
2022-01-26,-8.642,,-5.609999999999999,
2022-01-27,-9.322000000000001,,-6.144,
2022-01-28,-9.251999999999999,,-6.01,
2022-01-31,-8.748,-4.9399999999999995,-5.634,-2.8954999999999997
2022-02-01,-7.8,-5.1935,-4.926,-3.035
2022-02-02,-6.178,-5.275,-4.018,-3.1325
2022-02-03,-5.005999999999999,-5.4085,-3.436,-3.284
2022-02-04,-4.598000000000001,-5.5645,-3.164,-3.4120000000000004
2022-02-07,-4.6,-5.6925,-3.2479999999999998,-3.5454999999999997
2022-02-08,-4.6979999999999995,-5.871,-3.3200000000000003,-3.6395000000000004
2022-02-09,-4.822,-5.978,-3.2879999999999994,-3.6985000000000006
2022-02-10,-5.286,-6.2495,-3.1759999999999997,-3.8505000000000003
2022-02-11,-6.206,-6.498,-3.504,-4.0409999999999995
2022-02-14,-7.052,-6.7795000000000005,-3.8340000000000005,-4.247
2022-02-15,-8.081999999999999,-7.041500000000001,-4.0200000000000005,-4.316
2022-02-16,-9.596,-7.309500000000002,-4.454,-4.3425
2022-02-17,-10.402,-7.504,-4.952,-4.427
2022-02-18,-10.767999999999999,-7.706,-5.204,-4.4704999999999995
2022-02-22,-11.11,-7.8775,-5.593999999999999,-4.5775
2022-02-23,-11.538,-8.0295,-6.590000000000001,-4.714
2022-02-24,-11.290000000000001,-7.971500000000001,-7.340000000000001,-4.775
2022-02-25,-10.65,-7.836,-7.316,-4.720000000000001
2022-02-28,-10.17,-7.935499999999999,-7.224000000000001,-4.774
2022-03-01,-9.736,-8.1245,-7.164,-4.96
2022-03-02,-8.906,-8.306000000000001,-6.467999999999999,-5.099500000000001
2022-03-03,-8.534,-8.5605,-6.128,-5.3025
2022-03-04,-8.906,-8.811,-6.314,-5.439500000000001
2022-03-07,-9.565999999999999,-9.1775,-6.9719999999999995,-5.726
2022-03-08,-10.502,-9.6,-7.531999999999999,-6.031000000000001
2022-03-09,-11.108,-9.9085,-7.954000000000001,-6.258
2022-03-10,-11.906,-10.3315,-8.366,-6.572
2022-03-11,-12.538,-10.624,-8.86,-6.8605
2022-03-14,-12.292000000000002,-10.699000000000002,-8.962,-7.0905000000000005
2022-03-15,-11.414,-10.6905,-8.55,-7.210000000000001
2022-03-16,-10.564,-10.529,-8.196000000000002,-7.302000000000001
2022-03-17,-9.426,-10.289,-7.537999999999999,-7.343000000000001
2022-03-18,-7.5,-9.898500000000002,-6.45,-7.235000000000001
2022-03-21,-6.044,-9.518,-5.236,-7.0985
2022-03-22,-4.546,-9.049499999999998,-4.188,-6.858499999999999
2022-03-23,-4.0200000000000005,-8.6495,-3.7840000000000003,-6.600500000000001
2022-03-24,-3.688,-8.3885,-3.3899999999999997,-6.3555
2022-03-25,-3.992,-8.234,-3.106,-6.182499999999999
2022-03-28,-3.8480000000000003,-7.9375,-2.69,-5.965000000000001
2022-03-29,-3.7220000000000004,-7.546000000000001,-2.25,-5.63
2022-03-30,-2.98,-7.167999999999999,-1.688,-5.4055
