Date,rate_JNJ_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,81.04
2019-03-01,5.4,4.45,0.95,82.35
2019-04-29,6.18,7.58,-1.4,79.11
2019-06-25,8.46,7.2,1.26,82.78
2019-08-21,1.85,7.24,-5.39,73.61
2019-10-17,5.27,8.87,-3.6,76.08
2019-12-13,8.66,13.19,-4.53,74.8
2020-02-12,14.97,18.03,-3.06,76.82
2020-04-09,8.56,3.89,4.67,87.48
2020-06-08,12.16,14.68,-2.52,77.57
2020-08-04,12.45,16.26,-3.81,75.79
2020-09-30,13.53,17.41,-3.88,75.69
2020-11-25,10.15,24.05,-13.9,61.88
2021-01-26,27.57,29.15,-1.58,78.86
2021-03-24,22.0,30.35,-8.35,69.53
2021-05-20,27.96,36.67,-8.71,69.03
2021-07-19,25.23,38.99,-13.76,62.07
2021-09-14,23.88,43.6,-19.72,53.85
2021-11-09,22.39,49.14,-26.75,44.16
2022-01-06,28.32,49.24,-20.92,52.2
2022-03-07,28.7,37.68,-8.98,68.66
2022-05-03,32.65,36.93,-4.28,75.14
2022-06-30,32.14,27.61,4.53,87.29
2022-08-26,23.54,34.27,-10.73,66.25
2022-10-24,27.9,27.92,-0.02,81.01
2022-12-20,30.95,28.33,2.62,84.65
2023-02-17,21.02,34.71,-13.69,62.17
2023-04-18,21.42,36.36,-14.94,60.44
2023-06-14,21.78,41.83,-20.05,53.4
2023-08-11,29.76,43.86,-14.1,61.6
2023-10-09,19.81,40.69,-20.88,52.25
2023-12-05,19.82,46.52,-26.7,44.23
2024-02-02,18.56,55.53,-36.97,30.07
2024-04-02,19.29,61.42,-42.13,22.96
2024-05-29,10.65,63.18,-52.53,8.62
2024-07-26,21.18,67.5,-46.32,17.18
