Date,rate_BAC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,55.68
2019-03-01,7.58,4.45,3.13,59.57
2019-04-29,12.7,7.58,5.12,62.04
2019-06-25,2.14,7.2,-5.06,49.39
2019-08-21,-0.78,7.24,-8.02,45.71
2019-10-17,10.91,8.87,2.04,58.22
2019-12-13,25.58,13.19,12.39,71.08
2020-02-12,27.27,18.03,9.24,67.16
2020-04-09,-8.04,3.89,-11.93,40.85
2020-06-08,4.88,14.68,-9.8,43.5
2020-08-04,-7.51,16.26,-23.77,26.14
2020-09-30,-10.74,17.41,-28.15,20.69
2020-11-25,6.77,24.05,-17.28,34.2
2021-01-26,13.72,29.15,-15.43,36.5
2021-03-24,35.41,30.35,5.06,61.97
2021-05-20,53.5,36.67,16.83,76.6
2021-07-19,35.52,38.99,-3.47,51.37
2021-09-14,46.11,43.6,2.51,58.8
2021-11-09,71.74,49.14,22.6,83.77
2022-01-06,76.29,49.24,27.05,89.3
2022-03-07,40.65,37.68,2.97,59.37
2022-05-03,36.25,36.93,-0.68,54.83
2022-06-30,14.41,27.61,-13.2,39.27
2022-08-26,24.97,34.27,-9.3,44.12
2022-10-24,28.75,27.92,0.83,56.71
2022-12-20,18.27,28.33,-10.06,43.18
2023-02-17,29.77,34.71,-4.94,49.54
2023-04-18,12.34,36.36,-24.02,25.83
2023-06-14,7.09,41.83,-34.74,12.5
2023-08-11,14.99,43.86,-28.87,19.8
2023-10-09,-3.13,40.69,-43.82,1.22
2023-12-05,12.41,46.52,-34.11,13.29
2024-02-02,22.93,55.53,-32.6,15.16
2024-04-02,36.87,61.42,-24.55,25.17
2024-05-29,42.04,63.18,-21.14,29.41
2024-07-26,52.78,67.5,-14.72,37.39
