Date,rate_COKE,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.67,0.0,0.0
2022-01-05,-0.86,0.0,0.0
2022-01-06,0.71,0.0,0.0
2022-01-07,-1.34,-0.43200000000000005,0.0
2022-01-10,-2.32,-0.8960000000000001,0.0
2022-01-11,-1.07,-0.976,0.0
2022-01-12,-0.49,-0.9019999999999999,0.0
2022-01-13,1.82,-0.6799999999999999,0.0
2022-01-14,1.07,-0.19799999999999995,0.0
2022-01-18,-1.79,-0.092,0.0
2022-01-19,-3.68,-0.6140000000000001,0.0
2022-01-20,-3.62,-1.2399999999999998,0.0
2022-01-21,-3.75,-2.354,0.0
2022-01-24,-0.77,-2.722,0.0
2022-01-25,-1.07,-2.578,0.0
2022-01-26,-2.99,-2.44,0.0
2022-01-27,-5.56,-2.828,0.0
2022-01-28,-4.16,-2.91,0.0
2022-01-31,-4.69,-3.694,-1.7615000000000003
2022-02-01,-5.42,-4.564,-2.0324999999999998
2022-02-02,-5.89,-5.144,-2.2935
2022-02-03,-4.78,-4.9879999999999995,-2.4895
2022-02-04,-5.26,-5.208,-2.788
2022-02-07,-6.14,-5.498,-3.028
2022-02-08,-4.69,-5.351999999999999,-3.1465000000000005
2022-02-09,-4.13,-5.0,-3.2995000000000005
2022-02-10,-7.45,-5.534000000000001,-3.6474999999999995
2022-02-11,-3.8,-5.242,-3.9285000000000005
2022-02-14,-1.98,-4.409999999999999,-4.0809999999999995
2022-02-15,-3.86,-4.244,-4.1845
2022-02-16,-6.07,-4.632,-4.304
2022-02-17,-5.61,-4.264,-4.4035
2022-02-18,-4.17,-4.338,-4.4245
2022-02-22,-2.83,-4.508000000000001,-4.5275
2022-02-23,-24.53,-8.642,-5.7005
2022-02-24,-24.65,-12.358,-6.783500000000001
2022-02-25,-17.81,-14.797999999999998,-7.396000000000001
2022-02-28,-16.57,-17.278,-8.0165
2022-03-01,-18.12,-20.336000000000002,-8.688
2022-03-02,-16.47,-18.724,-9.2405
2022-03-03,-20.66,-17.926,-9.979000000000001
2022-03-04,-22.33,-18.830000000000002,-10.8565
2022-03-07,-24.66,-20.448,-11.8265
2022-03-08,-21.96,-21.216,-12.6175
2022-03-09,-19.33,-21.788,-13.3495
2022-03-10,-20.4,-21.735999999999997,-14.163
2022-03-11,-23.36,-21.942,-14.9585
2022-03-14,-23.24,-21.657999999999998,-15.9305
2022-03-15,-17.04,-20.674,-16.6835
2022-03-16,-15.82,-19.971999999999998,-17.2815
2022-03-17,-16.32,-19.156,-17.794
2022-03-18,-13.0,-17.084,-18.163500000000003
2022-03-21,-16.01,-15.638,-18.7555
2022-03-22,-15.98,-15.425999999999998,-19.413000000000004
2022-03-23,-17.79,-15.820000000000002,-19.076
2022-03-24,-18.58,-16.272,-18.7725
2022-03-25,-17.65,-17.201999999999998,-18.7645
2022-03-28,-17.86,-17.572,-18.829
2022-03-29,-16.08,-17.592,-18.727
2022-03-30,-16.54,-17.342,-18.7305
2022-03-31,-15.69,-16.764,-18.482
2022-04-01,-12.54,-15.741999999999999,-17.9925
2022-04-04,-13.84,-14.937999999999999,-17.451500000000003
2022-04-05,-15.0,-14.722,-17.1035
2022-04-06,-15.54,-14.522,-16.913999999999998
2022-04-07,-16.01,-14.586000000000002,-16.694499999999998
2022-04-08,-16.69,-15.416,-16.360999999999997
2022-04-11,-17.17,-16.082,-16.057499999999997
2022-04-12,-16.55,-16.392000000000003,-16.033
2022-04-13,-15.69,-16.422,-16.0265
2022-04-14,-15.94,-16.407999999999998,-16.0075
2022-04-18,-18.84,-16.838,-16.299500000000002
2022-04-19,-16.24,-16.651999999999997,-16.311
2022-04-20,-15.88,-16.518,-16.305999999999997
2022-04-21,-16.76,-16.732,-16.2545
2022-04-22,-18.88,-17.32,-16.2695
2022-04-25,-17.18,-16.988,-16.246000000000002
2022-04-26,-19.11,-17.562,-16.3085
2022-04-27,-20.99,-18.583999999999996,-16.554
2022-04-28,-21.15,-19.462,-16.7845
2022-04-29,-24.36,-20.558,-17.218
2022-05-02,-22.5,-21.622,-17.716
2022-05-03,-22.38,-22.276,-18.142999999999997
2022-05-04,-14.78,-21.034,-18.131999999999998
2022-05-05,-19.08,-20.619999999999997,-18.309
2022-05-06,-16.8,-19.107999999999997,-18.3485
2022-05-09,-14.6,-17.528,-18.244
2022-05-10,-13.68,-15.788,-18.069499999999998
2022-05-11,-14.45,-15.722,-17.964499999999997
2022-05-12,-11.78,-14.262,-17.769
2022-05-13,-8.97,-12.696000000000002,-17.420499999999997
2022-05-16,-9.16,-11.608,-16.9365
2022-05-17,-9.86,-10.844,-16.6175
2022-05-18,-15.98,-11.15,-16.6225
2022-05-19,-15.45,-11.883999999999999,-16.557
2022-05-20,-12.71,-12.632,-16.2485
2022-05-23,-6.89,-12.178,-15.733999999999998
2022-05-24,-3.89,-10.984,-14.973000000000003
2022-05-25,-1.27,-8.042,-13.987
2022-05-26,-4.85,-5.922000000000001,-13.172
2022-05-27,-3.73,-4.1259999999999994,-12.1405
2022-05-31,-3.78,-3.504,-11.2045
2022-06-01,-2.45,-3.2159999999999997,-10.208
2022-06-02,1.92,-2.5780000000000003,-9.373
2022-06-03,2.04,-1.1999999999999997,-8.317
2022-06-06,7.42,1.03,-7.105999999999999
2022-06-07,7.29,3.2439999999999998,-6.0115
2022-06-08,6.82,5.098,-4.9865
2022-06-09,-0.18,4.678,-4.273
2022-06-10,-1.36,3.998,-3.752
2022-06-13,-6.35,1.2440000000000002,-3.621
2022-06-14,-3.4,-0.8939999999999998,-3.3329999999999997
2022-06-15,-6.51,-3.5599999999999996,-3.1655
2022-06-16,-9.37,-5.398,-2.835
2022-06-17,-15.52,-8.23,-2.8385
2022-06-21,-12.21,-9.402,-2.8135
2022-06-22,-13.97,-11.516,-3.1675
2022-06-23,-11.37,-12.488,-3.5415
2022-06-24,-6.37,-11.888,-3.7965000000000004
2022-06-27,-4.55,-9.693999999999999,-3.7815
2022-06-28,-7.66,-8.784,-3.978
2022-06-29,-6.37,-7.264,-4.1075
2022-06-30,-4.39,-5.868,-4.2045
2022-07-01,-2.49,-5.0920000000000005,-4.425
2022-07-05,-1.35,-4.452,-4.5945
2022-07-06,-1.29,-3.178,-5.029999999999999
2022-07-07,-2.19,-2.3419999999999996,-5.504
2022-07-08,-1.09,-1.682,-5.8995
2022-07-11,-2.85,-1.754,-6.0329999999999995
2022-07-12,-3.44,-2.172,-6.1370000000000005
2022-07-13,-1.82,-2.278,-5.9105
2022-07-14,-12.43,-4.3260000000000005,-6.362
2022-07-15,-14.61,-7.029999999999999,-6.767
2022-07-18,-15.51,-9.562000000000001,-7.074
2022-07-19,-13.75,-11.624,-6.9855
2022-07-20,-14.72,-14.203999999999999,-7.111
2022-07-21,-14.57,-14.632,-7.141
2022-07-22,-15.28,-14.766,-7.336499999999999
2022-07-25,-15.74,-14.812000000000001,-7.805
2022-07-26,-14.47,-14.956,-8.301
2022-07-27,-13.56,-14.724,-8.596
2022-07-28,-13.62,-14.534,-8.9585
2022-07-29,-12.59,-13.995999999999999,-9.368500000000001
2022-08-01,-10.96,-13.040000000000001,-9.791999999999998
2022-08-02,-11.99,-12.544,-10.324
2022-08-03,-12.66,-12.364,-10.8925
2022-08-04,-13.43,-12.326,-11.4545
2022-08-05,-13.63,-12.534,-12.0815
2022-08-08,-13.83,-13.108,-12.630500000000001
2022-08-09,-13.9,-13.49,-13.1535
2022-08-10,-13.7,-13.698000000000002,-13.747500000000002
2022-08-11,-13.65,-13.742,-13.8085
2022-08-12,-13.23,-13.662,-13.739500000000001
2022-08-15,-12.82,-13.459999999999999,-13.605
2022-08-16,-11.59,-12.998,-13.497
2022-08-17,-11.31,-12.52,-13.326500000000001
2022-08-18,-9.7,-11.73,-13.083000000000002
2022-08-19,-10.5,-11.184000000000001,-12.844
2022-08-22,-11.3,-10.879999999999999,-12.622
2022-08-23,-11.89,-10.940000000000001,-12.493
2022-08-24,-12.48,-11.174000000000001,-12.439
2022-08-25,-12.72,-11.778,-12.394
2022-08-26,-14.17,-12.512,-12.473
2022-08-29,-14.03,-13.058000000000002,-12.6265
2022-08-30,-14.85,-13.65,-12.7695
2022-08-31,-16.46,-14.445999999999998,-12.9595
2022-09-01,-16.04,-15.11,-13.09
2022-09-02,-17.01,-15.678,-13.259
2022-09-06,-18.53,-16.578,-13.494
2022-09-07,-17.69,-17.146,-13.6835
2022-09-08,-17.94,-17.442,-13.895500000000002
2022-09-09,-17.41,-17.716,-14.0835
2022-09-12,-16.43,-17.6,-14.243500000000001
2022-09-13,-21.6,-18.214,-14.682500000000001
2022-09-14,-20.21,-18.718,-15.113499999999998
2022-09-15,-22.34,-19.598000000000003,-15.665000000000001
2022-09-16,-21.98,-20.512,-16.279
2022-09-19,-21.43,-21.512,-16.825499999999998
2022-09-20,-22.17,-21.626,-17.369
2022-09-21,-22.75,-22.134,-17.912
2022-09-22,-23.8,-22.426,-18.478
2022-09-23,-25.22,-23.074,-19.103
2022-09-26,-25.21,-23.830000000000002,-19.655
2022-09-27,-25.88,-24.572,-20.247500000000002
2022-09-28,-23.57,-24.736,-20.683500000000002
2022-09-29,-24.28,-24.832,-21.0745
2022-09-30,-25.53,-24.894,-21.549
2022-10-03,-21.96,-24.244,-21.7965
2022-10-04,-20.07,-23.082,-21.8735
2022-10-05,-19.89,-22.346000000000004,-21.9835
2022-10-06,-20.1,-21.51,-22.0915
2022-10-07,-20.16,-20.436,-22.229000000000003
2022-10-10,-18.64,-19.772,-22.3395
2022-10-11,-19.4,-19.637999999999998,-22.229499999999998
2022-10-12,-20.01,-19.662,-22.2195
2022-10-13,-17.08,-19.058,-21.9565
2022-10-14,-21.26,-19.278,-21.9205
2022-10-17,-19.9,-19.53,-21.844
2022-10-18,-19.25,-19.5,-21.698
2022-10-19,-19.81,-19.46,-21.551
2022-10-20,-21.71,-20.386,-21.4465
2022-10-21,-19.31,-19.996000000000002,-21.151000000000003
2022-10-24,-17.85,-19.586,-20.782999999999998
2022-10-25,-14.85,-18.706,-20.2315
2022-10-26,-15.0,-17.744,-19.803
2022-10-27,-12.92,-15.986,-19.235000000000003
2022-10-28,-10.9,-14.303999999999998,-18.5035
2022-10-31,-11.78,-13.09,-17.9945
2022-11-01,-13.39,-12.798,-17.660500000000003
2022-11-02,-16.56,-13.11,-17.494000000000003
2022-11-03,-11.77,-12.88,-17.0775
2022-11-04,-10.7,-12.84,-16.604499999999998
2022-11-07,-12.81,-13.046000000000001,-16.313
2022-11-08,-13.39,-13.046000000000001,-16.0125
2022-11-09,-15.45,-12.823999999999998,-15.7845
2022-11-10,-12.93,-13.056000000000001,-15.576999999999998
2022-11-11,-14.63,-13.841999999999999,-15.245499999999998
2022-11-14,-17.0,-14.680000000000001,-15.1005
2022-11-15,-15.13,-15.028,-14.894500000000003
2022-11-16,-15.89,-15.116,-14.698500000000001
2022-11-17,-15.67,-15.663999999999998,-14.396499999999998
2022-11-18,-15.05,-15.748000000000001,-14.183499999999999
2022-11-21,-13.23,-14.994,-13.9525
2022-11-22,-12.19,-14.406,-13.8195
2022-11-23,-12.82,-13.792000000000002,-13.7105
2022-11-25,-12.63,-13.184000000000001,-13.695999999999998
2022-11-28,-12.06,-12.586000000000002,-13.754
2022-11-29,-12.8,-12.5,-13.805000000000001
2022-11-30,-10.52,-12.166,-13.661499999999998
2022-12-01,-8.75,-11.352,-13.270999999999997
2022-12-02,-7.43,-10.312000000000001,-13.053999999999998
2022-12-05,-10.53,-10.006,-13.0455
2022-12-06,-13.43,-10.132,-13.076500000000001
2022-12-07,-11.87,-10.402,-13.000499999999999
2022-12-08,-6.7,-9.991999999999999,-12.562999999999999
2022-12-09,-1.46,-8.797999999999998,-11.9895
2022-12-12,-2.08,-7.107999999999999,-11.362
2022-12-13,-5.6,-5.542,-10.792
2022-12-14,-6.86,-4.54,-10.378499999999999
2022-12-15,-9.85,-5.17,-10.0765
2022-12-16,-8.95,-6.668000000000001,-9.7405
2022-12-19,-9.09,-8.07,-9.442499999999999
2022-12-20,-6.73,-8.296000000000001,-9.1175
2022-12-21,-5.05,-7.934,-8.7605
2022-12-22,-6.25,-7.214,-8.432
2022-12-23,-4.76,-6.3759999999999994,-8.038499999999999
2022-12-27,-5.57,-5.672,-7.714
2022-12-28,-7.2,-5.766,-7.434
2022-12-29,-5.25,-5.806,-7.1705
2022-12-30,-6.62,-5.88,-7.064
2023-01-03,-12.65,-7.458000000000001,-7.325
2023-01-04,-11.0,-8.544,-7.3485
2023-01-05,-11.4,-9.384,-7.247
2023-01-06,-8.49,-10.032,-7.078
2023-01-09,-10.19,-10.746,-7.2525
2023-01-10,-11.32,-10.48,-7.7455
2023-01-11,-9.21,-10.122000000000002,-8.102
2023-01-12,-10.45,-9.931999999999999,-8.3445
2023-01-13,-9.48,-10.13,-8.4755
2023-01-17,-9.34,-9.959999999999999,-8.450000000000001
2023-01-18,-12.05,-10.106,-8.605
2023-01-19,-12.39,-10.742,-8.77
2023-01-20,-11.46,-10.944,-9.006499999999999
2023-01-23,-9.87,-11.022,-9.247499999999999
2023-01-24,-8.94,-10.942,-9.382
2023-01-25,-8.13,-10.158,-9.5505
2023-01-26,-7.91,-9.262,-9.6675
2023-01-27,-8.97,-8.764,-9.756
2023-01-30,-10.64,-8.918000000000001,-10.0255
2023-01-31,-7.28,-8.586000000000002,-10.058499999999999
2023-02-01,-4.97,-7.954000000000001,-9.6745
2023-02-02,-3.76,-7.1240000000000006,-9.3125
2023-02-03,-5.43,-6.4159999999999995,-9.014
2023-02-06,-4.63,-5.214,-8.821
2023-02-07,-6.17,-4.992,-8.620000000000001
2023-02-08,-6.98,-5.394,-8.403
2023-02-09,-7.38,-6.118,-8.311499999999999
2023-02-10,-7.86,-6.604000000000001,-8.182
2023-02-13,-4.47,-6.572,-7.9315
2023-02-14,-5.59,-6.456,-7.744
2023-02-15,-3.64,-5.787999999999999,-7.3235
2023-02-16,-4.58,-5.228,-6.933
2023-02-17,-2.93,-4.242,-6.5065
2023-02-21,-4.95,-4.338000000000001,-6.2604999999999995
2023-02-22,-4.8,-4.18,-6.0535
2023-02-23,4.27,-2.5980000000000003,-5.4335
2023-02-24,3.17,-1.0480000000000003,-4.8795
2023-02-27,5.78,0.6939999999999998,-4.142
2023-02-28,1.7,2.024,-3.525
2023-03-01,0.84,3.1519999999999997,-3.1189999999999998
2023-03-02,0.76,2.45,-2.8325
2023-03-03,0.44,1.904,-2.6225
2023-03-06,0.36,0.8199999999999997,-2.333
2023-03-07,-0.77,0.32599999999999973,-2.1399999999999997
2023-03-08,-0.81,-0.004000000000000203,-1.8720000000000003
2023-03-09,-2.79,-0.7140000000000002,-1.6625
2023-03-10,-4.22,-1.6460000000000001,-1.5045000000000002
2023-03-13,-5.1,-2.7380000000000004,-1.3665
2023-03-14,-4.88,-3.56,-1.387
2023-03-15,-6.84,-4.766,-1.4495
2023-03-16,-7.42,-5.692,-1.6385
2023-03-17,-8.77,-6.601999999999999,-1.848
2023-03-20,-6.05,-6.792,-2.004
2023-03-21,-5.35,-6.886,-2.024
2023-03-22,-6.21,-6.76,-2.0945
2023-03-23,-5.77,-6.43,-2.5965
2023-03-24,-3.91,-5.458,-2.9505
2023-03-27,-1.51,-4.55,-3.315
2023-03-28,-2.39,-3.9580000000000006,-3.5195
2023-03-29,-1.93,-3.1020000000000003,-3.658
2023-03-30,-2.49,-2.4460000000000006,-3.8205
2023-03-31,-2.14,-2.0920000000000005,-3.9494999999999996
2023-04-03,-1.13,-2.0160000000000005,-4.024
2023-04-04,-4.84,-2.5060000000000002,-4.227500000000001
2023-04-05,-2.65,-2.6500000000000004,-4.3195
2023-04-06,-2.9,-2.732,-4.325
2023-04-10,-1.8,-2.664,-4.204
2023-04-11,-2.49,-2.9360000000000004,-4.0735
2023-04-12,-2.84,-2.5360000000000005,-3.9715
2023-04-13,-1.7,-2.346,-3.7145
2023-04-14,-1.98,-2.1620000000000004,-3.4425000000000003
2023-04-17,-2.43,-2.2880000000000003,-3.1254999999999997
2023-04-18,-1.53,-2.0960000000000005,-2.8995
2023-04-19,-1.78,-1.8840000000000003,-2.721
2023-04-20,1.44,-1.2560000000000004,-2.3385
2023-04-21,0.79,-0.7020000000000005,-2.0105
2023-04-24,2.06,0.19599999999999965,-1.7120000000000002
2023-04-25,2.43,0.9879999999999995,-1.5150000000000001
2023-04-26,4.25,2.194,-1.1829999999999998
2023-04-27,4.78,2.8619999999999997,-0.8474999999999998
2023-04-28,7.61,4.226,-0.3424999999999999
2023-05-01,8.34,5.482,0.18150000000000005
2023-05-02,8.21,6.638,0.6485000000000001
2023-05-03,7.7,7.328,1.2755
2023-05-04,19.57,10.286,2.3865000000000003
2023-05-05,19.24,12.612,3.4935
2023-05-08,18.56,14.656,4.5115
2023-05-09,14.56,15.925999999999998,5.364
2023-05-10,14.59,17.304,6.2355
2023-05-11,15.18,16.426,7.0795
2023-05-12,14.96,15.569999999999999,7.9265
2023-05-15,15.15,14.888,8.805499999999999
2023-05-16,15.76,15.128,9.67
2023-05-17,15.91,15.392,10.5545
