Date,rate_ABBV_5D,rate_ABBV_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.04,,-0.648,
2022-01-10,0.031999999999999994,,-0.9019999999999999,
2022-01-11,0.16599999999999998,,-1.024,
2022-01-12,0.26999999999999996,,-0.9099999999999999,
2022-01-13,0.144,,-0.9879999999999999,
2022-01-14,0.21799999999999997,,-1.028,
2022-01-18,0.246,,-1.314,
2022-01-19,0.11600000000000002,,-1.8780000000000001,
2022-01-20,-0.19799999999999998,,-2.646,
2022-01-21,-0.312,,-3.4859999999999998,
2022-01-24,-0.586,,-4.272,
2022-01-25,-0.8220000000000001,,-4.998,
2022-01-26,-0.8160000000000001,,-5.609999999999999,
2022-01-27,-0.45600000000000007,,-6.144,
2022-01-28,0.1999999999999999,,-6.01,
2022-01-31,0.7279999999999999,0.07999999999999999,-5.634,-2.8954999999999997
2022-02-01,1.156,0.15299999999999997,-4.926,-3.035
2022-02-02,1.6599999999999997,0.2815,-4.018,-3.1325
2022-02-03,2.234,0.4625,-3.436,-3.284
2022-02-04,2.58,0.653,-3.164,-3.4120000000000004
2022-02-07,3.2760000000000007,0.909,-3.2479999999999998,-3.5454999999999997
2022-02-08,4.09,1.1675,-3.3200000000000003,-3.6395000000000004
2022-02-09,4.664,1.4060000000000001,-3.2879999999999994,-3.6985000000000006
2022-02-10,4.912000000000001,1.623,-3.1759999999999997,-3.8505000000000003
2022-02-11,5.082,1.8875,-3.504,-4.0409999999999995
2022-02-14,5.140000000000001,2.1395,-3.8340000000000005,-4.247
2022-02-15,5.316000000000001,2.435,-4.0200000000000005,-4.316
2022-02-16,5.680000000000001,2.7969999999999997,-4.454,-4.3425
2022-02-17,5.984,3.1685000000000003,-4.952,-4.427
2022-02-18,6.248,3.5275,-5.204,-4.4704999999999995
2022-02-22,6.595999999999999,3.935,-5.593999999999999,-4.5775
2022-02-23,6.866,4.357,-6.590000000000001,-4.714
2022-02-24,6.784000000000001,4.697,-7.340000000000001,-4.775
2022-02-25,7.404000000000001,5.1335,-7.316,-4.720000000000001
2022-02-28,7.912000000000001,5.4555,-7.224000000000001,-4.774
2022-03-01,8.152000000000001,5.7909999999999995,-7.164,-4.96
2022-03-02,8.447999999999999,6.180000000000001,-6.467999999999999,-5.099500000000001
2022-03-03,9.044,6.543000000000001,-6.128,-5.3025
2022-03-04,9.078,6.844499999999999,-6.314,-5.439500000000001
2022-03-07,9.222,7.116,-6.9719999999999995,-5.726
2022-03-08,9.126,7.2535,-7.531999999999999,-6.031000000000001
2022-03-09,9.032,7.4155,-7.954000000000001,-6.258
2022-03-10,8.884,7.598000000000001,-8.366,-6.572
2022-03-11,8.703999999999999,7.7924999999999995,-8.86,-6.8605
2022-03-14,9.05,8.108,-8.962,-7.0905000000000005
2022-03-15,10.19,8.516,-8.55,-7.210000000000001
2022-03-16,11.134,8.87,-8.196000000000002,-7.302000000000001
2022-03-17,12.366,9.269499999999999,-7.537999999999999,-7.343000000000001
2022-03-18,13.689999999999998,9.719,-6.45,-7.235000000000001
2022-03-21,14.73,10.2285,-5.236,-7.0985
2022-03-22,15.27,10.6845,-4.188,-6.858499999999999
2022-03-23,15.578,11.048,-3.7840000000000003,-6.600500000000001
2022-03-24,15.798000000000002,11.523,-3.3899999999999997,-6.3555
2022-03-25,16.078,11.8875,-3.106,-6.182499999999999
2022-03-28,16.328,12.3325,-2.69,-5.965000000000001
2022-03-29,16.612000000000002,12.7995,-2.25,-5.63
2022-03-30,17.31,13.263499999999999,-1.688,-5.4055
2022-03-31,17.55,13.6495,-1.636,-5.2325
