Date,rate_KDP,rate_KDP_5D,rate_KDP_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.75,,,-0.02,,
2022-01-05,0.43,,,-0.97,,
2022-01-06,0.98,,,-1.04,,
2022-01-07,0.8,0.592,,-1.21,-0.648,
2022-01-10,0.82,0.756,,-1.27,-0.9019999999999999,
2022-01-11,1.87,0.9800000000000001,,-0.63,-1.024,
2022-01-12,2.24,1.342,,-0.4,-0.9099999999999999,
2022-01-13,3.13,1.7719999999999998,,-1.43,-0.9879999999999999,
2022-01-14,4.81,2.574,,-1.41,-1.028,
2022-01-18,2.52,2.914,,-2.7,-1.314,
2022-01-19,2.99,3.138,,-3.45,-1.8780000000000001,
2022-01-20,2.44,3.178,,-4.24,-2.646,
2022-01-21,1.87,2.926,,-5.63,-3.4859999999999998,
2022-01-24,2.56,2.476,,-5.34,-4.272,
2022-01-25,2.35,2.442,,-6.33,-4.998,
2022-01-26,0.77,1.998,,-6.51,-5.609999999999999,
2022-01-27,1.22,1.754,,-6.91,-6.144,
2022-01-28,1.31,1.6420000000000001,,-4.96,-6.01,
2022-01-31,2.04,1.5379999999999998,1.795,-3.46,-5.634,-2.8954999999999997
2022-02-01,2.44,1.5559999999999998,1.9170000000000003,-2.79,-4.926,-3.035
2022-02-02,3.98,2.198,2.0785,-1.97,-4.018,-3.1325
2022-02-03,3.93,2.7399999999999998,2.2535,-4.0,-3.436,-3.284
2022-02-04,2.69,3.0159999999999996,2.339,-3.6,-3.164,-3.4120000000000004
2022-02-07,3.49,3.306,2.4735,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,4.21,3.66,2.643,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,3.77,3.618,2.7380000000000004,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,2.75,3.382,2.7635,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,2.11,3.2659999999999996,2.7125,-5.24,-3.504,-4.0409999999999995
2022-02-14,2.29,3.0260000000000002,2.5865,-5.53,-3.8340000000000005,-4.247
2022-02-15,1.84,2.552,2.5524999999999998,-4.08,-4.0200000000000005,-4.316
2022-02-16,1.82,2.162,2.4939999999999998,-3.98,-4.454,-4.3425
2022-02-17,1.82,1.9760000000000002,2.463,-5.93,-4.952,-4.427
2022-02-18,3.29,2.212,2.534,-6.5,-5.204,-4.4704999999999995
2022-02-22,3.52,2.4579999999999997,2.582,-7.48,-5.593999999999999,-4.5775
2022-02-23,2.18,2.526,2.5735,-9.06,-6.590000000000001,-4.714
2022-02-24,-1.51,1.8599999999999999,2.4595000000000002,-7.73,-7.340000000000001,-4.775
2022-02-25,2.81,2.058,2.539,-5.81,-7.316,-4.720000000000001
2022-02-28,3.78,2.1559999999999997,2.6625,-6.04,-7.224000000000001,-4.774
2022-03-01,2.36,1.9240000000000002,2.6785,-7.18,-7.164,-4.96
2022-03-02,3.51,2.19,2.732,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,3.51,3.194,2.7085,-6.03,-6.128,-5.3025
2022-03-04,4.21,3.474,2.7225,-6.74,-6.314,-5.439500000000001
2022-03-07,2.31,3.1799999999999997,2.7035,-9.33,-6.9719999999999995,-5.726
2022-03-08,-0.13,2.682,2.5225,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,0.97,2.174,2.3605,-7.69,-7.954000000000001,-6.258
2022-03-10,-0.16,1.44,2.1639999999999997,-8.09,-8.366,-6.572
2022-03-11,-1.18,0.362,1.9674999999999998,-9.21,-8.86,-6.8605
2022-03-14,-0.58,-0.21600000000000003,1.8329999999999997,-9.84,-8.962,-7.0905000000000005
2022-03-15,0.22,-0.146,1.7294999999999998,-7.92,-8.55,-7.210000000000001
2022-03-16,0.53,-0.23399999999999999,1.6640000000000001,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,1.44,0.086,1.645,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,1.46,0.614,1.627,-3.77,-6.45,-7.235000000000001
2022-03-21,1.38,1.0059999999999998,1.5314999999999999,-3.77,-5.236,-7.0985
2022-03-22,1.52,1.266,1.4315,-2.68,-4.188,-6.858499999999999
2022-03-23,-1.04,0.952,1.2705,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-0.0,0.6639999999999999,1.346,-2.83,-3.3899999999999997,-6.3555
2022-03-25,0.85,0.542,1.2479999999999998,-2.35,-3.106,-6.182499999999999
2022-03-28,1.97,0.6599999999999999,1.1575,-1.69,-2.69,-5.965000000000001
2022-03-29,2.75,0.9059999999999999,1.177,-0.48,-2.25,-5.63
2022-03-30,2.37,1.5879999999999999,1.1199999999999999,-1.09,-1.688,-5.4055
2022-03-31,1.7,1.9280000000000002,1.0295,-2.57,-1.636,-5.2325
2022-04-01,2.53,2.2640000000000002,0.9455,-2.24,-1.614,-5.0075
2022-04-04,2.85,2.44,0.9724999999999999,-1.45,-1.566,-4.6135
2022-04-05,-0.87,1.716,0.9355,-2.62,-1.9939999999999998,-4.2455
2022-04-06,1.45,1.532,0.9594999999999999,-3.57,-2.4899999999999998,-4.0395
2022-04-07,0.87,1.366,1.011,-3.1,-2.596,-3.79
2022-04-08,0.97,1.054,1.1184999999999998,-3.33,-2.814,-3.496
2022-04-11,0.81,0.646,1.1880000000000002,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,0.92,1.004,1.223,-5.28,-4.044,-3.119
2022-04-13,1.0,0.914,1.2465,-4.23,-4.176,-3.0345
2022-04-14,-0.12,0.716,1.1684999999999999,-5.37,-4.630000000000001,-3.063
2022-04-18,-1.34,0.254,1.0284999999999997,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,0.74,0.23999999999999994,0.9964999999999999,-3.88,-4.822000000000001,-3.1475
2022-04-20,1.95,0.446,1.018,-3.95,-4.556,-3.211
2022-04-21,0.61,0.368,1.1004999999999998,-5.34,-4.7780000000000005,-3.283
2022-04-22,-0.75,0.242,1.063,-7.86,-5.276,-3.5345
2022-04-25,0.05,0.52,1.0230000000000001,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-0.62,0.248,0.8935000000000001,-9.95,-6.894,-4.1985
2022-04-27,1.55,0.168,0.8334999999999999,-9.73,-8.05,-4.661
2022-04-28,1.89,0.42400000000000004,0.8094999999999999,-7.52,-8.485999999999999,-4.9825
2022-04-29,0.32,0.638,0.7404999999999999,-10.83,-9.08,-5.3955
2022-05-02,-1.95,0.23800000000000004,0.5165,-9.99,-9.604,-5.7829999999999995
2022-05-03,-0.21,0.32,0.36350000000000005,-9.62,-9.538,-6.1915
2022-05-04,-0.13,-0.016000000000000042,0.40049999999999997,-6.99,-8.99,-6.410000000000001
2022-05-05,-0.55,-0.5040000000000001,0.3005,-10.13,-9.512,-6.7379999999999995
2022-05-06,-0.82,-0.732,0.21600000000000003,-10.67,-9.48,-7.1165
2022-05-09,-0.34,-0.41000000000000003,0.15050000000000002,-13.43,-10.168,-7.6215
2022-05-10,-0.71,-0.51,0.0745,-13.22,-10.888,-8.0355
2022-05-11,0.4,-0.4040000000000001,0.048499999999999995,-14.58,-12.406,-8.500499999999999
2022-05-12,-1.09,-0.512,-0.05600000000000001,-14.64,-13.308000000000002,-9.021
2022-05-13,-0.16,-0.38,-0.05800000000000001,-12.68,-13.709999999999999,-9.3865
2022-05-16,-0.77,-0.466,-0.02950000000000002,-12.99,-13.622,-9.7685
2022-05-17,-3.46,-1.016,-0.23950000000000005,-11.29,-13.236,-10.139
2022-05-18,-7.34,-2.564,-0.704,-14.71,-13.262,-10.677
2022-05-19,-7.84,-3.914,-1.1265,-15.27,-13.388,-11.1735
2022-05-20,-7.18,-5.318,-1.448,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-6.16,-6.396,-1.7585000000000002,-13.68,-14.040000000000001,-11.8585
2022-05-24,-5.28,-6.76,-1.9914999999999998,-14.29,-14.64,-12.075500000000002
2022-05-25,-5.15,-6.322,-2.3265000000000002,-13.59,-14.416,-12.2685
2022-05-26,-4.64,-5.682,-2.653,-11.92,-13.745999999999999,-12.4885
2022-05-27,-5.57,-5.36,-2.9475000000000002,-9.77,-12.65,-12.435500000000001
2022-05-31,-6.75,-5.478,-3.1875,-10.26,-11.966,-12.449
2022-06-01,-6.82,-5.786,-3.518,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-5.03,-5.7620000000000005,-3.7630000000000003,-9.06,-10.34,-12.606
2022-06-03,-6.06,-6.046,-4.038500000000001,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-1.33,-5.198,-4.064,-10.26,-10.154,-12.604
2022-06-07,-2.11,-4.2700000000000005,-4.1525,-9.4,-9.982,-12.4025
2022-06-08,-3.12,-3.53,-4.273000000000001,-10.37,-9.918000000000001,-12.26
2022-06-09,-3.98,-3.3199999999999994,-4.492,-12.42,-10.59,-12.152
2022-06-10,-4.57,-3.022,-4.666,-14.93,-11.475999999999999,-12.1665
2022-06-13,-6.69,-4.093999999999999,-4.992500000000001,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-7.49,-5.17,-5.3285,-18.32,-14.831999999999999,-12.705
2022-06-15,-6.28,-5.8020000000000005,-5.4695,-17.18,-16.194,-12.999500000000001
2022-06-16,-7.38,-6.481999999999999,-5.471500000000001,-19.83,-17.676,-13.255500000000001
2022-06-17,-7.63,-7.093999999999999,-5.461,-19.62,-18.614,-13.472999999999999
2022-06-21,-6.04,-6.964,-5.404000000000001,-17.71,-18.532,-13.596
2022-06-22,-6.2,-6.706,-5.406000000000001,-17.88,-18.444,-13.806000000000001
2022-06-23,-5.32,-6.514,-5.408,-17.04,-18.416,-13.9435
2022-06-24,-3.84,-5.806,-5.3425,-14.53,-17.356,-13.9905
2022-06-27,-3.49,-4.978,-5.285,-14.84,-16.4,-14.136499999999998
2022-06-28,-4.51,-4.672000000000001,-5.232,-16.63,-16.184,-14.479499999999998
2022-06-29,-4.06,-4.244,-5.0975,-16.92,-15.992,-14.8125
2022-06-30,-4.84,-4.148,-4.9985,-17.56,-16.096,-15.156
2022-07-01,-2.93,-3.9659999999999997,-4.8935,-16.28,-16.446,-15.517
2022-07-05,-2.43,-3.754,-4.712,-16.14,-16.706,-15.799000000000001
2022-07-06,-3.26,-3.504,-4.8085,-15.85,-16.55,-16.0785
2022-07-07,-2.72,-3.2359999999999998,-4.839,-14.65,-16.096,-16.341
2022-07-08,-2.59,-2.786,-4.8125,-14.7,-15.524000000000001,-16.5575
2022-07-11,-2.75,-2.75,-4.751,-15.64,-15.395999999999997,-16.7185
2022-07-12,-2.32,-2.728,-4.6385,-16.4,-15.447999999999999,-16.792
2022-07-13,-1.97,-2.4699999999999998,-4.4025,-16.77,-15.632,-16.7245
2022-07-14,-2.08,-2.342,-4.132,-16.99,-16.1,-16.658
2022-07-15,-1.44,-2.112,-3.8899999999999997,-15.46,-16.252000000000002,-16.572
2022-07-18,-2.7,-2.102,-3.6559999999999997,-16.14,-16.352,-16.3875
2022-07-19,-1.84,-2.006,-3.3665,-13.93,-15.857999999999999,-16.103
2022-07-20,-2.29,-2.07,-3.179,-13.4,-15.184000000000001,-15.8875
2022-07-21,-2.37,-2.128,-2.9875,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-1.97,-2.234,-2.82,-13.32,-13.868,-15.434999999999999
2022-07-25,-1.08,-1.9100000000000001,-2.682,-13.24,-13.288,-15.370499999999998
2022-07-26,-0.25,-1.592,-2.52,-14.25,-13.352,-15.341
2022-07-27,-0.14,-1.1620000000000001,-2.3015,-12.07,-13.086000000000002,-15.113
2022-07-28,3.59,0.02999999999999998,-1.9189999999999998,-10.99,-12.774,-14.8165
2022-07-29,4.23,1.27,-1.4655,-9.72,-12.053999999999998,-14.4245
2022-08-01,4.56,2.398,-1.091,-9.72,-11.350000000000001,-14.0965
2022-08-02,3.87,3.222,-0.776,-10.15,-10.53,-13.797
2022-08-03,4.94,4.238,-0.36600000000000005,-9.12,-9.94,-13.460500000000001
2022-08-04,4.1,4.340000000000001,-0.025,-9.18,-9.578,-13.187000000000001
2022-08-05,4.18,4.33,0.3135,-9.31,-9.496,-12.9175
2022-08-08,4.3,4.278,0.666,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,4.91,4.486,1.0275,-9.62,-9.319999999999999,-12.265
2022-08-10,6.0,4.6979999999999995,1.426,-8.33,-9.162,-11.843
2022-08-11,4.75,4.828,1.7675,-8.33,-8.992,-11.41
2022-08-12,5.26,5.0440000000000005,2.1025,-7.26,-8.581999999999999,-11.0
2022-08-15,6.46,5.476000000000001,2.5605,-6.98,-8.104000000000001,-10.542
2022-08-16,6.58,5.8100000000000005,2.9814999999999996,-6.87,-7.554,-10.189
2022-08-17,6.55,5.92,3.4234999999999998,-7.3,-7.348000000000001,-9.884
2022-08-18,6.53,6.276000000000001,3.8684999999999996,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,6.47,6.517999999999999,4.2905,-7.96,-7.244,-9.344
2022-08-22,6.03,6.4319999999999995,4.646,-9.24,-7.696,-9.144
2022-08-23,6.04,6.324,4.960500000000001,-9.38,-8.198,-8.9005
2022-08-24,6.23,6.26,5.279000000000001,-9.2,-8.578,-8.757
