Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,223.31,230.71,231.21,217.55,223.31,3547100,,,,,,,,223.31,,,0.00,False,False,223.31,31000000.00,0,15613941.14,15386058.86,53.00,0.00,31000000,week +buy 50% Monthly invest,,,,SE,0.00
2022-01-04,197.84,206.20,207.07,194.00,197.84,19429000,,,,,,,,223.31,,,-0.73,False,False,197.84,29245116.86,0,15613941.14,13631175.72,53.00,-5.66,31000000,,,,,SE,-0.02
2022-01-05,184.72,190.32,198.95,179.72,184.72,17390500,,,,,,,,223.31,,,-1.55,False,False,184.72,28341149.21,0,15613941.14,12727208.07,53.00,-8.58,31000000,,,,,SE,-0.97
2022-01-06,192.76,183.50,195.80,177.97,192.76,11285300,,,,,,,,223.31,,,-1.76,False,False,184.72,28895104.79,0,15613941.14,13281163.66,53.00,-6.79,31000000,,,,,SE,-1.04
2022-01-07,187.10,193.25,198.22,186.74,187.10,7099300,,,197.15,,,,,223.31,,,-1.97,False,False,184.72,28505131.55,0,15613941.14,12891190.41,53.00,-8.05,31000000,,,,,SE,-1.21
2022-01-10,187.10,183.80,187.97,168.00,187.10,11987200,,,189.90,,,,,223.31,,,-1.99,False,False,184.72,28505131.55,0,7830580.89,20674550.66,85.00,-8.05,31000000,week +buy 50% ,,,,SE,-1.27
2022-01-11,197.86,187.17,203.56,186.00,197.86,8474400,,,189.91,,,,,223.31,,,-1.56,False,False,184.72,29694111.00,0,7830580.89,21863530.11,85.00,-4.21,31000000,,,,,SE,-0.63
2022-01-12,200.60,203.29,206.38,195.66,200.60,6952500,,,193.08,,,,,223.31,,,-1.10,False,False,184.72,29996881.55,0,7830580.89,22166300.66,85.00,-3.24,31000000,,,,,SE,-0.40
2022-01-13,180.55,200.49,200.65,180.00,180.55,7645700,,,190.64,,,,,223.31,,,-1.37,False,False,180.55,27781356.22,0,7830580.89,19950775.33,85.00,-10.38,31000000,,,,,SE,-1.43
2022-01-14,175.03,179.57,183.71,170.03,175.03,7680500,,,188.23,,,,,223.31,,,-1.63,False,False,175.03,27171395.78,0,7830580.89,19340814.89,85.00,-12.35,31000000,,,,,SE,-1.41
