Date,rate_FDX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,58.26
2019-03-01,2.74,6.13,-3.39,53.74
2019-04-29,4.77,10.74,-5.97,50.29
2019-06-25,-12.06,9.75,-21.81,29.16
2019-08-21,-9.48,9.45,-18.93,33.0
2019-10-17,-13.03,11.38,-24.41,25.69
2019-12-13,-4.02,17.31,-21.33,29.8
2020-02-12,-7.48,23.26,-30.74,17.25
2020-04-09,-27.33,5.35,-32.68,14.66
2020-06-08,-10.04,21.76,-31.8,15.84
2020-08-04,2.61,23.27,-20.66,30.7
2020-09-30,37.93,22.35,15.58,79.04
2020-11-25,55.87,30.73,25.14,91.8
2021-01-26,33.6,37.01,-3.41,53.71
2021-03-24,42.23,38.04,4.19,63.85
2021-05-20,61.37,45.0,16.37,80.1
2021-07-19,52.09,46.79,5.3,65.33
2021-09-14,32.4,49.47,-17.07,35.49
2021-11-09,28.91,55.69,-26.78,22.53
2022-01-06,35.1,54.19,-19.09,32.79
2022-03-07,2.88,37.12,-34.24,12.58
2022-05-03,1.88,34.96,-33.08,14.13
2022-06-30,15.53,22.0,-6.47,49.63
2022-08-26,13.82,30.79,-16.97,35.62
2022-10-24,-17.55,22.72,-40.27,4.54
2022-12-20,-12.18,22.59,-34.77,11.87
2023-02-17,12.17,30.41,-18.24,33.92
2023-04-18,22.09,31.87,-9.78,45.21
2023-06-14,21.86,38.27,-16.41,36.37
2023-08-11,40.36,40.92,-0.56,57.51
2023-10-09,35.73,35.51,0.22,58.55
2023-12-05,40.39,42.24,-1.85,55.79
2024-02-02,27.28,52.79,-25.51,24.23
2024-04-02,43.65,59.09,-15.44,37.66
2024-05-29,27.6,60.75,-33.15,14.03
2024-07-26,55.2,64.89,-9.69,45.33
