Date,rate_COIN,rate_COIN_5D,rate_COIN_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.18,,,-0.02,,
2022-01-05,-3.32,,,-0.97,,
2022-01-06,-3.36,,,-1.04,,
2022-01-07,-3.69,-2.1100000000000003,,-1.21,-0.648,
2022-01-10,-5.13,-3.136,,-1.27,-0.9019999999999999,
2022-01-11,-1.39,-3.378,,-0.63,-1.024,
2022-01-12,-2.17,-3.1479999999999997,,-0.4,-0.9099999999999999,
2022-01-13,-4.15,-3.306,,-1.43,-0.9879999999999999,
2022-01-14,-3.6,-3.2879999999999994,,-1.41,-1.028,
2022-01-18,-6.05,-3.472,,-2.7,-1.314,
2022-01-19,-6.82,-4.558,,-3.45,-1.8780000000000001,
2022-01-20,-6.17,-5.358,,-4.24,-2.646,
2022-01-21,-15.25,-7.578,,-5.63,-3.4859999999999998,
2022-01-24,-15.4,-9.937999999999999,,-5.34,-4.272,
2022-01-25,-17.58,-12.244,,-6.33,-4.998,
2022-01-26,-20.19,-14.918000000000001,,-6.51,-5.609999999999999,
2022-01-27,-23.34,-18.351999999999997,,-6.91,-6.144,
2022-01-28,-20.58,-19.418,,-4.96,-6.01,
2022-01-31,-15.89,-19.516,-8.713,-3.46,-5.634,-2.8954999999999997
2022-02-01,-12.41,-18.482000000000003,-9.333499999999999,-2.79,-4.926,-3.035
2022-02-02,-16.49,-17.741999999999997,-10.149,-1.97,-4.018,-3.1325
2022-02-03,-18.88,-16.85,-10.927,-4.0,-3.436,-3.284
2022-02-04,-13.71,-15.475999999999999,-11.4445,-3.6,-3.164,-3.4120000000000004
2022-02-07,-9.25,-14.148,-11.7225,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-8.01,-13.268,-11.866499999999998,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-5.62,-11.094,-12.078,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-9.66,-9.25,-12.452499999999999,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-13.9,-9.288,-12.940000000000001,-5.24,-3.504,-4.0409999999999995
