Date,rate_BMY_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,1100.0
2022-01-05,0.0,0.0,123.71
2022-01-06,0.0,0.0,69.23
2022-01-07,0.17,0.0,162.81
2022-01-10,0.69,0.0,303.94
2022-01-11,1.23,0.0,560.32
2022-01-12,1.66,0.0,692.5
2022-01-13,2.16,0.0,253.15
2022-01-14,2.5,0.0,274.47
2022-01-18,2.47,0.0,189.63
2022-01-19,2.35,0.0,166.38
2022-01-20,2.31,0.0,151.18
2022-01-21,2.14,0.0,123.8
2022-01-24,1.76,0.0,111.05
2022-01-25,1.36,0.0,106.48
2022-01-26,0.93,0.0,102.15
2022-01-27,0.91,0.0,130.25
2022-01-28,1.32,0.0,167.74
2022-01-31,1.87,-2.9,196.24
2022-02-01,2.51,-3.04,230.11
2022-02-02,3.1,-3.13,257.87
2022-02-03,3.11,-3.28,153.0
2022-02-04,3.11,-3.41,193.33
2022-02-07,3.44,-3.55,228.61
2022-02-08,3.63,-3.64,245.4
2022-02-09,4.26,-3.7,446.41
2022-02-10,4.92,-3.85,257.56
2022-02-11,5.44,-4.04,212.98
2022-02-14,5.6,-4.25,205.42
2022-02-15,6.13,-4.32,277.21
2022-02-16,6.28,-4.34,275.38
2022-02-17,6.53,-4.43,212.65
2022-02-18,6.73,-4.47,206.31
2022-02-22,6.91,-4.58,190.37
2022-02-23,6.96,-4.71,182.45
2022-02-24,6.81,-4.78,180.85
2022-02-25,7.23,-4.72,250.43
2022-02-28,7.55,-4.77,241.56
2022-03-01,7.85,-4.96,214.76
2022-03-02,8.06,-5.1,252.69
2022-03-03,8.58,-5.3,246.77
2022-03-04,8.67,-5.44,236.05
2022-03-07,8.64,-5.73,190.25
2022-03-08,8.38,-6.03,169.74
2022-03-09,8.18,-6.26,197.66
2022-03-10,8.0,-6.57,197.9
2022-03-11,7.87,-6.86,192.94
2022-03-14,8.01,-7.09,192.38
2022-03-15,8.56,-7.21,222.98
2022-03-16,8.99,-7.3,262.67
2022-03-17,9.55,-7.34,323.54
2022-03-18,10.11,-7.24,401.59
2022-03-21,10.58,-7.1,402.65
2022-03-22,10.85,-6.86,514.55
2022-03-23,11.29,-6.6,403.33
2022-03-24,11.77,-6.36,564.66
2022-03-25,12.35,-6.18,707.23
2022-03-28,12.88,-5.97,931.36
2022-03-29,13.5,-5.63,3062.5
2022-03-30,14.12,-5.41,1468.81
2022-03-31,14.28,-5.23,642.41
2022-04-01,14.35,-5.01,752.68
2022-04-04,14.46,-4.61,1105.52
2022-04-05,14.69,-4.25,687.02
2022-04-06,15.01,-4.04,562.75
2022-04-07,16.01,-3.79,710.97
2022-04-08,17.0,-3.5,687.99
2022-04-11,17.68,-3.25,463.97
2022-04-12,18.21,-3.12,441.86
2022-04-13,18.61,-3.03,537.35
2022-04-14,18.7,-3.06,461.08
2022-04-18,18.45,-3.14,442.62
2022-04-19,18.43,-3.15,561.08
2022-04-20,18.62,-3.21,581.01
2022-04-21,18.79,-3.28,462.36
2022-04-22,18.33,-3.53,317.18
2022-04-25,18.15,-3.79,336.77
2022-04-26,17.94,-4.2,268.94
2022-04-27,17.56,-4.66,275.95
2022-04-28,17.5,-4.98,353.46
2022-04-29,17.36,-5.4,251.06
2022-05-02,17.0,-5.78,256.46
2022-05-03,16.75,-6.19,262.06
2022-05-04,16.81,-6.41,349.21
2022-05-05,16.47,-6.74,271.08
2022-05-06,16.78,-7.12,268.13
2022-05-09,17.13,-7.62,229.26
2022-05-10,17.49,-8.04,231.54
2022-05-11,17.44,-8.5,217.83
2022-05-12,17.45,-9.02,218.85
2022-05-13,17.2,-9.39,231.39
2022-05-16,17.39,-9.77,240.95
2022-05-17,17.97,-10.14,279.81
2022-05-18,18.23,-10.68,225.63
2022-05-19,18.12,-11.17,210.48
2022-05-20,18.24,-11.54,212.92
2022-05-23,18.17,-11.86,231.51
2022-05-24,17.84,-12.08,230.51
2022-05-25,17.91,-12.27,238.48
2022-05-26,18.41,-12.49,262.33
2022-05-27,18.39,-12.44,275.44
2022-05-31,18.01,-12.45,256.82
2022-06-01,17.26,-12.5,239.48
2022-06-02,16.51,-12.61,266.45
2022-06-03,15.69,-12.62,245.05
2022-06-06,15.33,-12.6,249.61
2022-06-07,15.59,-12.4,285.11
2022-06-08,15.97,-12.26,261.72
2022-06-09,16.24,-12.15,232.61
2022-06-10,16.22,-12.17,201.21
2022-06-13,15.71,-12.44,170.64
2022-06-14,14.57,-12.7,163.97
2022-06-15,13.61,-13.0,169.56
2022-06-16,12.58,-13.26,157.19
2022-06-17,12.18,-13.47,166.72
2022-06-21,13.06,-13.6,197.23
2022-06-22,14.19,-13.81,196.98
2022-06-23,15.61,-13.94,211.97
2022-06-24,17.55,-13.99,244.67
2022-06-27,19.45,-14.14,252.16
2022-06-28,20.13,-14.48,223.99
2022-06-29,20.66,-14.81,218.09
2022-06-30,20.44,-15.16,202.62
2022-07-01,19.7,-15.52,206.27
2022-07-05,18.38,-15.8,199.07
2022-07-06,17.53,-16.08,203.34
2022-07-07,16.49,-16.34,200.68
2022-07-08,15.91,-16.56,202.79
2022-07-11,15.52,-16.72,198.4
2022-07-12,15.24,-16.79,188.72
2022-07-13,14.72,-16.72,182.41
2022-07-14,14.38,-16.66,176.69
2022-07-15,14.46,-16.57,200.39
2022-07-18,13.91,-16.39,178.19
2022-07-19,13.34,-16.1,183.99
2022-07-20,12.82,-15.89,183.73
2022-07-21,12.52,-15.62,192.03
2022-07-22,11.7,-15.43,185.74
2022-07-25,11.43,-15.37,184.97
2022-07-26,11.58,-15.34,187.37
2022-07-27,12.18,-15.11,217.98
2022-07-28,12.69,-14.82,228.12
2022-07-29,12.94,-14.42,230.45
2022-08-01,13.11,-14.1,224.59
2022-08-02,12.97,-13.8,215.47
2022-08-03,12.4,-13.46,225.0
2022-08-04,11.66,-13.19,213.4
2022-08-05,11.21,-12.92,211.82
2022-08-08,11.25,-12.6,231.38
2022-08-09,11.61,-12.26,240.54
2022-08-10,12.01,-11.84,260.98
2022-08-11,12.53,-11.41,256.06
2022-08-12,13.28,-11.0,294.9
2022-08-15,13.43,-10.54,287.25
2022-08-16,13.26,-10.19,284.28
2022-08-17,13.2,-9.88,279.45
2022-08-18,13.13,-9.61,278.34
2022-08-19,13.08,-9.34,274.37
2022-08-22,13.08,-9.14,241.67
2022-08-23,12.81,-8.9,220.36
2022-08-24,12.38,-8.76,218.91
2022-08-25,11.84,-8.62,220.17
2022-08-26,11.0,-8.66,193.17
2022-08-29,9.43,-8.71,148.19
2022-08-30,8.3,-8.77,149.65
2022-08-31,7.29,-8.91,149.62
2022-09-01,6.78,-9.02,165.26
2022-09-02,6.23,-9.16,158.01
2022-09-06,6.59,-9.3,157.52
2022-09-07,6.88,-9.36,165.5
2022-09-08,7.31,-9.46,177.26
2022-09-09,7.65,-9.5,199.89
2022-09-12,8.71,-9.55,248.85
2022-09-13,9.36,-9.8,185.68
2022-09-14,9.82,-10.04,180.68
2022-09-15,10.5,-10.31,190.18
2022-09-16,10.87,-10.62,182.83
2022-09-19,10.23,-10.85,171.38
2022-09-20,9.84,-11.07,161.2
2022-09-21,9.53,-11.36,152.52
2022-09-22,9.4,-11.69,167.81
2022-09-23,9.16,-12.13,157.29
2022-09-26,9.15,-12.5,150.06
2022-09-27,9.34,-12.87,151.21
2022-09-28,10.13,-13.15,170.27
2022-09-29,10.27,-13.48,161.01
2022-09-30,10.38,-13.91,152.47
2022-10-03,10.45,-14.17,153.75
2022-10-04,10.66,-14.31,169.44
2022-10-05,10.43,-14.52,171.26
2022-10-06,9.93,-14.79,155.79
2022-10-07,9.46,-15.24,144.28
2022-10-10,8.83,-15.77,132.98
2022-10-11,8.36,-16.14,141.4
2022-10-12,7.7,-16.53,137.97
2022-10-13,7.87,-16.77,155.55
2022-10-14,8.16,-17.07,149.12
2022-10-17,9.05,-17.3,161.54
2022-10-18,9.69,-17.44,168.54
2022-10-19,10.26,-17.53,160.73
2022-10-20,10.13,-17.62,151.57
2022-10-21,10.62,-17.54,176.26
2022-10-24,11.11,-17.38,189.68
2022-10-25,11.43,-17.14,196.31
2022-10-26,12.45,-16.99,210.58
2022-10-27,13.76,-16.77,208.71
2022-10-28,15.18,-16.4,253.63
2022-10-31,16.57,-16.18,254.31
2022-11-01,17.99,-16.09,253.0
2022-11-02,18.82,-16.09,229.12
2022-11-03,19.91,-16.1,231.87
2022-11-04,20.4,-15.93,245.41
2022-11-07,20.82,-15.69,257.73
2022-11-08,21.51,-15.4,272.0
2022-11-09,22.22,-15.19,250.72
2022-11-10,22.49,-14.86,307.4
2022-11-11,21.63,-14.39,272.55
2022-11-14,20.78,-14.06,267.32
2022-11-15,19.65,-13.74,277.81
2022-11-16,18.55,-13.43,264.72
2022-11-17,17.87,-13.09,275.09
2022-11-18,18.33,-12.84,285.89
2022-11-21,19.12,-12.64,301.94
2022-11-22,19.91,-12.46,324.9
2022-11-23,20.82,-12.22,342.46
2022-11-25,21.44,-11.96,343.63
2022-11-28,21.95,-11.86,309.9
2022-11-29,21.96,-11.75,305.35
2022-11-30,22.36,-11.5,396.99
2022-12-01,22.74,-11.13,408.51
2022-12-02,23.16,-10.73,407.73
2022-12-05,23.49,-10.46,350.42
2022-12-06,23.63,-10.29,310.35
2022-12-07,23.4,-10.16,307.16
2022-12-08,23.11,-9.91,320.27
2022-12-09,22.45,-9.91,293.27
2022-12-12,21.92,-9.89,318.94
2022-12-13,21.16,-9.8,309.15
2022-12-14,20.33,-9.78,294.0
2022-12-15,18.88,-9.83,230.39
2022-12-16,17.28,-9.92,202.05
2022-12-19,15.57,-10.07,192.86
2022-12-20,14.16,-10.22,185.28
2022-12-21,13.02,-10.36,202.17
2022-12-22,12.67,-10.59,198.76
2022-12-23,12.49,-10.79,191.51
2022-12-27,12.33,-10.94,186.09
2022-12-28,12.13,-11.14,173.56
2022-12-29,11.76,-11.39,183.1
2022-12-30,11.19,-11.67,180.02
2023-01-03,10.95,-11.94,181.53
2023-01-04,10.9,-12.1,189.62
2023-01-05,10.82,-12.25,175.75
2023-01-06,11.05,-12.29,202.04
2023-01-09,10.7,-12.37,175.76
2023-01-10,10.52,-12.39,188.73
2023-01-11,10.31,-12.41,202.88
2023-01-12,10.21,-12.45,201.03
2023-01-13,10.06,-12.45,219.45
2023-01-17,10.46,-12.34,214.57
2023-01-18,10.61,-12.26,197.18
2023-01-19,11.16,-12.16,213.19
2023-01-20,11.94,-11.98,237.36
2023-01-23,12.17,-11.8,238.59
2023-01-24,12.18,-11.57,221.46
2023-01-25,12.5,-11.36,235.96
2023-01-26,12.27,-11.09,248.51
2023-01-27,11.75,-10.75,242.95
2023-01-30,11.37,-10.54,217.58
2023-01-31,11.46,-10.26,249.48
2023-02-01,10.83,-9.92,239.11
2023-02-02,10.71,-9.55,316.57
2023-02-03,11.25,-9.18,323.51
2023-02-06,11.95,-8.93,308.02
2023-02-07,12.46,-8.62,343.73
2023-02-08,13.18,-8.39,292.26
2023-02-09,12.79,-8.25,229.79
2023-02-10,12.11,-8.12,248.44
2023-02-13,11.7,-7.96,293.37
2023-02-14,11.01,-7.79,269.89
2023-02-15,10.35,-7.54,257.21
2023-02-16,10.16,-7.31,220.77
2023-02-17,9.82,-7.16,223.01
2023-02-21,9.23,-7.15,204.53
2023-02-22,8.95,-7.13,204.95
2023-02-23,8.92,-7.1,211.03
2023-02-24,8.72,-7.15,181.43
2023-02-27,8.38,-7.2,180.45
2023-02-28,7.69,-7.21,160.59
2023-03-01,7.07,-7.29,165.15
2023-03-02,6.37,-7.4,166.63
2023-03-03,6.08,-7.51,180.03
2023-03-06,5.72,-7.56,172.95
2023-03-07,5.41,-7.66,146.01
2023-03-08,4.79,-7.8,134.15
2023-03-09,3.98,-7.97,117.16
2023-03-10,2.9,-8.17,104.7
2023-03-13,2.02,-8.39,108.41
2023-03-14,1.56,-8.58,116.8
2023-03-15,1.62,-8.8,130.48
2023-03-16,1.8,-8.95,129.03
2023-03-17,2.05,-9.1,117.66
2023-03-20,2.43,-9.21,130.88
2023-03-21,2.74,-9.18,140.35
2023-03-22,2.67,-9.22,129.81
2023-03-23,2.64,-9.28,126.2
2023-03-24,2.98,-9.28,138.44
2023-03-27,3.24,-9.28,145.77
2023-03-28,3.45,-9.28,147.16
2023-03-29,3.73,-9.21,154.38
2023-03-30,4.1,-9.15,158.8
2023-03-31,4.6,-9.08,199.17
2023-04-03,5.07,-8.99,215.83
2023-04-04,5.26,-8.86,186.51
2023-04-05,5.73,-8.75,205.24
2023-04-06,6.47,-8.54,234.79
2023-04-10,6.74,-8.27,225.3
2023-04-11,6.84,-8.0,219.01
2023-04-12,7.23,-7.81,216.26
2023-04-13,7.49,-7.53,258.68
2023-04-14,7.41,-7.34,245.77
2023-04-17,7.5,-7.08,260.04
2023-04-18,7.56,-6.86,250.41
2023-04-19,7.46,-6.7,238.51
2023-04-20,7.1,-6.49,215.49
2023-04-21,7.12,-6.28,244.34
2023-04-24,7.1,-6.09,249.03
2023-04-25,7.1,-5.96,212.91
2023-04-26,6.54,-5.84,157.23
2023-04-27,5.95,-5.71,162.21
2023-04-28,4.82,-5.57,143.42
2023-05-01,4.15,-5.49,196.9
2023-05-02,3.48,-5.49,171.22
2023-05-03,3.05,-5.49,128.12
2023-05-04,2.79,-5.51,129.66
2023-05-05,3.19,-5.47,177.09
2023-05-08,3.19,-5.43,185.71
2023-05-09,3.16,-5.42,168.36
2023-05-10,3.72,-5.36,188.24
2023-05-11,4.4,-5.37,203.25
2023-05-12,4.38,-5.38,171.96
2023-05-15,4.31,-5.39,179.76
2023-05-16,4.01,-5.43,140.18
