Date,rate_MAR_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,6300.0
2022-01-05,0.0,0.0,114.43
2022-01-06,0.0,0.0,138.46
2022-01-07,0.52,0.0,168.6
2022-01-10,0.41,0.0,55.91
2022-01-11,0.34,0.0,239.68
2022-01-12,0.45,0.0,280.0
2022-01-13,0.49,0.0,139.16
2022-01-14,0.28,0.0,84.4
2022-01-18,0.04,0.0,36.3
2022-01-19,-0.96,0.0,-20.29
2022-01-20,-1.71,0.0,29.01
2022-01-21,-2.39,0.0,49.02
2022-01-24,-3.04,0.0,35.39
2022-01-25,-3.25,0.0,56.56
2022-01-26,-2.78,0.0,71.74
2022-01-27,-3.09,0.0,34.3
2022-01-28,-2.81,0.0,69.96
2022-01-31,-2.24,-2.9,83.82
2022-02-01,-1.58,-3.04,118.64
2022-02-02,-1.35,-3.13,65.48
2022-02-03,-0.45,-3.28,98.75
2022-02-04,-0.08,-3.41,110.0
2022-02-07,0.47,-3.55,156.7
2022-02-08,1.45,-3.64,272.06
2022-02-09,2.9,-3.7,463.54
2022-02-10,4.36,-3.85,310.76
2022-02-11,5.18,-4.04,184.73
2022-02-14,5.8,-4.25,195.66
2022-02-15,6.95,-4.32,374.26
2022-02-16,8.12,-4.34,412.06
2022-02-17,8.54,-4.43,258.18
2022-02-18,9.14,-4.47,214.46
2022-02-22,9.36,-4.58,185.03
2022-02-23,7.78,-4.71,136.31
2022-02-24,6.04,-4.78,148.51
2022-02-25,5.59,-4.72,222.38
2022-02-28,5.02,-4.77,175.83
2022-03-01,4.02,-4.96,119.08
2022-03-02,4.03,-5.1,159.5
2022-03-03,3.62,-5.3,128.19
2022-03-04,1.81,-5.44,71.36
2022-03-07,-0.81,-5.73,8.68
2022-03-08,-2.22,-6.03,42.99
2022-03-09,-3.23,-6.26,78.02
2022-03-10,-3.53,-6.57,101.98
2022-03-11,-3.23,-6.86,95.77
2022-03-14,-1.58,-7.09,96.85
2022-03-15,0.05,-7.21,131.57
2022-03-16,1.61,-7.3,202.53
2022-03-17,2.66,-7.34,213.33
2022-03-18,3.82,-7.24,243.5
2022-03-21,4.81,-7.1,223.34
2022-03-22,5.32,-6.86,287.69
2022-03-23,4.76,-6.6,183.33
2022-03-24,4.85,-6.36,308.13
2022-03-25,4.89,-6.18,338.72
2022-03-28,5.08,-5.97,433.73
