Date,rate_PLTR_5D,rate_VOO_20D,Divergence,Relative_Divergence
2020-09-30,0.0,0.0,0.0,18.69
2020-11-25,201.11,4.45,196.66,72.77
2021-01-26,266.02,7.58,258.44,89.76
2021-03-24,127.48,7.2,120.28,51.77
2021-05-20,114.43,7.24,107.19,48.17
2021-07-19,123.99,8.87,115.12,50.35
2021-09-14,172.46,13.19,159.27,62.49
2021-11-09,151.82,18.03,133.79,55.48
2022-01-06,74.69,3.89,70.8,38.16
2022-03-07,16.87,14.68,2.19,19.29
2022-05-03,11.12,16.26,-5.14,17.28
2022-06-30,-4.27,17.41,-21.68,12.73
2022-08-26,-16.03,24.05,-40.08,7.67
2022-10-24,-12.59,29.15,-41.74,7.21
2022-12-20,-32.98,30.35,-63.33,1.27
2023-02-17,-2.92,36.67,-39.59,7.8
2023-04-18,-7.81,38.99,-46.8,5.82
2023-06-14,67.69,43.6,24.09,25.31
2023-08-11,62.42,49.14,13.28,22.34
2023-10-09,85.59,49.24,36.35,28.68
2023-12-05,92.85,37.68,55.17,33.86
2024-02-02,79.38,36.93,42.45,30.36
2024-04-02,139.4,27.61,111.79,49.43
2024-05-29,120.65,34.27,86.38,42.44
2024-07-26,186.36,27.92,158.44,62.26
