Date,price,Open,High,Low,Close,Volume ,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2022-01-03,126.16,131.07,132.10,122.71,126.16,3644300,,,,,,,,126.16,,,0.00,False,False,126.16,31000000.00,0,15583247.51,15416752.49,94.00,0.00,31000000,week +buy 50% Monthly invest,,,,NET,0.00
2022-01-04,114.96,124.52,125.97,108.58,114.96,9785400,,,,,,,,126.16,,,-0.57,False,False,114.96,29631359.39,0,15583247.51,14048111.88,94.00,-4.41,31000000,,,,,NET,-0.02
2022-01-05,105.95,113.50,116.16,103.46,105.95,6186000,,,,,,,,126.16,,,-1.37,False,False,105.95,28530337.14,0,15583247.51,12947089.63,94.00,-7.97,31000000,,,,,NET,-0.97
2022-01-06,104.04,103.52,108.58,102.15,104.04,5066600,,,,,,,,126.16,,,-1.92,False,False,104.04,28296935.63,0,15583247.51,12713688.12,94.00,-8.72,31000000,,,,,NET,-1.04
2022-01-07,107.00,102.87,110.04,101.77,107.00,6148300,,,111.62,,,,,126.16,,,-2.01,False,False,104.04,28658647.51,0,15583247.51,13075400.00,94.00,-7.55,31000000,,,,,NET,-1.21
2022-01-10,110.75,102.00,111.03,100.01,110.75,5626800,,,108.54,,,,,126.16,,,-1.75,False,False,104.04,29116897.51,0,7808597.51,21308300.00,148.00,-6.07,31000000,week +buy 50% ,,,,NET,-1.27
2022-01-11,114.14,110.23,115.80,109.06,114.14,4827500,,,108.38,,,,,126.16,,,-1.30,False,False,104.04,29769133.32,0,7808597.51,21960535.81,148.00,-3.97,31000000,,,,,NET,-0.63
2022-01-12,113.97,117.00,122.13,112.00,113.97,5778200,,,109.98,,,,,126.16,,,-0.94,False,False,104.04,29736425.70,0,7808597.51,21927828.19,148.00,-4.08,31000000,,,,,NET,-0.40
2022-01-13,98.98,112.94,114.06,98.49,98.98,8118600,,,108.97,,,,,126.16,,,-1.47,False,False,98.98,26852350.09,0,7808597.51,19043752.58,148.00,-13.38,31000000,,,,,NET,-1.43
2022-01-14,100.29,99.25,101.95,95.58,100.29,5975100,,,107.63,,,,,126.16,,,-1.65,False,False,98.98,27104393.70,0,7808597.51,19295796.19,148.00,-12.57,31000000,,,,,NET,-1.41
2022-01-18,93.63,97.10,100.15,93.31,93.63,5750500,,,104.20,,,,,126.16,,,-2.05,False,False,93.63,25823008.93,0,7808597.51,18014411.42,148.00,-16.70,31000000,,,,,NET,-2.70
2022-01-19,94.32,94.99,99.47,93.86,94.32,4910200,,,100.24,,,,,126.16,,,-2.14,False,False,93.63,25955765.51,0,7808597.51,18147168.00,148.00,-16.27,31000000,,,,,NET,-3.45
2022-01-20,93.41,95.86,102.61,93.19,93.41,4909500,,,96.13,,,,,126.16,,,-2.12,False,False,93.41,25780682.28,0,7808597.51,17972084.77,148.00,-16.84,31000000,,,,,NET,-4.24
2022-01-21,88.55,94.38,96.43,87.84,88.55,7120700,,,94.04,,,,,126.16,,,-2.28,False,False,88.55,24845618.09,0,7808597.51,17037020.58,148.00,-19.85,31000000,,,,,NET,-5.63
2022-01-24,93.28,84.65,94.43,80.11,93.28,9739000,,,92.64,,,,,126.16,,,-1.93,False,False,88.55,25755669.32,0,3928149.55,21827519.77,180.00,-16.92,31000000,week +buy 50% ,28.36,,,NET,-5.34
2022-01-25,84.78,90.64,92.44,83.53,84.78,7530500,,,90.87,,,,,126.16,,,-2.11,False,False,84.78,23766669.32,0,3928149.55,19838519.77,180.00,-23.33,31000000,,23.10,,,NET,-6.33
2022-01-26,80.07,88.75,90.57,79.00,80.07,7764700,,,88.02,,,,,126.16,,,-2.40,False,False,80.07,22664529.55,0,3928149.55,18736380.00,180.00,-26.89,31000000,,20.80,,,NET,-6.51
2022-01-27,80.34,82.57,83.73,79.44,80.34,5282500,,,85.40,,,,,126.16,,,-2.41,False,False,80.07,22727708.62,0,3928149.55,18799559.06,180.00,-26.68,31000000,,21.28,,,NET,-6.91
2022-01-28,84.18,81.08,84.49,76.61,84.18,5393200,,,84.53,,,,,126.16,,,-1.99,False,False,80.07,23626269.55,0,3928149.55,19698120.00,180.00,-23.79,31000000,,28.03,,,NET,-4.96
2022-01-31,96.40,86.50,96.47,86.47,96.40,6924400,124.08,49.61,85.15,99.26,,,,126.16,,,-0.73,False,False,80.07,26485750.02,0,2048349.51,24437400.51,195.00,-14.56,31000000,week +buy 50% ,44.36,,,NET,-3.46
2022-02-01,102.43,97.63,104.07,95.77,102.43,9360300,119.70,54.82,88.68,98.07,,,,126.16,,,0.59,False,False,80.07,29014354.51,0,3048349.51,25966005.00,195.00,-9.33,32000000,Monthly invest,50.35,,,NET,-2.79
