Date,rate_VZ,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.98,0.0,0.0
2022-01-05,1.5,0.0,0.0
2022-01-06,1.26,0.0,0.0
2022-01-07,1.71,1.09,0.0
2022-01-10,1.36,1.362,0.0
2022-01-11,0.97,1.3599999999999999,0.0
2022-01-12,0.77,1.214,0.0
2022-01-13,0.87,1.136,0.0
2022-01-14,0.53,0.9,0.0
2022-01-18,0.74,0.776,0.0
2022-01-19,0.84,0.75,0.0
2022-01-20,0.7,0.736,0.0
2022-01-21,0.36,0.634,0.0
2022-01-24,0.08,0.5439999999999999,0.0
2022-01-25,-0.02,0.392,0.0
2022-01-26,-3.12,-0.4,0.0
2022-01-27,-2.84,-1.108,0.0
2022-01-28,-0.02,-1.1839999999999997,0.0
2022-01-31,0.52,-1.0959999999999999,0.3595
2022-02-01,0.45,-1.002,0.382
2022-02-02,1.48,-0.08199999999999999,0.40700000000000003
2022-02-03,1.46,0.7779999999999999,0.40499999999999997
2022-02-04,0.64,0.9099999999999999,0.374
2022-02-07,0.11,0.828,0.294
2022-02-08,-0.21,0.696,0.21549999999999997
2022-02-09,1.01,0.602,0.21749999999999997
2022-02-10,0.18,0.346,0.188
2022-02-11,0.69,0.356,0.179
2022-02-14,0.6,0.4539999999999999,0.18249999999999997
2022-02-15,0.76,0.6479999999999999,0.1835
2022-02-16,0.83,0.6119999999999999,0.183
2022-02-17,1.17,0.8099999999999999,0.2065
2022-02-18,1.63,0.9979999999999999,0.26999999999999996
2022-02-22,1.75,1.228,0.3535
2022-02-23,0.85,1.246,0.39699999999999996
2022-02-24,-0.66,0.9480000000000001,0.52
2022-02-25,2.16,1.1460000000000001,0.77
2022-02-28,1.33,1.0859999999999999,0.8375
2022-03-01,1.18,0.9720000000000001,0.8705
2022-03-02,2.14,1.23,0.9550000000000001
2022-03-03,3.08,1.9780000000000002,1.0350000000000001
2022-03-04,3.89,2.3240000000000003,1.1564999999999999
2022-03-07,3.11,2.68,1.28
2022-03-08,0.48,2.54,1.2985
2022-03-09,0.16,2.144,1.317
2022-03-10,0.44,1.616,1.2885
2022-03-11,0.09,0.8559999999999999,1.284
2022-03-14,-0.91,0.05199999999999998,1.2040000000000002
2022-03-15,-0.42,-0.12800000000000003,1.153
2022-03-16,-0.92,-0.34400000000000003,1.069
2022-03-17,-1.17,-0.666,0.9690000000000001
2022-03-18,-4.07,-1.498,0.707
2022-03-21,-3.51,-2.018,0.45
2022-03-22,-3.7,-2.6740000000000004,0.17750000000000005
2022-03-23,-3.76,-3.242,-0.05299999999999996
2022-03-24,-3.7,-3.748,-0.205
2022-03-25,-3.18,-3.5700000000000003,-0.472
2022-03-28,-3.38,-3.5439999999999996,-0.7075
2022-03-29,-3.23,-3.45,-0.9279999999999999
2022-03-30,-2.56,-3.21,-1.163
2022-03-31,-3.82,-3.2340000000000004,-1.5080000000000002
2022-04-01,-1.55,-2.9080000000000004,-1.78
2022-04-04,-0.93,-2.418,-1.982
2022-04-05,-0.34,-1.8399999999999999,-2.023
2022-04-06,0.44,-1.24,-2.009
2022-04-07,-0.54,-0.584,-2.0580000000000003
2022-04-08,1.05,-0.06400000000000002,-2.0100000000000002
2022-04-11,1.74,0.47000000000000003,-1.8775
2022-04-12,1.31,0.8,-1.791
2022-04-13,2.19,1.15,-1.6355
2022-04-14,1.61,1.5799999999999998,-1.4965000000000002
2022-04-18,0.79,1.528,-1.2534999999999998
2022-04-19,1.46,1.472,-1.0050000000000001
2022-04-20,2.7,1.75,-0.6849999999999999
2022-04-21,3.83,2.0780000000000003,-0.30549999999999994
2022-04-22,-1.99,1.358,-0.21999999999999997
2022-04-25,-5.05,0.18999999999999986,-0.3135
2022-04-26,-6.69,-1.4400000000000002,-0.4789999999999999
2022-04-27,-8.48,-3.6760000000000006,-0.7414999999999999
2022-04-28,-8.59,-6.16,-1.043
2022-04-29,-12.54,-8.27,-1.4789999999999999
2022-05-02,-12.31,-9.722,-2.017
2022-05-03,-10.56,-10.496,-2.4985
2022-05-04,-8.33,-10.466,-2.8979999999999997
2022-05-05,-9.31,-10.61,-3.3855000000000004
