Date,rate_LULU_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-4150.0
2022-01-05,0.0,0.0,-225.77
2022-01-06,0.0,0.0,-126.92
2022-01-07,-2.09,0.0,-236.36
2022-01-10,-3.07,0.0,-287.4
2022-01-11,-3.95,0.0,-733.33
2022-01-12,-4.14,0.0,-920.0
2022-01-13,-5.13,0.0,-411.89
2022-01-14,-6.07,0.0,-521.28
2022-01-18,-6.69,0.0,-198.52
2022-01-19,-7.32,0.0,-142.61
2022-01-20,-8.51,0.0,-136.56
2022-01-21,-9.42,0.0,-111.37
2022-01-24,-9.71,0.0,-91.2
2022-01-25,-10.74,0.0,-108.69
2022-01-26,-12.0,0.0,-124.88
2022-01-27,-12.74,0.0,-98.99
2022-01-28,-12.67,0.0,-132.86
2022-01-31,-12.1,-2.9,-112.72
2022-02-01,-10.33,-3.04,-56.27
2022-02-02,-8.06,-3.13,-67.51
2022-02-03,-6.91,-3.28,-99.25
2022-02-04,-5.89,-3.41,-80.0
2022-02-07,-5.92,-3.55,-93.56
2022-02-08,-6.44,-3.64,-120.32
2022-02-09,-6.9,-3.7,-208.29
2022-02-10,-6.69,-3.85,-102.03
2022-02-11,-7.7,-4.04,-120.23
2022-02-14,-8.67,-4.25,-123.15
2022-02-15,-9.51,-4.32,-172.79
2022-02-16,-10.52,-4.34,-166.83
2022-02-17,-11.79,-4.43,-124.45
2022-02-18,-12.21,-4.47,-110.31
2022-02-22,-12.7,-4.58,-97.46
2022-02-23,-13.93,-4.71,-90.62
2022-02-24,-14.45,-4.78,-71.02
2022-02-25,-14.04,-4.72,-94.15
2022-02-28,-13.44,-4.77,-76.32
2022-03-01,-12.8,-4.96,-61.28
2022-03-02,-10.88,-5.1,-37.1
2022-03-03,-10.14,-5.3,-58.54
2022-03-04,-9.92,-5.44,-50.74
2022-03-07,-10.78,-5.73,-60.34
2022-03-08,-11.78,-6.03,-65.83
2022-03-09,-13.05,-6.26,-82.44
2022-03-10,-14.17,-6.57,-87.14
2022-03-11,-15.72,-6.86,-94.46
2022-03-14,-16.43,-7.09,-88.31
2022-03-15,-16.79,-7.21,-131.69
2022-03-16,-16.82,-7.3,-139.19
2022-03-17,-16.48,-7.34,-180.63
2022-03-18,-15.08,-7.24,-189.12
2022-03-21,-14.04,-7.1,-252.79
2022-03-22,-12.65,-6.86,-326.12
2022-03-23,-12.36,-6.6,-225.38
2022-03-24,-11.8,-6.36,-277.03
2022-03-25,-11.56,-6.18,-314.47
2022-03-28,-10.26,-5.97,-302.37
2022-03-29,-8.67,-5.63,-616.67
2022-03-30,-5.0,-5.41,618.35
2022-03-31,-2.38,-5.23,194.16
2022-04-01,0.15,-5.01,231.25
2022-04-04,3.0,-4.61,611.72
2022-04-05,4.89,-4.25,329.39
2022-04-06,4.57,-4.04,214.01
2022-04-07,5.3,-3.79,296.13
2022-04-08,5.4,-3.5,203.0
2022-04-11,4.56,-3.25,165.38
2022-04-12,4.35,-3.12,193.75
2022-04-13,5.4,-3.03,320.57
2022-04-14,5.86,-3.06,255.49
2022-04-18,6.69,-3.14,242.06
2022-04-19,8.42,-3.15,406.44
2022-04-20,8.85,-3.21,278.73
2022-04-21,7.98,-3.28,193.82
2022-04-22,6.63,-3.53,120.36
2022-04-25,5.65,-3.79,136.77
2022-04-26,3.0,-4.2,86.13
2022-04-27,1.39,-4.66,89.83
2022-04-28,0.63,-4.98,116.22
2022-04-29,0.15,-5.4,92.34
2022-05-02,-0.24,-5.78,107.81
2022-05-03,-0.08,-6.19,93.87
2022-05-04,0.48,-6.41,125.75
2022-05-05,-0.53,-6.74,62.39
2022-05-06,-2.54,-7.12,-1.97
2022-05-09,-6.17,-7.62,-29.34
2022-05-10,-9.01,-8.04,-11.88
2022-05-11,-12.92,-8.5,-21.74
2022-05-12,-15.56,-9.02,-16.19
2022-05-13,-15.95,-9.39,-1.1
2022-05-16,-15.32,-9.77,-9.55
2022-05-17,-15.13,-10.14,-22.76
2022-05-18,-16.19,-10.68,-56.42
2022-05-19,-17.46,-11.17,-53.05
2022-05-20,-19.41,-11.54,-48.13
2022-05-23,-21.15,-11.86,-67.54
2022-05-24,-23.81,-12.08,-90.13
2022-05-25,-24.47,-12.27,-93.52
2022-05-26,-23.57,-12.49,-58.22
2022-05-27,-22.48,-12.44,-75.44
2022-05-31,-21.38,-12.45,-69.69
2022-06-01,-19.47,-12.5,-65.2
2022-06-02,-17.06,-12.61,-56.84
2022-06-03,-16.23,-12.62,-40.1
2022-06-06,-15.69,-12.6,-41.13
2022-06-07,-14.85,-12.4,-40.53
2022-06-08,-13.88,-12.26,-23.24
2022-06-09,-13.89,-12.15,-15.06
2022-06-10,-14.4,-12.17,-15.61
2022-06-13,-15.68,-12.44,-15.12
2022-06-14,-17.1,-12.7,-10.97
2022-06-15,-18.32,-13.0,-9.9
2022-06-16,-20.04,-13.26,-15.33
2022-06-17,-20.79,-13.47,-6.98
2022-06-21,-20.9,-13.6,-21.12
2022-06-22,-21.05,-13.81,-17.79
2022-06-23,-21.02,-13.94,-9.8
2022-06-24,-19.8,-13.99,-15.42
2022-06-27,-19.28,-14.14,-23.99
2022-06-28,-19.16,-14.48,-25.5
2022-06-29,-18.88,-14.81,-16.08
2022-06-30,-19.64,-15.16,-28.19
2022-07-01,-21.16,-15.52,-49.82
2022-07-05,-21.27,-15.8,-17.35
2022-07-06,-21.06,-16.08,-25.17
2022-07-07,-20.52,-16.34,-15.63
2022-07-08,-19.26,-16.56,-10.14
2022-07-11,-18.27,-16.72,-24.36
2022-07-12,-18.51,-16.79,-22.62
2022-07-13,-18.47,-16.72,-17.29
2022-07-14,-19.13,-16.66,-19.01
2022-07-15,-19.52,-16.57,-17.4
2022-07-18,-19.36,-16.39,-15.49
2022-07-19,-18.41,-16.1,-10.34
2022-07-20,-17.19,-15.89,-1.19
2022-07-21,-15.6,-15.62,2.15
2022-07-22,-14.59,-15.43,1.8
2022-07-25,-13.65,-15.37,-5.51
2022-07-26,-14.38,-15.34,-33.26
