Date,rate_HAL_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,86.34
2019-03-01,-0.6,4.45,-5.05,80.93
2019-04-29,-7.06,7.58,-14.64,70.66
2019-06-25,-26.1,7.2,-33.3,50.69
2019-08-21,-38.27,7.24,-45.51,37.61
2019-10-17,-38.55,8.87,-47.42,35.57
2019-12-13,-21.45,13.19,-34.64,49.25
2020-02-12,-26.57,18.03,-44.6,38.59
2020-04-09,-71.04,3.89,-74.93,6.11
2020-06-08,-43.36,14.68,-58.04,24.2
2020-08-04,-47.72,16.26,-63.98,17.84
2020-09-30,-58.06,17.41,-75.47,5.54
2020-11-25,-38.42,24.05,-62.47,19.45
2021-01-26,-37.27,29.15,-66.42,15.22
2021-03-24,-26.79,30.35,-57.14,25.16
2021-05-20,-23.14,36.67,-59.81,22.3
2021-07-19,-33.35,38.99,-72.34,8.89
2021-09-14,-30.95,43.6,-74.55,6.52
2021-11-09,-14.02,49.14,-63.16,18.72
2022-01-06,-12.23,49.24,-61.47,20.52
2022-03-07,23.7,37.68,-13.98,71.37
2022-05-03,25.16,36.93,-11.77,73.74
2022-06-30,7.21,27.61,-20.4,64.5
2022-08-26,6.33,34.27,-27.94,56.42
2022-10-24,18.09,27.92,-9.83,75.81
2022-12-20,27.69,28.33,-0.64,85.65
2023-02-17,24.58,34.71,-10.13,75.49
2023-04-18,15.73,36.36,-20.63,64.25
2023-06-14,9.54,41.83,-32.29,51.77
2023-08-11,38.78,43.86,-5.08,80.9
2023-10-09,40.84,40.69,0.15,86.5
2023-12-05,24.01,46.52,-22.51,62.24
2024-02-02,18.74,55.53,-36.79,46.95
2024-04-02,36.11,61.42,-25.31,59.24
2024-05-29,22.25,63.18,-40.93,42.52
2024-07-26,17.48,67.5,-50.02,32.78
