Date,rate_MO_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,86.86
2019-03-01,7.91,4.45,3.46,90.8
2019-04-29,9.29,7.58,1.71,88.81
2019-06-25,0.68,7.2,-6.52,79.43
2019-08-21,-3.92,7.24,-11.16,74.14
2019-10-17,-7.51,8.87,-16.38,68.19
2019-12-13,3.96,13.19,-9.23,76.34
2020-02-12,-5.32,18.03,-23.35,60.25
2020-04-09,-14.08,3.89,-17.97,66.38
2020-06-08,-10.33,14.68,-25.01,58.36
2020-08-04,-12.73,16.26,-28.99,53.82
2020-09-30,-18.5,17.41,-35.91,45.94
2020-11-25,-15.11,24.05,-39.16,42.23
2021-01-26,-11.5,29.15,-40.65,40.54
2021-03-24,2.69,30.35,-27.66,55.34
2021-05-20,3.71,36.67,-32.96,49.3
2021-07-19,-2.61,38.99,-41.6,39.45
2021-09-14,0.47,43.6,-43.13,37.71
2021-11-09,-6.51,49.14,-55.65,23.44
2022-01-06,2.11,49.24,-47.13,33.15
2022-03-07,9.21,37.68,-28.47,54.42
2022-05-03,14.26,36.93,-22.67,61.03
2022-06-30,-12.4,27.61,-40.01,41.26
2022-08-26,-4.39,34.27,-38.66,42.8
2022-10-24,-5.3,27.92,-33.22,49.0
2022-12-20,-3.29,28.33,-31.62,50.83
2023-02-17,-0.11,34.71,-34.82,47.18
2023-04-18,-3.88,36.36,-40.24,41.0
2023-06-14,-8.15,41.83,-49.98,29.9
2023-08-11,-8.58,43.86,-52.44,27.1
2023-10-09,-10.59,40.69,-51.28,28.42
2023-12-05,-10.84,46.52,-57.36,21.49
2024-02-02,-13.2,55.53,-68.73,8.54
2024-04-02,-10.14,61.42,-71.56,5.31
2024-05-29,-5.81,63.18,-68.99,8.24
2024-07-26,4.49,67.5,-63.01,15.05
