Date,rate_UNH_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-5400.0
2022-01-05,0.0,0.0,-24.74
2022-01-06,0.0,0.0,-202.88
2022-01-07,-1.93,0.0,-247.93
2022-01-10,-2.65,0.0,-183.46
2022-01-11,-3.03,0.0,-374.6
2022-01-12,-3.25,0.0,-470.0
2022-01-13,-3.26,0.0,-125.87
2022-01-14,-3.03,0.0,-115.6
2022-01-18,-3.15,0.0,-55.56
2022-01-19,-3.34,0.0,-15.07
2022-01-20,-3.67,0.0,8.02
2022-01-21,-3.86,0.0,25.93
2022-01-24,-4.05,0.0,24.91
2022-01-25,-4.2,0.0,21.64
2022-01-26,-4.34,0.0,28.11
2022-01-27,-4.39,0.0,40.23
2022-01-28,-4.22,0.0,32.66
2022-01-31,-3.86,-2.9,36.71
2022-02-01,-3.45,-3.04,-3.58
2022-02-02,-2.67,-3.13,58.88
2022-02-03,-1.68,-3.28,121.0
2022-02-04,-1.05,-3.41,94.72
2022-02-07,-0.63,-3.55,97.68
2022-02-08,0.3,-3.64,155.87
2022-02-09,1.0,-3.7,246.96
2022-02-10,0.93,-3.85,114.24
2022-02-11,0.73,-4.04,78.05
2022-02-14,0.38,-4.25,66.18
2022-02-15,-0.2,-4.32,72.55
2022-02-16,-0.88,-4.34,80.9
2022-02-17,-1.51,-4.43,55.14
2022-02-18,-1.91,-4.47,51.54
2022-02-22,-2.37,-4.58,44.12
2022-02-23,-3.1,-4.71,47.57
2022-02-24,-4.04,-4.78,29.11
2022-02-25,-3.83,-4.72,72.46
2022-02-28,-3.52,-4.77,73.84
2022-03-01,-2.97,-4.96,79.67
2022-03-02,-1.96,-5.1,105.38
2022-03-03,-0.76,-5.3,108.96
2022-03-04,0.13,-5.44,142.58
2022-03-07,0.57,-5.73,106.32
2022-03-08,0.45,-6.03,79.46
2022-03-09,0.46,-6.26,104.42
2022-03-10,0.65,-6.57,118.42
2022-03-11,0.03,-6.86,97.83
2022-03-14,0.08,-7.09,108.13
2022-03-15,1.05,-7.21,135.48
2022-03-16,1.56,-7.3,148.65
2022-03-17,2.19,-7.34,196.67
2022-03-18,3.12,-7.24,218.3
2022-03-21,3.91,-7.1,226.26
2022-03-22,4.21,-6.86,260.07
2022-03-23,4.4,-6.6,199.23
2022-03-24,4.66,-6.36,309.54
2022-03-25,4.94,-6.18,348.51
2022-03-28,5.16,-5.97,447.93
2022-03-29,5.38,-5.63,1220.83
2022-03-30,6.09,-5.41,779.82
2022-03-31,5.95,-5.23,303.5
2022-04-01,5.9,-5.01,349.55
2022-04-04,5.74,-4.61,450.34
2022-04-05,5.99,-4.25,352.67
2022-04-06,6.38,-4.04,363.31
2022-04-07,7.43,-3.79,436.77
2022-04-08,8.75,-3.5,467.27
2022-04-11,9.85,-3.25,313.36
2022-04-12,10.48,-3.12,285.42
2022-04-13,10.69,-3.03,347.04
2022-04-14,10.61,-3.06,286.59
2022-04-18,10.13,-3.14,284.49
2022-04-19,10.14,-3.15,372.94
2022-04-20,10.63,-3.21,409.87
2022-04-21,10.65,-3.28,297.38
2022-04-22,10.1,-3.53,192.37
2022-04-25,9.71,-3.79,207.46
2022-04-26,8.76,-4.2,158.59
2022-04-27,7.48,-4.66,160.02
2022-04-28,6.96,-4.98,205.72
2022-04-29,6.47,-5.4,144.23
2022-05-02,5.53,-5.78,132.33
2022-05-03,4.95,-6.19,130.35
2022-05-04,4.68,-6.41,164.38
2022-05-05,3.48,-6.74,119.35
2022-05-06,3.11,-7.12,127.37
2022-05-09,2.53,-7.62,102.46
2022-05-10,2.07,-8.04,104.92
2022-05-11,1.23,-8.5,101.85
2022-05-12,0.59,-9.02,91.8
2022-05-13,0.03,-9.39,100.95
2022-05-16,0.15,-9.77,106.85
2022-05-17,0.33,-10.14,113.73
2022-05-18,-0.27,-10.68,81.71
2022-05-19,-0.28,-11.17,91.81
2022-05-20,-0.26,-11.54,101.25
2022-05-23,-0.15,-11.86,110.67
2022-05-24,0.05,-12.08,117.91
2022-05-25,1.13,-12.27,119.65
2022-05-26,2.08,-12.49,129.36
2022-05-27,2.93,-12.44,145.85
2022-05-31,3.12,-12.45,123.39
2022-06-01,2.91,-12.5,114.13
2022-06-02,2.67,-12.61,116.11
2022-06-03,1.99,-12.62,101.05
2022-06-06,1.3,-12.6,110.04
2022-06-07,1.31,-12.4,125.85
2022-06-08,1.35,-12.26,116.49
2022-06-09,1.23,-12.15,107.09
2022-06-10,1.19,-12.17,99.4
2022-06-13,0.36,-12.44,82.84
2022-06-14,-1.06,-12.7,74.29
2022-06-15,-2.24,-13.0,75.61
2022-06-16,-3.59,-13.26,70.45
2022-06-17,-4.91,-13.47,66.0
2022-06-21,-4.48,-13.6,94.58
2022-06-22,-3.35,-13.81,105.2
2022-06-23,-1.92,-13.94,117.49
2022-06-24,-0.32,-13.99,114.73
2022-06-27,1.85,-14.14,128.03
2022-06-28,2.99,-14.48,128.44
2022-06-29,4.04,-14.81,136.64
2022-06-30,4.6,-15.16,132.92
2022-07-01,5.45,-15.52,139.07
2022-07-05,5.41,-15.8,124.6
2022-07-06,5.66,-16.08,137.73
2022-07-07,5.58,-16.34,139.59
2022-07-08,5.75,-16.56,145.24
2022-07-11,5.74,-16.72,140.35
2022-07-12,6.11,-16.79,135.43
2022-07-13,5.55,-16.72,118.9
2022-07-14,5.07,-16.66,120.07
2022-07-15,5.52,-16.57,157.44
2022-07-18,5.61,-16.39,142.13
2022-07-19,6.38,-16.1,169.06
2022-07-20,7.11,-15.89,150.9
2022-07-21,7.91,-15.62,159.12
2022-07-22,7.57,-15.43,154.13
2022-07-25,7.98,-15.37,166.62
2022-07-26,7.9,-15.34,164.91
2022-07-27,8.51,-15.11,181.61
2022-07-28,9.27,-14.82,202.18
2022-07-29,10.11,-14.42,217.28
2022-08-01,10.29,-14.1,200.21
2022-08-02,10.39,-13.8,196.06
2022-08-03,10.53,-13.46,215.46
2022-08-04,10.18,-13.19,203.49
2022-08-05,9.84,-12.92,204.08
2022-08-08,9.88,-12.6,205.87
2022-08-09,9.93,-12.26,204.16
2022-08-10,9.84,-11.84,221.01
2022-08-11,9.82,-11.41,212.85
2022-08-12,10.07,-11.0,250.28
2022-08-15,10.29,-10.54,258.17
2022-08-16,10.53,-10.19,263.61
2022-08-17,10.74,-9.88,251.92
2022-08-18,11.08,-9.61,256.4
2022-08-19,11.21,-9.34,244.97
2022-08-22,11.21,-9.14,219.48
2022-08-23,10.93,-8.9,205.22
2022-08-24,10.71,-8.76,208.26
2022-08-25,10.61,-8.62,227.73
2022-08-26,10.1,-8.66,186.63
2022-08-29,9.71,-8.71,184.15
2022-08-30,9.37,-8.77,171.28
2022-08-31,8.91,-8.91,164.62
2022-09-01,8.4,-9.02,170.96
2022-09-02,8.01,-9.16,159.1
2022-09-06,7.65,-9.3,159.65
2022-09-07,7.61,-9.36,172.75
2022-09-08,7.87,-9.46,186.8
2022-09-09,7.94,-9.5,192.22
2022-09-12,8.46,-9.55,217.86
2022-09-13,8.28,-9.8,152.71
2022-09-14,7.8,-10.04,147.18
2022-09-15,7.61,-10.31,163.9
2022-09-16,7.47,-10.62,158.06
2022-09-19,7.17,-10.85,164.82
2022-09-20,7.51,-11.07,159.15
2022-09-21,7.59,-11.36,139.32
2022-09-22,7.38,-11.69,144.3
2022-09-23,7.08,-12.13,136.35
2022-09-26,6.48,-12.5,128.96
2022-09-27,5.91,-12.87,128.61
2022-09-28,5.98,-13.15,137.35
2022-09-29,5.64,-13.48,128.41
2022-09-30,5.3,-13.91,122.78
2022-10-03,5.56,-14.17,137.36
2022-10-04,6.12,-14.31,153.66
2022-10-05,6.61,-14.52,158.35
2022-10-06,6.99,-14.79,145.22
2022-10-07,6.95,-15.24,123.87
2022-10-10,6.29,-15.77,116.78
2022-10-11,5.36,-16.14,117.31
2022-10-12,4.28,-16.53,117.25
2022-10-13,3.92,-16.77,130.78
2022-10-14,4.26,-17.07,131.3
2022-10-17,5.19,-17.3,145.17
2022-10-18,6.1,-17.44,148.23
2022-10-19,6.92,-17.53,144.29
2022-10-20,7.37,-17.62,143.31
2022-10-21,8.2,-17.54,165.32
2022-10-24,9.0,-17.38,180.72
2022-10-25,9.73,-17.14,186.89
2022-10-26,10.66,-16.99,187.19
2022-10-27,11.5,-16.77,182.58
2022-10-28,12.21,-16.4,210.97
2022-10-31,12.76,-16.18,212.1
2022-11-01,12.99,-16.09,197.31
2022-11-02,12.94,-16.09,178.62
2022-11-03,12.95,-16.1,174.58
2022-11-04,12.37,-15.93,173.24
2022-11-07,11.89,-15.69,186.89
2022-11-08,12.13,-15.4,201.77
2022-11-09,12.01,-15.19,174.08
2022-11-10,12.04,-14.86,211.19
2022-11-11,11.39,-14.39,176.05
2022-11-14,10.13,-14.06,155.34
2022-11-15,8.12,-13.74,137.75
2022-11-16,6.95,-13.43,151.46
2022-11-17,5.79,-13.09,157.26
2022-11-18,6.11,-12.84,187.51
2022-11-21,6.25,-12.64,161.11
2022-11-22,7.05,-12.46,180.81
2022-11-23,7.78,-12.22,200.33
2022-11-25,8.68,-11.96,217.69
2022-11-28,8.77,-11.86,191.71
2022-11-29,9.21,-11.75,182.36
2022-11-30,10.2,-11.5,259.85
2022-12-01,10.43,-11.13,232.86
2022-12-02,10.33,-10.73,228.9
2022-12-05,10.39,-10.46,205.18
2022-12-06,10.79,-10.29,200.75
2022-12-07,10.55,-10.16,205.69
2022-12-08,10.99,-9.91,222.53
2022-12-09,11.11,-9.91,199.45
2022-12-12,11.54,-9.89,225.91
2022-12-13,11.49,-9.8,217.86
2022-12-14,11.31,-9.78,211.37
2022-12-15,10.49,-9.83,172.09
2022-12-16,9.86,-9.92,159.95
2022-12-19,8.96,-10.07,156.55
2022-12-20,8.23,-10.22,150.36
2022-12-21,7.79,-10.36,167.42
2022-12-22,7.77,-10.59,160.83
2022-12-23,8.08,-10.79,169.45
2022-12-27,8.42,-10.94,168.79
2022-12-28,8.75,-11.14,158.93
2022-12-29,8.84,-11.39,167.81
2022-12-30,8.97,-11.67,167.09
2023-01-03,8.42,-11.94,148.35
2023-01-04,7.29,-12.1,128.38
2023-01-05,5.71,-12.25,105.05
2023-01-06,4.07,-12.29,105.96
2023-01-09,2.43,-12.37,106.02
2023-01-10,1.12,-12.39,99.11
2023-01-11,0.68,-12.41,113.69
2023-01-12,0.91,-12.45,118.87
2023-01-13,0.89,-12.45,106.48
2023-01-17,0.69,-12.34,96.96
2023-01-18,0.3,-12.26,81.24
2023-01-19,-0.07,-12.16,96.29
2023-01-20,-0.43,-11.98,100.4
2023-01-23,-0.58,-11.8,98.43
2023-01-24,-0.31,-11.57,111.28
2023-01-25,0.34,-11.36,113.32
2023-01-26,0.66,-11.09,114.89
2023-01-27,0.64,-10.75,98.85
2023-01-30,0.64,-10.54,98.32
2023-01-31,0.94,-10.26,133.16
2023-02-01,1.11,-9.92,131.44
2023-02-02,0.25,-9.55,41.33
2023-02-03,-0.3,-9.18,54.27
2023-02-06,-0.71,-8.93,67.16
2023-02-07,-1.59,-8.61,66.25
2023-02-08,-2.13,-8.38,90.56
2023-02-09,-1.53,-8.25,98.37
2023-02-10,-0.65,-8.11,122.05
2023-02-13,0.15,-7.95,129.39
2023-02-14,0.78,-7.78,120.92
2023-02-15,1.1,-7.52,116.52
2023-02-16,1.16,-7.29,102.54
2023-02-17,1.35,-7.16,134.65
2023-02-21,1.19,-7.17,110.62
2023-02-22,1.03,-7.18,105.3
2023-02-23,1.05,-7.17,111.95
2023-02-24,0.92,-7.25,95.59
2023-02-27,0.29,-7.33,93.22
2023-02-28,-0.33,-7.38,78.2
2023-03-01,-0.87,-7.49,77.51
2023-03-02,-1.43,-7.62,81.26
2023-03-03,-1.66,-7.75,80.15
2023-03-06,-1.75,-7.83,85.42
2023-03-07,-1.83,-7.95,72.51
2023-03-08,-2.02,-8.12,64.78
2023-03-09,-2.54,-8.32,59.34
2023-03-10,-3.27,-8.55,55.91
2023-03-13,-3.95,-8.79,62.02
2023-03-14,-4.32,-9.01,58.62
2023-03-15,-4.53,-9.26,62.16
2023-03-16,-4.24,-9.45,70.03
2023-03-17,-3.88,-9.63,67.96
2023-03-20,-3.35,-9.75,80.69
2023-03-21,-2.72,-9.73,85.38
2023-03-22,-2.32,-9.77,78.46
2023-03-23,-2.4,-9.83,66.7
2023-03-24,-2.14,-9.82,78.41
2023-03-27,-1.95,-9.83,90.57
2023-03-28,-2.25,-9.82,71.41
2023-03-29,-2.61,-9.75,52.85
2023-03-30,-2.6,-9.68,58.5
2023-03-31,-2.74,-9.62,58.09
2023-04-03,-2.25,-9.54,125.04
2023-04-04,-1.43,-9.41,120.21
2023-04-05,0.27,-9.31,165.99
2023-04-06,1.97,-9.1,180.46
2023-04-10,3.66,-8.83,189.06
2023-04-11,4.73,-8.55,207.51
2023-04-12,5.85,-8.36,202.22
2023-04-13,6.53,-8.08,242.37
2023-04-14,6.49,-7.89,187.15
2023-04-17,6.09,-7.63,168.38
2023-04-18,5.42,-7.41,165.8
2023-04-19,4.01,-7.25,97.4
2023-04-20,2.45,-7.04,101.86
2023-04-21,1.32,-6.84,89.42
2023-04-24,0.66,-6.64,107.16
2023-04-25,0.15,-6.52,114.03
2023-04-26,0.02,-6.42,89.49
2023-04-27,0.14,-6.29,112.41
2023-04-28,0.48,-6.14,120.76
2023-05-01,0.74,-6.06,134.88
2023-05-02,0.79,-6.06,121.17
2023-05-03,1.05,-6.06,107.23
2023-05-04,0.91,-6.08,100.68
2023-05-05,1.0,-6.04,125.66
2023-05-08,0.87,-6.0,120.0
2023-05-09,0.75,-5.98,111.17
2023-05-10,0.78,-5.92,110.91
2023-05-11,0.84,-5.93,106.12
2023-05-12,0.72,-5.93,114.36
2023-05-15,0.49,-5.94,99.46
2023-05-16,0.06,-5.97,76.22
2023-05-17,-0.15,-5.96,91.07
2023-05-18,-0.53,-5.87,62.14
2023-05-19,-1.03,-5.79,61.59
2023-05-22,-1.28,-5.71,69.67
2023-05-23,-1.29,-5.62,71.21
2023-05-24,-1.45,-5.54,79.26
2023-05-25,-1.51,-5.5,63.83
2023-05-26,-1.4,-5.45,72.15
2023-05-30,-1.43,-5.4,63.27
2023-05-31,-1.12,-5.32,100.9
2023-06-01,-0.62,-5.16,137.28
2023-06-02,0.25,-4.9,219.32
2023-06-05,0.92,-4.73,199.12
2023-06-06,1.31,-4.55,125.73
