Date,rate_GOOG_5D,rate_GOOG_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.6299999999999997,,-0.648,
2022-01-10,-2.0780000000000003,,-0.9019999999999999,
2022-01-11,-2.328,,-1.024,
2022-01-12,-1.9420000000000002,,-0.9099999999999999,
2022-01-13,-1.812,,-0.9879999999999999,
2022-01-14,-1.576,,-1.028,
2022-01-18,-1.814,,-1.314,
2022-01-19,-2.272,,-1.8780000000000001,
2022-01-20,-3.1260000000000003,,-2.646,
2022-01-21,-4.074,,-3.4859999999999998,
2022-01-24,-5.0600000000000005,,-4.272,
2022-01-25,-6.13,,-4.998,
2022-01-26,-6.822,,-5.609999999999999,
2022-01-27,-7.306,,-6.144,
2022-01-28,-6.917999999999999,,-6.01,
2022-01-31,-6.262,-3.632,-5.634,-2.8954999999999997
2022-02-01,-4.856,-3.7195,-4.926,-3.035
2022-02-02,-2.4560000000000004,-3.4695,-4.018,-3.1325
2022-02-03,-0.7320000000000001,-3.2765,-3.436,-3.284
2022-02-04,0.526,-3.0695,-3.164,-3.4120000000000004
2022-02-07,0.962,-2.984,-3.2479999999999998,-3.5454999999999997
2022-02-08,1.136,-2.916,-3.3200000000000003,-3.6395000000000004
2022-02-09,0.308,-2.8105,-3.2879999999999994,-3.6985000000000006
2022-02-10,-0.21400000000000002,-2.8445,-3.1759999999999997,-3.8505000000000003
2022-02-11,-1.386,-2.963,-3.504,-4.0409999999999995
2022-02-14,-1.876,-3.059,-3.8340000000000005,-4.247
2022-02-15,-2.25,-3.025,-4.0200000000000005,-4.316
2022-02-16,-2.7779999999999996,-2.9370000000000003,-4.454,-4.3425
2022-02-17,-3.636,-2.972,-4.952,-4.427
2022-02-18,-4.146,-2.9810000000000003,-5.204,-4.4704999999999995
2022-02-22,-4.962,-3.0345,-5.593999999999999,-4.5775
2022-02-23,-6.182,-3.038,-6.590000000000001,-4.714
2022-02-24,-6.847999999999999,-2.9435000000000002,-7.340000000000001,-4.775
2022-02-25,-6.542,-2.7809999999999997,-7.316,-4.720000000000001
2022-02-28,-5.932,-2.7344999999999997,-7.224000000000001,-4.774
2022-03-01,-5.248,-2.7809999999999997,-7.164,-4.96
2022-03-02,-4.236,-2.883,-6.467999999999999,-5.099500000000001
2022-03-03,-3.9859999999999998,-3.3259999999999996,-6.128,-5.3025
2022-03-04,-4.288,-3.6700000000000004,-6.314,-5.439500000000001
2022-03-07,-5.406,-4.217499999999999,-6.9719999999999995,-5.726
2022-03-08,-6.338,-4.606,-7.531999999999999,-6.031000000000001
2022-03-09,-6.434,-4.775499999999999,-7.954000000000001,-6.258
2022-03-10,-6.634,-5.0615,-8.366,-6.572
2022-03-11,-6.843999999999999,-5.3275,-8.86,-6.8605
2022-03-14,-6.806,-5.5725,-8.962,-7.0905000000000005
2022-03-15,-6.470000000000001,-5.7545,-8.55,-7.210000000000001
2022-03-16,-6.484,-5.834,-8.196000000000002,-7.302000000000001
2022-03-17,-6.206,-5.9185,-7.537999999999999,-7.343000000000001
2022-03-18,-5.312,-5.7465,-6.45,-7.235000000000001
2022-03-21,-3.946,-5.5225,-5.236,-7.0985
2022-03-22,-2.4539999999999997,-5.1274999999999995,-4.188,-6.858499999999999
2022-03-23,-1.7759999999999998,-4.7325,-3.7840000000000003,-6.600500000000001
2022-03-24,-0.8299999999999998,-4.414,-3.3899999999999997,-6.3555
2022-03-25,-0.16399999999999998,-4.151999999999999,-3.106,-6.182499999999999
2022-03-28,0.608,-3.8875,-2.69,-5.965000000000001
2022-03-29,1.028,-3.5585,-2.25,-5.63
