Date,rate_MRK_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,70.82
2019-01-31,-0.04,2.79,-2.83,67.53
2019-03-01,7.77,5.82,1.95,73.09
2019-03-29,9.82,6.59,3.23,74.58
2019-04-29,1.33,10.42,-9.09,60.24
2019-05-28,5.78,5.19,0.59,71.51
2019-06-25,12.09,9.51,2.58,73.83
2019-07-24,7.25,12.59,-5.34,64.61
2019-08-21,12.32,8.26,4.06,75.55
2019-09-19,8.52,11.09,-2.57,67.83
2019-10-17,8.08,10.2,-2.12,68.35
2019-11-14,8.85,13.63,-4.78,65.26
2019-12-13,14.48,16.06,-1.58,68.98
2020-01-14,15.05,19.31,-4.26,65.86
2020-02-12,6.33,22.17,-15.84,52.38
2020-03-12,-4.88,-7.39,2.51,73.75
2020-04-09,5.32,4.54,0.78,71.73
2020-05-08,-2.38,9.68,-12.06,56.78
2020-06-08,5.79,20.77,-14.98,53.38
2020-07-07,0.49,16.81,-16.32,51.82
2020-08-04,4.42,22.24,-17.82,50.08
2020-09-01,6.5,26.62,-20.12,47.4
2020-09-30,4.83,22.37,-17.54,50.4
2020-10-28,-3.66,18.79,-22.45,44.69
2020-11-25,1.24,31.0,-29.76,36.17
2020-12-24,1.29,32.65,-31.36,34.31
2021-01-26,1.36,37.29,-35.93,28.99
2021-02-24,-5.72,39.48,-45.2,18.2
2021-03-24,-3.49,38.31,-41.8,22.16
2021-04-22,-1.27,44.93,-46.2,17.03
2021-05-20,0.92,45.12,-44.2,19.36
2021-06-18,1.78,44.74,-42.96,20.81
2021-07-19,2.3,46.9,-44.6,18.9
2021-08-16,2.66,52.69,-50.03,12.57
2021-09-14,-3.43,50.65,-54.08,7.86
2021-10-12,6.13,46.96,-40.83,23.29
2021-11-09,10.09,57.28,-47.19,15.88
2021-12-08,-2.5,57.14,-59.64,1.39
2022-01-06,4.89,55.71,-50.82,11.65
2022-02-04,4.44,48.73,-44.29,19.26
2022-03-07,3.32,38.56,-35.24,29.79
2022-04-04,10.79,50.04,-39.25,25.13
2022-05-03,15.33,36.37,-21.04,46.33
2022-06-01,20.37,33.73,-13.36,55.27
2022-06-30,21.05,23.28,-2.23,68.23
2022-07-29,18.0,34.14,-16.14,52.03
2022-08-26,17.41,32.25,-14.84,53.55
2022-09-26,14.26,20.34,-6.08,63.74
2022-10-24,28.74,24.25,4.49,76.05
2022-11-21,39.14,29.08,10.06,82.54
2022-12-20,43.95,24.09,19.86,93.95
2023-01-20,43.67,28.72,14.95,88.23
2023-02-17,42.62,31.99,10.63,83.2
2023-03-20,37.35,27.76,9.59,81.99
2023-04-18,48.43,33.44,14.99,88.28
2023-05-16,49.44,31.79,17.65,91.37
2023-06-14,39.4,39.9,-0.5,70.24
2023-07-14,37.22,43.27,-6.05,63.78
2023-08-11,36.5,42.01,-5.51,64.41
2023-09-11,37.72,42.23,-4.51,65.57
2023-10-09,32.23,36.77,-4.54,65.54
2023-11-06,31.67,37.4,-5.73,64.15
2023-12-05,33.47,43.51,-10.04,59.13
2024-01-04,46.3,46.32,-0.02,70.8
2024-02-02,57.39,54.14,3.25,74.61
2024-03-04,53.87,59.08,-5.21,64.76
2024-04-02,61.02,60.46,0.56,71.48
2024-04-30,59.64,55.27,4.37,75.91
2024-05-29,54.94,62.08,-7.14,62.51
2024-06-27,59.66,68.1,-8.44,61.0
2024-07-26,53.74,66.24,-12.5,56.27
