Date,rate_BA,rate_BA_5D,rate_BA_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,1.38,,,-0.02,,
2022-01-05,1.25,,,-0.97,,
2022-01-06,0.83,,,-1.04,,
2022-01-07,1.83,1.058,,-1.21,-0.648,
2022-01-10,0.35,1.128,,-1.27,-0.9019999999999999,
2022-01-11,2.74,1.4,,-0.63,-1.024,
2022-01-12,3.25,1.8,,-0.4,-0.9099999999999999,
2022-01-13,5.55,2.744,,-1.43,-0.9879999999999999,
2022-01-14,6.28,3.6340000000000003,,-1.41,-1.028,
2022-01-18,5.94,4.752,,-2.7,-1.314,
2022-01-19,3.12,4.828,,-3.45,-1.8780000000000001,
2022-01-20,2.09,4.596,,-4.24,-2.646,
2022-01-21,-1.03,3.2800000000000002,,-5.63,-3.4859999999999998,
2022-01-24,-1.47,1.7299999999999998,,-5.34,-4.272,
2022-01-25,-1.52,0.238,,-6.33,-4.998,
2022-01-26,-5.64,-1.514,,-6.51,-5.609999999999999,
2022-01-27,-7.53,-3.4379999999999997,,-6.91,-6.144,
2022-01-28,-7.19,-4.67,,-4.96,-6.01,
2022-01-31,-3.14,-5.004,0.3545,-3.46,-5.634,-2.8954999999999997
2022-02-01,0.48,-4.604,0.3785,-2.79,-4.926,-3.035
2022-02-02,0.13,-3.45,0.316,-1.97,-4.018,-3.1325
2022-02-03,-0.36,-2.0159999999999996,0.23550000000000004,-4.0,-3.436,-3.284
2022-02-04,-0.34,-0.6459999999999998,0.17700000000000002,-3.6,-3.164,-3.4120000000000004
2022-02-07,2.04,0.39000000000000024,0.18750000000000003,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,2.65,0.8240000000000002,0.30250000000000005,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,3.83,1.5640000000000003,0.35700000000000004,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,5.15,2.6660000000000004,0.45200000000000007,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,2.21,3.1760000000000006,0.28500000000000003,-5.24,-3.504,-4.0409999999999995
2022-02-14,1.18,3.0040000000000004,0.030000000000000037,-5.53,-3.8340000000000005,-4.247
