Date,rate_VFH,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,1.14,0.0,0.0
2022-01-05,0.41,0.0,0.0
2022-01-06,1.24,0.0,0.0
2022-01-07,1.73,0.9039999999999999,0.0
2022-01-10,1.59,1.222,0.0
2022-01-11,2.32,1.458,0.0
2022-01-12,2.33,1.842,0.0
2022-01-13,2.03,2.0,0.0
2022-01-14,1.35,1.924,0.0
2022-01-18,-0.35,1.536,0.0
2022-01-19,-1.69,0.734,0.0
2022-01-20,-2.28,-0.188,0.0
2022-01-21,-3.67,-1.3279999999999998,0.0
2022-01-24,-3.41,-2.2800000000000002,0.0
2022-01-25,-3.14,-2.838,0.0
2022-01-26,-3.18,-3.136,0.0
2022-01-27,-3.91,-3.4620000000000006,0.0
2022-01-28,-2.8,-3.2880000000000003,0.0
2022-01-31,-1.78,-2.962,-0.6035
2022-02-01,-0.53,-2.44,-0.6300000000000001
2022-02-02,-0.1,-1.8239999999999998,-0.6920000000000001
2022-02-03,-1.14,-1.27,-0.7695000000000001
2022-02-04,0.31,-0.648,-0.8160000000000001
2022-02-07,0.65,-0.162,-0.8699999999999999
2022-02-08,1.89,0.32199999999999995,-0.8550000000000001
2022-02-09,2.39,0.82,-0.8515
2022-02-10,1.61,1.3699999999999999,-0.8875
2022-02-11,0.13,1.334,-0.9824999999999999
2022-02-14,-0.89,1.026,-1.0945
2022-02-15,0.71,0.79,-1.0414999999999999
2022-02-16,0.79,0.47000000000000003,-0.9175000000000001
2022-02-17,-1.73,-0.198,-0.89
2022-02-18,-1.8,-0.584,-0.7965000000000001
2022-02-22,-2.38,-0.882,-0.745
2022-02-23,-4.06,-1.8359999999999999,-0.791
2022-02-24,-4.97,-2.9879999999999995,-0.8805
2022-02-25,-1.97,-3.036,-0.7835
2022-02-28,-3.14,-3.304,-0.8004999999999999
2022-03-01,-6.56,-4.14,-1.0394999999999999
2022-03-02,-4.16,-4.16,-1.2209999999999999
2022-03-03,-4.58,-4.081999999999999,-1.4449999999999998
2022-03-04,-6.53,-4.994,-1.7145
2022-03-07,-10.05,-6.3759999999999994,-2.2325000000000004
2022-03-08,-10.37,-7.138,-2.7835
2022-03-09,-7.16,-7.7379999999999995,-3.2359999999999998
2022-03-10,-7.8,-8.382000000000001,-3.7455
2022-03-11,-8.41,-8.758,-4.2465
2022-03-14,-7.63,-8.274,-4.6345
2022-03-15,-6.5,-7.5,-4.915
2022-03-16,-3.75,-6.818,-5.138
2022-03-17,-2.81,-5.819999999999999,-5.318
2022-03-18,-2.38,-4.613999999999999,-5.350499999999999
2022-03-21,-2.65,-3.6179999999999994,-5.393
2022-03-22,-1.0,-2.5179999999999993,-5.324
2022-03-23,-2.94,-2.3559999999999994,-5.268
2022-03-24,-2.61,-2.3159999999999994,-5.15
2022-03-25,-1.46,-2.1319999999999992,-5.124499999999999
2022-03-28,-1.75,-1.9519999999999995,-5.055
2022-03-29,-1.1,-1.9719999999999995,-4.782
2022-03-30,-2.08,-1.7999999999999994,-4.678
2022-03-31,-4.21,-2.119999999999999,-4.6594999999999995
2022-04-01,-4.19,-2.6659999999999995,-4.5424999999999995
2022-04-04,-4.48,-3.2119999999999997,-4.264
2022-04-05,-5.36,-4.063999999999999,-4.0135
2022-04-06,-6.14,-4.8759999999999994,-3.9625
2022-04-07,-6.49,-5.331999999999999,-3.897
2022-04-08,-5.78,-5.6499999999999995,-3.7655000000000003
2022-04-11,-6.21,-5.9959999999999996,-3.6945
2022-04-12,-7.1,-6.343999999999999,-3.7245
2022-04-13,-6.82,-6.4799999999999995,-3.878
2022-04-14,-7.86,-6.754,-4.1305
2022-04-18,-7.39,-7.075999999999999,-4.381
2022-04-19,-5.96,-7.025999999999999,-4.5465
2022-04-20,-5.22,-6.65,-4.757499999999999
2022-04-21,-6.81,-6.647999999999999,-4.951
2022-04-22,-9.5,-6.975999999999999,-5.2955
2022-04-25,-9.34,-7.366,-5.689500000000001
2022-04-26,-11.71,-8.516,-6.1875
2022-04-27,-11.86,-9.844,-6.725499999999999
2022-04-28,-10.57,-10.596,-7.15
2022-04-29,-13.69,-11.434,-7.624
2022-05-02,-12.93,-12.152,-8.061
2022-05-03,-11.84,-12.178,-8.428999999999998
2022-05-04,-9.21,-11.648,-8.621500000000001
2022-05-05,-11.78,-11.889999999999999,-8.9035
2022-05-06,-12.53,-11.657999999999998,-9.2055
2022-05-09,-14.61,-11.994,-9.647
2022-05-10,-15.36,-12.697999999999999,-10.1045
2022-05-11,-16.28,-14.112,-10.563500000000001
2022-05-12,-16.69,-15.094,-11.057
2022-05-13,-15.33,-15.654,-11.430499999999999
2022-05-16,-15.92,-15.916,-11.857000000000001
2022-05-17,-13.58,-15.559999999999999,-12.238
2022-05-18,-15.89,-15.482,-12.7715
2022-05-19,-16.49,-15.441999999999998,-13.255500000000001
2022-05-20,-16.55,-15.685999999999998,-13.608
2022-05-23,-14.11,-15.323999999999998,-13.8465
2022-05-24,-14.38,-15.484,-13.979999999999999
2022-05-25,-13.58,-15.022,-14.065999999999999
2022-05-26,-11.5,-14.023999999999997,-14.1125
2022-05-27,-9.9,-12.693999999999999,-13.922999999999998
2022-05-31,-10.24,-11.919999999999998,-13.788499999999999
2022-06-01,-11.38,-11.319999999999999,-13.7655
2022-06-02,-9.97,-10.597999999999999,-13.803500000000003
2022-06-03,-11.24,-10.546,-13.776499999999999
2022-06-06,-10.93,-10.751999999999999,-13.6965
2022-06-07,-10.25,-10.754,-13.4785
2022-06-08,-11.81,-10.84,-13.300999999999998
2022-06-09,-14.03,-11.651999999999997,-13.1885
2022-06-10,-17.1,-12.824000000000002,-13.209
2022-06-13,-19.81,-14.6,-13.433000000000002
2022-06-14,-20.32,-16.613999999999997,-13.653
2022-06-15,-19.47,-18.145999999999997,-13.9475
2022-06-16,-21.76,-19.692,-14.241000000000003
2022-06-17,-21.32,-20.535999999999994,-14.482500000000002
