Date,rate_LRCX_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-4400.0
2022-01-05,0.0,0.0,-132.99
2022-01-06,0.0,0.0,-51.92
2022-01-07,-1.7,0.0,-211.57
2022-01-10,-2.52,0.0,-222.83
2022-01-11,-2.98,0.0,-403.17
2022-01-12,-2.88,0.0,-347.5
2022-01-13,-2.92,0.0,-22.38
2022-01-14,-1.61,0.0,296.45
2022-01-18,-1.3,0.0,5.19
2022-01-19,-1.94,0.0,-84.35
2022-01-20,-3.34,0.0,-107.08
2022-01-21,-5.03,0.0,-81.88
2022-01-24,-7.3,0.0,-60.3
2022-01-25,-9.34,0.0,-101.9
2022-01-26,-10.42,0.0,-80.03
2022-01-27,-12.05,0.0,-145.01
2022-01-28,-13.24,0.0,-226.41
2022-01-31,-14.04,-2.9,-263.29
2022-02-01,-13.93,-3.04,-338.71
2022-02-02,-13.45,-3.13,-374.11
2022-02-03,-12.53,-3.28,-208.25
2022-02-04,-12.01,-3.41,-277.5
2022-02-07,-12.42,-3.55,-276.03
2022-02-08,-12.75,-3.64,-341.59
2022-02-09,-12.81,-3.7,-430.94
2022-02-10,-12.61,-3.85,-229.65
2022-02-11,-13.12,-4.04,-208.4
2022-02-14,-13.48,-4.25,-196.56
2022-02-15,-12.97,-4.32,-177.94
2022-02-16,-13.38,-4.34,-193.47
2022-02-17,-13.76,-4.43,-122.93
2022-02-18,-13.47,-4.47,-126.62
2022-02-22,-13.43,-4.58,-116.44
2022-02-23,-14.9,-4.71,-105.96
2022-02-24,-15.71,-4.78,-103.62
2022-02-25,-15.92,-4.72,-145.78
2022-02-28,-16.17,-4.77,-164.24
2022-03-01,-16.6,-4.96,-155.43
2022-03-02,-16.16,-5.1,-195.52
2022-03-03,-16.6,-5.3,-197.51
2022-03-04,-17.82,-5.44,-202.37
2022-03-07,-19.72,-5.73,-172.56
2022-03-08,-21.1,-6.03,-153.11
2022-03-09,-22.09,-6.26,-178.8
2022-03-10,-23.36,-6.57,-200.49
2022-03-11,-24.54,-6.86,-185.02
2022-03-14,-25.11,-7.09,-187.5
2022-03-15,-25.26,-7.21,-228.28
2022-03-16,-25.3,-7.3,-265.88
2022-03-17,-24.43,-7.34,-315.21
2022-03-18,-22.63,-7.24,-357.82
2022-03-21,-20.65,-7.1,-388.06
2022-03-22,-18.84,-6.86,-532.46
2022-03-23,-18.36,-6.6,-393.59
2022-03-24,-17.49,-6.36,-450.53
2022-03-25,-17.19,-6.18,-571.49
2022-03-28,-16.6,-5.97,-812.43
2022-03-29,-15.95,-5.63,-2758.33
2022-03-30,-15.44,-5.41,-1431.19
2022-03-31,-15.98,-5.23,-611.67
2022-04-01,-16.72,-5.01,-769.2
2022-04-04,-17.24,-4.61,-1144.14
2022-04-05,-19.03,-4.25,-765.65
2022-04-06,-20.39,-4.04,-557.42
2022-04-07,-21.28,-3.79,-632.9
2022-04-08,-22.27,-3.5,-633.33
2022-04-11,-24.0,-3.25,-441.09
2022-04-12,-25.08,-3.12,-431.06
2022-04-13,-25.82,-3.03,-543.03
2022-04-14,-27.21,-3.06,-452.14
2022-04-18,-27.83,-3.14,-414.21
2022-04-19,-27.72,-3.15,-575.77
2022-04-20,-27.29,-3.21,-555.19
2022-04-21,-27.38,-3.28,-417.98
2022-04-22,-27.18,-3.53,-263.99
2022-04-25,-27.0,-3.79,-261.33
2022-04-26,-27.65,-4.2,-196.38
2022-04-27,-28.39,-4.66,-203.8
2022-04-28,-27.94,-4.98,-238.16
2022-04-29,-27.87,-5.4,-160.57
2022-05-02,-27.63,-5.78,-154.75
2022-05-03,-26.64,-6.19,-155.2
2022-05-04,-25.03,-6.41,-207.58
2022-05-05,-24.97,-6.74,-148.27
2022-05-06,-24.45,-7.12,-140.02
2022-05-09,-25.41,-7.62,-125.09
2022-05-10,-26.18,-8.04,-114.9
2022-05-11,-27.92,-8.5,-107.27
2022-05-12,-28.54,-9.02,-92.69
2022-05-13,-28.1,-9.39,-84.62
2022-05-16,-27.02,-9.77,-91.3
2022-05-17,-25.4,-10.14,-79.89
2022-05-18,-24.48,-10.68,-74.1
2022-05-19,-24.12,-11.17,-73.08
2022-05-20,-24.66,-11.54,-71.28
2022-05-23,-24.64,-11.86,-80.7
2022-05-24,-25.9,-12.08,-86.14
2022-05-25,-25.59,-12.27,-77.12
2022-05-26,-24.46,-12.49,-74.33
2022-05-27,-22.73,-12.44,-78.71
2022-05-31,-21.61,-12.45,-86.45
2022-06-01,-20.43,-12.5,-93.73
2022-06-02,-19.23,-12.61,-99.23
2022-06-03,-18.96,-12.62,-85.43
2022-06-06,-19.3,-12.6,-86.35
2022-06-07,-19.08,-12.4,-91.81
2022-06-08,-18.88,-12.26,-90.45
2022-06-09,-19.79,-12.15,-81.8
2022-06-10,-20.99,-12.17,-70.6
2022-06-13,-23.09,-12.44,-63.41
2022-06-14,-25.32,-12.7,-59.39
2022-06-15,-27.1,-13.0,-66.59
2022-06-16,-29.38,-13.26,-71.36
2022-06-17,-31.04,-13.47,-72.27
2022-06-21,-31.47,-13.6,-79.22
2022-06-22,-32.2,-13.81,-83.84
2022-06-23,-33.1,-13.94,-94.25
2022-06-24,-32.13,-13.99,-100.55
2022-06-27,-31.21,-14.14,-96.77
2022-06-28,-31.05,-14.48,-86.11
2022-06-29,-31.01,-14.81,-92.97
2022-06-30,-30.95,-15.16,-86.73
2022-07-01,-32.42,-15.52,-124.32
2022-07-05,-34.07,-15.8,-131.85
2022-07-06,-35.27,-16.08,-133.31
2022-07-07,-35.42,-16.34,-127.92
2022-07-08,-35.53,-16.56,-126.87
2022-07-11,-35.29,-16.72,-125.83
2022-07-12,-34.76,-16.79,-112.07
2022-07-13,-34.13,-16.72,-101.73
2022-07-14,-34.0,-16.66,-92.47
2022-07-15,-33.63,-16.57,-103.75
2022-07-18,-32.98,-16.39,-98.95
2022-07-19,-31.71,-16.1,-104.09
2022-07-20,-30.07,-15.89,-91.27
2022-07-21,-28.32,-15.62,-90.6
2022-07-22,-27.18,-15.43,-93.69
2022-07-25,-26.12,-15.37,-102.49
2022-07-26,-26.11,-15.34,-99.23
2022-07-27,-26.03,-15.11,-109.03
2022-07-28,-25.76,-14.82,-105.28
2022-07-29,-24.63,-14.42,-107.3
2022-08-01,-23.12,-14.1,-98.35
2022-08-02,-21.3,-13.8,-90.05
2022-08-03,-19.6,-13.46,-83.44
2022-08-04,-18.27,-13.19,-73.2
2022-08-05,-17.7,-12.92,-85.61
2022-08-08,-17.54,-12.6,-97.33
2022-08-09,-18.23,-12.26,-136.49
2022-08-10,-18.89,-11.84,-140.58
2022-08-11,-19.67,-11.41,-137.33
2022-08-12,-19.72,-11.0,-141.46
2022-08-15,-19.55,-10.54,-153.15
2022-08-16,-18.68,-10.19,-167.69
2022-08-17,-18.62,-9.88,-170.27
2022-08-18,-18.49,-9.61,-169.34
2022-08-19,-19.37,-9.34,-175.13
2022-08-22,-20.61,-9.14,-158.66
2022-08-23,-21.58,-8.9,-147.55
2022-08-24,-22.3,-8.76,-153.48
2022-08-25,-22.81,-8.62,-160.5
2022-08-26,-23.3,-8.66,-134.23
2022-08-29,-23.58,-8.71,-134.48
2022-08-30,-24.04,-8.77,-123.29
2022-08-31,-24.57,-8.91,-119.12
2022-09-01,-25.43,-9.02,-127.72
2022-09-02,-25.79,-9.16,-118.36
2022-09-06,-26.03,-9.3,-117.91
2022-09-07,-26.09,-9.36,-136.61
2022-09-08,-25.83,-9.46,-138.05
2022-09-09,-25.22,-9.5,-151.26
2022-09-12,-24.69,-9.55,-185.18
2022-09-13,-24.93,-9.8,-130.89
2022-09-14,-25.27,-10.04,-135.21
2022-09-15,-26.1,-10.31,-128.35
2022-09-16,-27.41,-10.62,-122.21
2022-09-19,-28.62,-10.85,-133.28
2022-09-20,-29.17,-11.07,-123.95
2022-09-21,-29.92,-11.36,-107.29
2022-09-22,-30.8,-11.69,-110.52
2022-09-23,-31.74,-12.13,-99.82
2022-09-26,-32.99,-12.5,-99.55
2022-09-27,-33.87,-12.87,-92.23
2022-09-28,-34.43,-13.15,-101.18
2022-09-29,-34.97,-13.48,-92.86
2022-09-30,-35.45,-13.91,-84.88
2022-10-03,-34.67,-14.17,-84.01
2022-10-04,-33.71,-14.31,-101.68
2022-10-05,-32.93,-14.52,-100.6
2022-10-06,-31.85,-14.79,-92.08
2022-10-07,-31.39,-15.24,-89.0
2022-10-10,-32.7,-15.77,-104.58
2022-10-11,-35.18,-16.14,-119.95
2022-10-12,-37.75,-16.53,-119.96
2022-10-13,-39.66,-16.77,-129.58
2022-10-14,-41.7,-17.07,-130.67
2022-10-17,-42.9,-17.3,-157.03
2022-10-18,-43.08,-17.44,-165.06
2022-10-19,-42.87,-17.53,-147.96
2022-10-20,-42.34,-17.62,-113.55
2022-10-21,-40.49,-17.54,-125.4
2022-10-24,-38.48,-17.38,-135.34
2022-10-25,-36.51,-17.14,-151.85
2022-10-26,-34.61,-16.99,-133.38
2022-10-27,-33.47,-16.77,-121.88
2022-10-28,-32.23,-16.4,-134.03
2022-10-31,-31.18,-16.18,-124.65
2022-11-01,-29.92,-16.09,-108.62
2022-11-02,-29.43,-16.09,-98.48
2022-11-03,-29.13,-16.1,-89.98
