Date,rate_NXPI_5D,rate_VOO_20D
2022-01-03,0.0,0.0
2022-01-10,-1.222,0.0
2022-01-18,-1.2260000000000002,0.0
2022-01-25,-8.702,0.0
2022-02-01,-10.198,-3.035
2022-02-08,-8.661999999999999,-3.6395000000000004
2022-02-15,-10.962,-4.316
2022-02-23,-13.616,-4.714
2022-03-02,-13.574000000000002,-5.099500000000001
2022-03-09,-17.984,-6.258
2022-03-16,-17.324,-7.302000000000001
2022-03-23,-13.084,-6.600500000000001
2022-03-30,-12.274,-5.4055
2022-04-06,-16.804000000000002,-4.0395
2022-04-13,-21.723999999999997,-3.0345
2022-04-21,-18.766000000000002,-3.283
2022-04-28,-20.252,-4.9825
2022-05-05,-17.022,-6.7379999999999995
2022-05-12,-18.43,-9.021
2022-05-19,-16.38,-11.1735
2022-05-26,-14.408000000000001,-12.4885
2022-06-03,-12.028,-12.624500000000001
2022-06-10,-15.460000000000003,-12.1665
2022-06-17,-22.836,-13.472999999999999
2022-06-27,-25.996000000000002,-14.136499999999998
2022-07-05,-29.71,-15.799000000000001
2022-07-12,-28.074,-16.792
2022-07-19,-22.906,-16.103
2022-07-26,-16.412,-15.341
2022-08-02,-13.056000000000001,-13.797
2022-08-09,-13.463999999999999,-12.265
2022-08-16,-12.292,-10.189
2022-08-23,-14.262,-8.9005
2022-08-30,-16.68,-8.774999999999999
2022-09-07,-18.572,-9.361
2022-09-14,-18.240000000000002,-10.045
2022-09-21,-19.68,-11.358
2022-09-28,-22.869999999999997,-13.146
2022-10-05,-22.358,-14.515
2022-10-12,-25.003999999999998,-16.526999999999997
2022-10-19,-28.7,-17.530499999999996
2022-10-26,-26.657999999999998,-16.9855
2022-11-02,-24.616,-16.0925
2022-11-09,-21.486,-15.1905
2022-11-16,-14.122,-13.4275
2022-11-23,-12.776,-12.2225
2022-12-01,-13.594,-11.129999999999999
2022-12-08,-14.594,-9.906000000000002
2022-12-15,-13.014000000000001,-9.8325
2022-12-22,-17.96,-10.587
2022-12-30,-20.491999999999997,-11.6705
2023-01-09,-19.216,-12.3735
2023-01-17,-13.09,-12.342
2023-01-24,-12.764,-11.571000000000002
2023-01-31,-7.758000000000001,-10.261
2023-02-07,-1.462,-8.622
2023-02-14,-3.364,-7.788500000000001
2023-02-22,-4.343999999999999,-7.13
2023-03-01,-7.9799999999999995,-7.291500000000001
2023-03-08,-6.82,-7.797
2023-03-15,-8.809999999999999,-8.797
2023-03-22,-7.674000000000001,-9.2245
2023-03-29,-8.629999999999999,-9.2135
2023-04-05,-7.075999999999999,-8.7515
2023-04-13,-11.352,-7.529999999999999
2023-04-20,-10.48,-6.487
2023-04-27,-14.0,-5.71
2023-05-04,-13.578,-5.5115
2023-05-11,-13.937999999999999,-5.372999999999999
2023-05-18,-12.22,-5.331
2023-05-25,-10.162,-5.012
2023-06-02,-6.026,-4.4185
2023-06-09,-4.726000000000001,-3.5035000000000003
2023-06-16,1.2799999999999998,-2.1095
2023-06-26,0.1619999999999998,-0.909
2023-07-03,4.787999999999999,0.158
2023-07-11,7.134,0.8550000000000001
2023-07-18,11.874,1.5095
2023-07-25,11.028,2.4925
2023-08-01,14.362,3.3534999999999995
2023-08-08,11.370000000000001,3.8815
2023-08-15,8.440000000000001,3.7574999999999994
2023-08-22,4.8340000000000005,3.1209999999999996
2023-08-29,5.287999999999999,2.553
2023-09-06,8.088,2.5675
2023-09-13,5.428,2.5520000000000005
2023-09-20,3.694,2.757
2023-09-27,2.3739999999999997,1.9904999999999997
2023-10-04,3.7079999999999997,0.6875
2023-10-11,4.064,-0.14999999999999997
2023-10-18,3.002,-0.7985
2023-10-25,-4.464,-1.3015
2023-11-01,-8.76,-1.8679999999999999
2023-11-08,-4.833999999999999,-1.6644999999999999
2023-11-15,-1.0879999999999996,-1.1485
2023-11-22,4.8580000000000005,0.6034999999999999
2023-11-30,5.178000000000001,2.8325
2023-12-07,7.856,4.0665
2023-12-14,15.445999999999998,5.3055
2023-12-21,19.114,6.3225
2023-12-29,19.93,7.342499999999999
2024-01-08,11.264,8.0025
2024-01-16,10.3,8.5305
2024-01-23,12.956,8.913
2024-01-30,14.053999999999998,9.5715
2024-02-06,13.2,10.552000000000001
2024-02-13,20.246,11.5735
2024-02-21,21.878,12.3935
2024-02-28,26.47,13.2055
2024-03-06,31.111999999999995,14.0815
2024-03-13,32.154,14.807999999999998
2024-03-20,25.366000000000003,15.602500000000001
2024-03-27,27.352000000000004,16.2195
2024-04-04,27.236,16.558500000000002
2024-04-11,27.677999999999997,16.6065
2024-04-18,19.195999999999998,15.847999999999999
2024-04-25,18.374000000000002,14.757
2024-05-02,30.338,13.992499999999998
2024-05-09,34.884,13.9085
2024-05-16,38.746,15.009
2024-05-23,41.885999999999996,16.4645
2024-05-31,42.56,17.635
2024-06-07,40.664,18.4095
2024-06-14,42.952000000000005,19.1655
2024-06-24,39.848,20.0355
2024-07-01,39.010000000000005,20.9785
2024-07-09,41.728,21.9575
