Date,rate_MCD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,81.79
2019-03-01,0.83,4.45,-3.62,75.31
2019-04-29,5.54,7.58,-2.04,78.14
2019-06-25,8.89,7.2,1.69,84.81
2019-08-21,14.74,7.24,7.5,95.21
2019-10-17,9.33,8.87,0.46,82.61
2019-12-13,5.54,13.19,-7.65,68.1
2020-02-12,13.47,18.03,-4.56,73.63
2020-04-09,0.3,3.89,-3.59,75.37
2020-06-08,7.69,14.68,-6.99,69.28
2020-08-04,6.41,16.26,-9.85,64.17
2020-09-30,14.26,17.41,-3.15,76.15
2020-11-25,14.2,24.05,-9.85,64.17
2021-01-26,12.66,29.15,-16.49,52.29
2021-03-24,16.04,30.35,-14.31,56.19
2021-05-20,19.21,36.67,-17.46,50.55
2021-07-19,18.07,38.99,-20.92,44.36
2021-09-14,22.7,43.6,-20.9,44.4
2021-11-09,27.19,49.14,-21.95,42.52
2022-01-06,33.84,49.24,-15.4,54.24
2022-03-07,16.15,37.68,-21.53,43.27
2022-05-03,24.55,36.93,-12.38,59.64
2022-06-30,24.94,27.61,-2.67,77.01
2022-08-26,28.87,34.27,-5.4,72.13
2022-10-24,28.23,27.92,0.31,82.34
2022-12-20,32.89,28.33,4.56,89.95
2023-02-17,33.96,34.71,-0.75,80.45
2023-04-18,42.11,36.36,5.75,92.08
2023-06-14,41.15,41.83,-0.68,80.57
2023-08-11,41.22,43.86,-2.64,77.07
2023-10-09,26.13,40.69,-14.56,55.74
2023-12-05,40.41,46.52,-6.11,70.86
2024-02-02,44.51,55.53,-11.02,62.08
2024-04-02,36.98,61.42,-24.44,38.07
2024-05-29,25.91,63.18,-37.27,15.12
2024-07-26,26.94,67.5,-40.56,9.23
