Date,rate_PEP_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,70.52
2019-03-01,6.02,6.13,-0.11,70.35
2019-04-29,15.2,10.74,4.46,77.16
2019-06-25,20.65,9.75,10.9,86.75
2019-08-21,16.9,9.45,7.45,81.61
2019-10-17,19.01,11.38,7.63,81.88
2019-12-13,18.98,17.31,1.67,73.0
2020-02-12,25.01,23.26,1.75,73.12
2020-04-09,13.93,5.35,8.58,83.29
2020-06-08,12.21,21.76,-9.55,56.3
2020-08-04,15.91,23.27,-7.36,59.56
2020-09-30,15.81,22.35,-6.54,60.78
2020-11-25,20.21,30.73,-10.52,54.85
2021-01-26,17.52,37.01,-19.49,41.5
2021-03-24,14.65,38.04,-23.39,35.69
2021-05-20,20.93,45.0,-24.07,34.68
2021-07-19,27.13,46.79,-19.66,41.24
2021-09-14,25.65,49.47,-23.82,35.05
2021-11-09,31.56,55.69,-24.13,34.59
2022-01-06,38.28,54.19,-15.91,46.83
2022-03-07,28.59,37.12,-8.53,57.82
2022-05-03,32.02,34.96,-2.94,66.14
2022-06-30,30.54,22.0,8.54,83.23
2022-08-26,36.97,30.79,6.18,79.72
2022-10-24,39.08,22.72,16.36,94.88
2022-12-20,40.78,22.59,18.19,97.6
2023-02-17,36.05,30.41,5.64,78.92
2023-04-18,41.29,31.87,9.42,84.54
2023-06-14,39.02,38.27,0.75,71.63
2023-08-11,39.49,40.92,-1.43,68.39
2023-10-09,23.72,35.51,-11.79,52.96
2023-12-05,28.12,42.24,-14.12,49.49
2024-02-02,29.83,52.79,-22.96,36.33
2024-04-02,29.47,59.09,-29.62,26.41
2024-05-29,29.01,60.75,-31.74,23.26
2024-07-26,29.64,64.89,-35.25,18.03
