Date,rate_ADBE,rate_ADBE_5D,rate_ADBE_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.91,,,-0.02,,
2022-01-05,-4.4,,,-0.97,,
2022-01-06,-4.43,,,-1.04,,
2022-01-07,-4.73,-2.894,,-1.21,-0.648,
2022-01-10,-3.39,-3.572,,-1.27,-0.9019999999999999,
2022-01-11,-2.85,-3.96,,-0.63,-1.024,
2022-01-12,-2.52,-3.5840000000000005,,-0.4,-0.9099999999999999,
2022-01-13,-4.59,-3.6159999999999997,,-1.43,-0.9879999999999999,
2022-01-14,-4.1,-3.4899999999999998,,-1.41,-1.028,
2022-01-18,-5.07,-3.8259999999999996,,-2.7,-1.314,
2022-01-19,-4.64,-4.184,,-3.45,-1.8780000000000001,
2022-01-20,-5.4,-4.76,,-4.24,-2.646,
2022-01-21,-6.87,-5.216,,-5.63,-3.4859999999999998,
2022-01-24,-4.22,-5.24,,-5.34,-4.272,
2022-01-25,-6.85,-5.596,,-6.33,-4.998,
2022-01-26,-7.15,-6.098,,-6.51,-5.609999999999999,
2022-01-27,-8.35,-6.688,,-6.91,-6.144,
2022-01-28,-4.45,-6.204,,-4.96,-6.01,
2022-01-31,-1.95,-5.75,-4.343500000000001,-3.46,-5.634,-2.8954999999999997
2022-02-01,-1.62,-4.704,-4.4245,-2.79,-4.926,-3.035
2022-02-02,-2.09,-3.692,-4.4835,-1.97,-4.018,-3.1325
2022-02-03,-5.7,-3.162,-4.5485,-4.0,-3.436,-3.284
2022-02-04,-5.26,-3.3239999999999994,-4.590000000000001,-3.6,-3.164,-3.4120000000000004
2022-02-07,-6.31,-4.196,-4.669,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-5.59,-4.99,-4.779,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-3.81,-5.334,-4.827,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-8.37,-5.867999999999999,-5.1194999999999995,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-11.96,-7.208,-5.4879999999999995,-5.24,-3.504,-4.0409999999999995
2022-02-14,-11.96,-8.338,-5.881,-5.53,-3.8340000000000005,-4.247
2022-02-15,-11.0,-9.42,-6.1775,-4.08,-4.0200000000000005,-4.316
2022-02-16,-11.31,-10.92,-6.511,-3.98,-4.454,-4.3425
2022-02-17,-14.8,-12.206,-6.981,-5.93,-4.952,-4.427
2022-02-18,-17.45,-13.304000000000002,-7.51,-6.5,-5.204,-4.4704999999999995
2022-02-22,-18.18,-14.548000000000002,-8.208,-7.48,-5.593999999999999,-4.5775
2022-02-23,-19.74,-16.296,-8.852500000000001,-9.06,-6.590000000000001,-4.714
2022-02-24,-13.74,-16.782,-9.181999999999999,-7.73,-7.340000000000001,-4.775
2022-02-25,-13.44,-16.509999999999998,-9.436499999999999,-5.81,-7.316,-4.720000000000001
2022-02-28,-13.06,-15.632,-9.867,-6.04,-7.224000000000001,-4.774
2022-03-01,-12.84,-14.563999999999998,-10.4115,-7.18,-7.164,-4.96
2022-03-02,-12.06,-13.028,-10.933499999999999,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-14.16,-13.112,-11.536999999999999,-6.03,-6.128,-5.3025
2022-03-04,-15.36,-13.496,-12.02,-6.74,-6.314,-5.439500000000001
2022-03-07,-17.82,-14.448000000000002,-12.648,-9.33,-6.9719999999999995,-5.726
2022-03-08,-18.96,-15.672,-13.2805,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-15.53,-16.366,-13.777499999999998,-7.69,-7.954000000000001,-6.258
2022-03-10,-17.64,-17.062,-14.469000000000003,-8.09,-8.366,-6.572
2022-03-11,-21.64,-18.318,-15.132500000000002,-9.21,-8.86,-6.8605
2022-03-14,-22.51,-19.256000000000004,-15.66,-9.84,-8.962,-7.0905000000000005
2022-03-15,-20.67,-19.598000000000003,-16.0955,-7.92,-8.55,-7.210000000000001
2022-03-16,-16.92,-19.876,-16.3915,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-16.55,-19.658,-16.6535,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-14.93,-18.316000000000003,-16.66,-3.77,-6.45,-7.235000000000001
2022-03-21,-14.88,-16.79,-16.5315,-3.77,-5.236,-7.0985
2022-03-22,-12.55,-15.166,-16.25,-2.68,-4.188,-6.858499999999999
