Date,rate_HD,rate_HD_5D,rate_HD_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.51,,,-0.02,,
2022-01-05,-0.17,,,-0.97,,
2022-01-06,-0.35,,,-1.04,,
2022-01-07,-1.83,-0.368,,-1.21,-0.648,
2022-01-10,-2.58,-0.884,,-1.27,-0.9019999999999999,
2022-01-11,-2.72,-1.53,,-0.63,-1.024,
2022-01-12,-2.22,-1.94,,-0.4,-0.9099999999999999,
2022-01-13,-2.66,-2.402,,-1.43,-0.9879999999999999,
2022-01-14,-5.43,-3.122,,-1.41,-1.028,
2022-01-18,-6.4,-3.886,,-2.7,-1.314,
2022-01-19,-7.7,-4.882000000000001,,-3.45,-1.8780000000000001,
2022-01-20,-9.57,-6.351999999999999,,-4.24,-2.646,
2022-01-21,-9.65,-7.75,,-5.63,-3.4859999999999998,
2022-01-24,-6.94,-8.052,,-5.34,-4.272,
2022-01-25,-7.99,-8.370000000000001,,-6.33,-4.998,
2022-01-26,-8.36,-8.501999999999999,,-6.51,-5.609999999999999,
2022-01-27,-8.55,-8.297999999999998,,-6.91,-6.144,
2022-01-28,-6.34,-7.636,,-4.96,-6.01,
2022-01-31,-6.25,-7.497999999999999,-4.76,-3.46,-5.634,-2.8954999999999997
2022-02-01,-5.66,-7.031999999999999,-5.043,-2.79,-4.926,-3.035
2022-02-02,-4.52,-6.264,-5.294500000000001,-1.97,-4.018,-3.1325
2022-02-03,-6.55,-5.864,-5.6135,-4.0,-3.436,-3.284
2022-02-04,-7.72,-6.14,-5.982,-3.6,-3.164,-3.4120000000000004
2022-02-07,-8.24,-6.537999999999999,-6.3025,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-7.26,-6.858,-6.536499999999999,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-6.56,-7.266,-6.7284999999999995,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-8.79,-7.713999999999999,-7.0569999999999995,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-9.94,-8.158,-7.421000000000001,-5.24,-3.504,-4.0409999999999995
2022-02-14,-9.63,-8.435999999999998,-7.631,-5.53,-3.8340000000000005,-4.247
2022-02-15,-9.21,-8.825999999999999,-7.7715000000000005,-4.08,-4.0200000000000005,-4.316
2022-02-16,-10.0,-9.514,-7.886500000000001,-3.98,-4.454,-4.3425
2022-02-17,-10.53,-9.862,-7.9345,-5.93,-4.952,-4.427
