Date,rate_PYPL_5D,rate_PYPL_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.1039999999999999,,-0.648,
2022-01-10,-1.718,,-0.9019999999999999,
2022-01-11,-1.468,,-1.024,
2022-01-12,-1.3519999999999999,,-0.9099999999999999,
2022-01-13,-1.98,,-0.9879999999999999,
2022-01-14,-2.57,,-1.028,
2022-01-18,-3.232,,-1.314,
2022-01-19,-4.6339999999999995,,-1.8780000000000001,
2022-01-20,-5.72,,-2.646,
2022-01-21,-7.0840000000000005,,-3.4859999999999998,
2022-01-24,-8.352,,-4.272,
2022-01-25,-9.68,,-4.998,
2022-01-26,-11.052,,-5.609999999999999,
2022-01-27,-12.296,,-6.144,
2022-01-28,-12.276,,-6.01,
2022-01-31,-11.366,-5.848,-5.634,-2.8954999999999997
2022-02-01,-9.668,-6.0745,-4.926,-3.035
2022-02-02,-12.072,-7.3065,-4.018,-3.1325
2022-02-03,-15.388,-8.689,-3.436,-3.284
2022-02-04,-19.034,-10.0935,-3.164,-3.4120000000000004
2022-02-07,-23.919999999999998,-11.552,-3.2479999999999998,-3.5454999999999997
2022-02-08,-29.344,-12.981,-3.3200000000000003,-3.6395000000000004
2022-02-09,-30.272000000000002,-14.507500000000002,-3.2879999999999994,-3.6985000000000006
2022-02-10,-30.803999999999995,-16.052,-3.1759999999999997,-3.8505000000000003
2022-02-11,-31.901999999999997,-17.574,-3.504,-4.0409999999999995
2022-02-14,-32.666,-19.076,-3.8340000000000005,-4.247
2022-02-15,-33.164,-20.464000000000002,-4.0200000000000005,-4.316
2022-02-16,-34.478,-21.9685,-4.454,-4.3425
2022-02-17,-35.964,-23.613,-4.952,-4.427
2022-02-18,-37.226,-25.1095,-5.204,-4.4704999999999995
2022-02-22,-38.418,-26.592499999999994,-5.593999999999999,-4.5775
2022-02-23,-40.022,-28.049500000000002,-6.590000000000001,-4.714
2022-02-24,-40.622,-29.360999999999997,-7.340000000000001,-4.775
2022-02-25,-39.995999999999995,-30.538,-7.316,-4.720000000000001
2022-02-28,-39.094,-31.814000000000004,-7.224000000000001,-4.774
2022-03-01,-38.506,-33.377500000000005,-7.164,-4.96
2022-03-02,-37.642,-35.04299999999999,-6.467999999999999,-5.099500000000001
2022-03-03,-37.816,-35.797,-6.128,-5.3025
2022-03-04,-38.788,-36.388,-6.314,-5.439500000000001
2022-03-07,-40.548,-37.1925,-6.9719999999999995,-5.726
2022-03-08,-41.796,-37.846500000000006,-7.531999999999999,-6.031000000000001
2022-03-09,-42.45399999999999,-38.3205,-7.954000000000001,-6.258
2022-03-10,-42.730000000000004,-38.911500000000004,-8.366,-6.572
2022-03-11,-43.076,-39.456,-8.86,-6.8605
2022-03-14,-42.708000000000006,-39.894,-8.962,-7.0905000000000005
2022-03-15,-42.074,-40.1985,-8.55,-7.210000000000001
2022-03-16,-41.182,-40.325,-8.196000000000002,-7.302000000000001
2022-03-17,-39.614,-40.1955,-7.537999999999999,-7.343000000000001
2022-03-18,-37.06,-39.730000000000004,-6.45,-7.235000000000001
2022-03-21,-35.014,-39.340999999999994,-5.236,-7.0985
2022-03-22,-33.008,-38.846000000000004,-4.188,-6.858499999999999
2022-03-23,-32.232,-38.3775,-3.7840000000000003,-6.600500000000001
2022-03-24,-31.782,-37.9855,-3.3899999999999997,-6.3555
2022-03-25,-32.36,-37.821000000000005,-3.106,-6.182499999999999
2022-03-28,-32.184,-37.6135,-2.69,-5.965000000000001
2022-03-29,-31.8,-37.1695,-2.25,-5.63
2022-03-30,-31.356,-36.806,-1.688,-5.4055
