Date,rate_AMZN,rate_VOO,Sector,rate_BKNG,rate_DHI,rate_F,rate_HD,rate_LULU,rate_MAR,rate_MCD,rate_NKE,rate_SBUX,rate_TSLA
2022-01-03,0.0,0.0,Consumer Cyclical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.83,-0.02,Consumer Cyclical,0.06,0.22,5.83,0.51,-0.85,1.24,-0.01,0.52,-1.04,-2.03
2022-01-05,-1.75,-0.97,Consumer Cyclical,-0.81,-1.04,4.34,-0.17,-3.16,0.14,-0.26,-0.73,-2.67,-4.53
2022-01-06,-2.07,-1.04,Consumer Cyclical,-0.53,-1.78,6.17,-0.35,-2.36,0.4,0.2,-1.1,-2.37,-5.48
2022-01-07,-2.27,-1.21,Consumer Cyclical,-0.45,-4.75,6.12,-1.83,-4.07,0.83,-0.28,-2.32,-3.9,-7.01
2022-01-10,-2.58,-1.27,Consumer Cyclical,-0.59,-4.52,4.77,-2.58,-4.92,-0.56,-0.77,-4.3,-4.56,-5.74
2022-01-11,-0.86,-0.63,Consumer Cyclical,0.5,-2.31,6.44,-2.72,-5.25,0.88,-1.4,-4.36,-5.87,-5.34
2022-01-12,-0.93,-0.4,Consumer Cyclical,-0.34,-1.8,6.84,-2.22,-4.08,0.72,-1.74,-3.47,-5.99,-2.65
2022-01-13,-2.7,-1.43,Consumer Cyclical,0.23,-1.56,8.68,-2.66,-7.32,0.56,-1.6,-4.69,-6.96,-7.45
2022-01-14,-2.29,-1.41,Consumer Cyclical,0.03,-2.46,9.25,-5.43,-8.76,-0.22,-2.62,-5.35,-8.47,-6.29
2022-01-18,-3.72,-2.7,Consumer Cyclical,-1.65,-6.21,6.54,-6.4,-8.06,-1.72,-2.96,-5.92,-10.05,-7.52
2022-01-19,-4.89,-3.45,Consumer Cyclical,-1.83,-8.48,0.09,-7.7,-8.37,-4.15,-3.31,-6.78,-10.62,-9.76
2022-01-20,-6.95,-4.24,Consumer Cyclical,-0.41,-9.92,-2.58,-9.57,-10.03,-3.01,-3.89,-7.89,-11.39,-9.72
2022-01-21,-10.96,-5.63,Consumer Cyclical,-2.61,-10.28,-5.92,-9.65,-11.9,-2.87,-3.49,-7.78,-11.0,-13.09
2022-01-24,-10.11,-5.34,Consumer Cyclical,-2.52,-7.92,-6.79,-6.94,-10.21,-3.45,-3.76,-6.36,-9.81,-13.98
2022-01-25,-12.54,-6.33,Consumer Cyclical,-3.12,-9.35,-8.41,-7.99,-13.21,-2.75,-4.72,-6.65,-10.67,-14.89
2022-01-26,-13.13,-6.51,Consumer Cyclical,-1.9,-12.49,-8.69,-8.36,-14.64,-1.84,-4.99,-7.47,-11.8,-13.4
2022-01-27,-12.72,-6.91,Consumer Cyclical,-2.22,-14.09,-10.11,-8.55,-13.75,-4.54,-5.35,-7.11,-12.0,-21.88
2022-01-28,-10.41,-4.96,Consumer Cyclical,-0.66,-12.31,-10.15,-6.34,-11.55,-1.49,-2.95,-6.41,-10.51,-20.53
2022-01-31,-7.43,-3.46,Consumer Cyclical,0.61,-9.55,-7.15,-6.25,-7.36,-0.56,-1.85,-5.23,-9.64,-13.45
2022-02-01,-6.3,-2.79,Consumer Cyclical,0.9,-9.04,-5.44,-5.66,-4.36,0.52,-1.95,-4.98,-8.97,-13.49
2022-02-02,-6.62,-1.97,Consumer Cyclical,0.1,-7.77,-5.56,-4.52,-3.3,-0.68,-0.82,-4.7,-9.82,-15.6
2022-02-03,-13.17,-4.0,Consumer Cyclical,-0.02,-10.2,-8.62,-6.55,-7.97,-0.05,-1.38,-6.64,-11.3,-16.8
2022-02-04,-2.71,-3.6,Consumer Cyclical,0.16,-13.98,-16.58,-7.72,-6.48,0.36,-1.58,-6.6,-12.07,-14.14
2022-02-07,-2.55,-3.88,Consumer Cyclical,1.46,-12.78,-16.87,-8.24,-7.51,2.2,-1.65,-6.74,-11.92,-15.46
2022-02-08,-0.51,-3.15,Consumer Cyclical,3.36,-11.33,-17.62,-7.26,-6.94,5.42,-1.57,-7.72,-12.15,-14.19
2022-02-09,-0.64,-1.81,Consumer Cyclical,6.14,-9.5,-14.86,-6.56,-5.58,6.58,-1.65,-6.06,-10.22,-13.32
2022-02-10,-1.92,-3.44,Consumer Cyclical,6.19,-13.08,-16.04,-8.79,-6.95,7.25,-2.72,-6.93,-11.81,-15.7
2022-02-11,-5.26,-5.24,Consumer Cyclical,2.99,-13.84,-18.36,-9.94,-11.54,4.44,-3.33,-9.74,-13.19,-19.56
2022-02-14,-4.17,-5.53,Consumer Cyclical,3.5,-15.08,-18.76,-9.63,-12.34,5.29,-3.96,-8.89,-13.26,-18.2
2022-02-15,-3.36,-4.08,Consumer Cyclical,6.77,-13.24,-15.96,-9.21,-11.13,11.19,-3.81,-6.41,-12.49,-14.03
2022-02-16,-2.4,-3.98,Consumer Cyclical,9.26,-12.75,-16.27,-10.0,-10.62,12.42,-4.07,-5.84,-11.89,-13.94
2022-02-17,-4.48,-5.93,Consumer Cyclical,6.36,-15.28,-18.4,-10.53,-13.31,9.38,-4.86,-8.14,-13.8,-18.15
2022-02-18,-5.71,-6.5,Consumer Cyclical,6.08,-14.6,-16.14,-10.79,-13.67,7.44,-4.98,-8.04,-13.54,-19.88
2022-02-22,-7.15,-7.48,Consumer Cyclical,2.49,-17.61,-19.53,-18.4,-14.77,6.36,-4.22,-11.0,-13.75,-23.04
2022-02-23,-10.38,-9.06,Consumer Cyclical,0.73,-19.84,-21.06,-20.31,-17.27,3.29,-6.01,-11.85,-16.85,-28.18
