Date,rate_TSLA,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-2.03,0.0,0.0
2022-01-05,-4.53,0.0,0.0
2022-01-06,-5.48,0.0,0.0
2022-01-07,-7.01,-3.81,0.0
2022-01-10,-5.74,-4.958,0.0
2022-01-11,-5.34,-5.619999999999999,0.0
2022-01-12,-2.65,-5.244000000000001,0.0
2022-01-13,-7.45,-5.638,0.0
2022-01-14,-6.29,-5.494,0.0
2022-01-18,-7.52,-5.85,0.0
2022-01-19,-9.76,-6.734,0.0
2022-01-20,-9.72,-8.148,0.0
2022-01-21,-13.09,-9.276,0.0
2022-01-24,-13.98,-10.814,0.0
2022-01-25,-14.89,-12.288,0.0
2022-01-26,-13.4,-13.016000000000002,0.0
2022-01-27,-21.88,-15.447999999999999,0.0
2022-01-28,-20.53,-16.936,0.0
2022-01-31,-13.45,-16.830000000000002,-9.237
2022-02-01,-13.49,-16.55,-9.9115
2022-02-02,-15.6,-16.990000000000002,-10.59
2022-02-03,-16.8,-15.974,-11.2035
2022-02-04,-14.14,-14.696000000000002,-11.636500000000002
2022-02-07,-15.46,-15.098000000000003,-12.059000000000001
2022-02-08,-14.19,-15.238,-12.4815
2022-02-09,-13.32,-14.782000000000002,-12.880500000000001
2022-02-10,-15.7,-14.562000000000001,-13.533000000000001
2022-02-11,-19.56,-15.645999999999997,-14.138499999999999
2022-02-14,-18.2,-16.194,-14.734
2022-02-15,-14.03,-16.162,-15.0595
2022-02-16,-13.94,-16.285999999999998,-15.2685
2022-02-17,-18.15,-16.776,-15.690000000000001
2022-02-18,-19.88,-16.839999999999996,-16.029500000000002
2022-02-22,-23.04,-17.808,-16.482499999999998
2022-02-23,-28.18,-20.637999999999998,-17.147
2022-02-24,-24.9,-22.83,-17.721999999999998
2022-02-25,-24.09,-24.018,-17.8325
2022-02-28,-18.67,-23.776000000000003,-17.7395
2022-03-01,-18.64,-22.896,-17.999000000000002
2022-03-02,-17.28,-20.716,-18.188499999999998
2022-03-03,-20.85,-19.906,-18.451
2022-03-04,-20.94,-19.276,-18.657999999999998
2022-03-07,-23.9,-20.322,-19.145999999999997
2022-03-08,-22.11,-21.016,-19.4785
2022-03-09,-18.97,-21.354,-19.7175
2022-03-10,-20.85,-21.354000000000003,-20.094
2022-03-11,-24.74,-22.114,-20.546
2022-03-14,-27.36,-22.806,-20.936
2022-03-15,-24.1,-23.204,-21.231
2022-03-16,-20.58,-23.526,-21.558500000000002
2022-03-17,-17.69,-22.894,-21.746000000000002
2022-03-18,-14.59,-20.863999999999997,-21.567999999999998
2022-03-21,-13.14,-18.02,-21.231
2022-03-22,-6.44,-14.488,-20.401000000000003
2022-03-23,-5.97,-11.566,-19.2905
2022-03-24,-4.61,-8.95,-18.276
2022-03-25,-4.91,-7.014,-17.317
2022-03-28,2.55,-3.8760000000000003,-16.256
2022-03-29,3.26,-1.936,-15.161000000000001
2022-03-30,2.75,-0.19200000000000017,-14.159500000000003
2022-03-31,1.24,0.978,-13.055000000000001
2022-04-01,1.83,2.326,-11.916500000000001
2022-04-04,7.26,3.268,-10.3585
2022-04-05,2.36,3.088,-9.135000000000002
2022-04-06,-1.76,2.186,-8.2745
2022-04-07,-0.72,1.7939999999999998,-7.267999999999999
2022-04-08,-3.59,0.71,-6.2105
2022-04-11,-8.08,-2.3579999999999997,-5.2465
2022-04-12,-7.07,-4.244,-4.3950000000000005
2022-04-13,-3.82,-4.656000000000001,-3.557
2022-04-14,-7.25,-5.962000000000001,-3.035
