Date,rate_MDLZ,rate_MDLZ_5D,rate_MDLZ_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.36,,,-0.02,,
2022-01-05,1.09,,,-0.97,,
2022-01-06,1.06,,,-1.04,,
2022-01-07,1.19,0.74,,-1.21,-0.648,
2022-01-10,0.8,0.9,,-1.27,-0.9019999999999999,
2022-01-11,1.06,1.0399999999999998,,-0.63,-1.024,
2022-01-12,1.18,1.058,,-0.4,-0.9099999999999999,
2022-01-13,1.49,1.1440000000000001,,-1.43,-0.9879999999999999,
2022-01-14,2.01,1.3079999999999998,,-1.41,-1.028,
2022-01-18,1.18,1.384,,-2.7,-1.314,
2022-01-19,1.44,1.4599999999999997,,-3.45,-1.8780000000000001,
2022-01-20,1.62,1.5479999999999998,,-4.24,-2.646,
2022-01-21,2.3,1.7099999999999997,,-5.63,-3.4859999999999998,
2022-01-24,1.45,1.5979999999999999,,-5.34,-4.272,
2022-01-25,0.63,1.488,,-6.33,-4.998,
2022-01-26,0.15,1.2299999999999998,,-6.51,-5.609999999999999,
2022-01-27,1.27,1.1599999999999997,,-6.91,-6.144,
2022-01-28,-0.11,0.6779999999999998,,-4.96,-6.01,
2022-01-31,0.69,0.5259999999999998,1.043,-3.46,-5.634,-2.8954999999999997
2022-02-01,0.2,0.43999999999999984,1.053,-2.79,-4.926,-3.035
2022-02-02,1.86,0.7819999999999998,1.128,-1.97,-4.018,-3.1325
2022-02-03,1.91,0.9099999999999998,1.169,-4.0,-3.436,-3.284
2022-02-04,0.66,1.0639999999999998,1.1489999999999998,-3.6,-3.164,-3.4120000000000004
2022-02-07,1.28,1.1819999999999997,1.1535,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,2.1,1.5619999999999998,1.2185000000000001,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,1.97,1.5839999999999999,1.264,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,0.27,1.2559999999999998,1.2185000000000001,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,0.17,1.158,1.1525,-5.24,-3.504,-4.0409999999999995
2022-02-14,-0.63,0.776,1.0204999999999997,-5.53,-3.8340000000000005,-4.247
2022-02-15,-1.03,0.14999999999999983,0.9099999999999999,-4.08,-4.0200000000000005,-4.316
2022-02-16,-1.26,-0.49600000000000016,0.775,-3.98,-4.454,-4.3425
2022-02-17,-0.75,-0.7000000000000002,0.6565,-5.93,-4.952,-4.427
2022-02-18,-0.84,-0.9020000000000001,0.49949999999999994,-6.5,-5.204,-4.4704999999999995
2022-02-22,-0.15,-0.8060000000000003,0.41949999999999993,-7.48,-5.593999999999999,-4.5775
2022-02-23,-0.43,-0.6860000000000002,0.36649999999999994,-9.06,-6.590000000000001,-4.714
2022-02-24,-2.81,-0.9960000000000001,0.2185,-7.73,-7.340000000000001,-4.775
2022-02-25,0.27,-0.7920000000000001,0.16849999999999998,-5.81,-7.316,-4.720000000000001
2022-02-28,-1.6,-0.9440000000000002,0.09399999999999997,-6.04,-7.224000000000001,-4.774
2022-03-01,-3.18,-1.5500000000000003,-0.09950000000000003,-7.18,-7.164,-4.96
2022-03-02,-2.67,-1.9980000000000004,-0.24300000000000002,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-2.37,-1.9100000000000001,-0.4545,-6.03,-6.128,-5.3025
2022-03-04,-3.92,-2.748,-0.7460000000000001,-6.74,-6.314,-5.439500000000001
2022-03-07,-5.78,-3.5840000000000005,-1.068,-9.33,-6.9719999999999995,-5.726
2022-03-08,-8.32,-4.612,-1.548,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-7.6,-5.598000000000001,-2.0330000000000004,-7.69,-7.954000000000001,-6.258
2022-03-10,-9.26,-6.976000000000001,-2.5945,-8.09,-8.366,-6.572
2022-03-11,-10.79,-8.35,-3.1475,-9.21,-8.86,-6.8605
2022-03-14,-10.47,-9.288,-3.6795,-9.84,-8.962,-7.0905000000000005
2022-03-15,-7.74,-9.172,-4.035,-7.92,-8.55,-7.210000000000001
2022-03-16,-6.58,-8.968,-4.3125,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-6.1,-8.336,-4.5545,-4.8,-7.537999999999999,-7.343000000000001
