Date,rate_HON,rate_HON_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.53,0.0,0.0
2022-01-05,1.02,0.0,0.0
2022-01-06,0.96,0.0,0.0
2022-01-07,2.14,0.93,0.0
2022-01-10,1.59,1.248,0.0
2022-01-11,2.61,1.6640000000000001,0.0
2022-01-12,3.3,2.12,0.0
2022-01-13,3.72,2.6719999999999997,0.0
2022-01-14,3.09,2.8619999999999997,0.0
2022-01-18,1.64,2.872,0.0
2022-01-19,0.62,2.4739999999999998,0.0
2022-01-20,-0.03,1.8080000000000003,0.0
2022-01-21,-1.39,0.7860000000000001,0.0
2022-01-24,-1.62,-0.156,0.0
2022-01-25,-2.51,-0.986,0.0
2022-01-26,-3.2,-1.75,0.0
2022-01-27,-3.2,-2.3840000000000003,0.0
2022-01-28,-2.64,-2.634,0.0
2022-01-31,-1.61,-2.6320000000000006,-2.8954999999999997
2022-02-01,-1.19,-2.3680000000000003,-3.035
2022-02-02,-0.23,-1.7740000000000002,-3.1325
2022-02-03,-7.04,-2.5420000000000003,-3.284
2022-02-04,-7.15,-3.444,-3.4120000000000004
2022-02-07,-6.72,-4.465999999999999,-3.5454999999999997
2022-02-08,-5.78,-5.3839999999999995,-3.6395000000000004
2022-02-09,-4.84,-6.305999999999999,-3.6985000000000006
2022-02-10,-7.06,-6.31,-3.8505000000000003
2022-02-11,-9.22,-6.724000000000001,-4.0409999999999995
2022-02-14,-9.36,-7.252000000000001,-4.247
2022-02-15,-8.03,-7.702,-4.316
2022-02-16,-8.25,-8.383999999999999,-4.3425
2022-02-17,-10.34,-9.040000000000001,-4.427
2022-02-18,-11.49,-9.494,-4.4704999999999995
2022-02-22,-11.29,-9.88,-4.5775
2022-02-23,-12.97,-10.868,-4.714
2022-02-24,-11.39,-11.496,-4.775
2022-02-25,-8.49,-11.126,-4.720000000000001
2022-02-28,-7.93,-10.414000000000001,-4.774
2022-03-01,-10.52,-10.26,-4.96
2022-03-02,-9.21,-9.508,-5.099500000000001
2022-03-03,-8.72,-8.974,-5.3025
2022-03-04,-8.76,-9.028,-5.439500000000001
2022-03-07,-11.19,-9.680000000000001,-5.726
2022-03-08,-10.68,-9.712,-6.031000000000001
2022-03-09,-9.66,-9.802,-6.258
2022-03-10,-10.15,-10.088,-6.572
2022-03-11,-11.15,-10.565999999999999,-6.8605
2022-03-14,-10.7,-10.468,-7.0905000000000005
2022-03-15,-8.51,-10.034,-7.210000000000001
2022-03-16,-6.96,-9.494,-7.302000000000001
2022-03-17,-6.53,-8.77,-7.343000000000001
