Date,rate_EXR_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,49.62
2019-03-01,2.61,6.13,-3.52,45.94
2019-04-29,9.64,10.74,-1.1,48.47
2019-06-25,12.85,9.75,3.1,52.86
2019-08-21,21.72,9.45,12.27,62.44
2019-10-17,14.4,11.38,3.02,52.77
2019-12-13,2.08,17.31,-15.23,33.71
2020-02-12,11.54,23.26,-11.72,37.37
2020-04-09,2.43,5.35,-2.92,46.57
2020-06-08,4.48,21.76,-17.28,31.56
2020-08-04,4.26,23.27,-19.01,29.76
2020-09-30,5.3,22.35,-17.05,31.8
2020-11-25,9.31,30.73,-21.42,27.24
2021-01-26,13.83,37.01,-23.18,25.4
2021-03-24,26.75,38.04,-11.29,37.82
2021-05-20,39.96,45.0,-5.04,44.35
2021-07-19,59.48,46.79,12.69,62.88
2021-09-14,67.05,49.47,17.58,67.99
2021-11-09,79.22,55.69,23.53,74.2
2022-01-06,94.45,54.19,40.26,91.68
2022-03-07,76.71,37.12,39.59,90.98
2022-05-03,59.7,34.96,24.74,75.47
2022-06-30,47.66,22.0,25.66,76.43
2022-08-26,71.25,30.79,40.46,91.89
2022-10-24,36.77,22.72,14.05,64.3
2022-12-20,20.25,22.59,-2.34,47.17
2023-02-17,30.27,30.41,-0.14,49.47
2023-04-18,27.39,31.87,-4.48,44.94
2023-06-14,17.34,38.27,-20.93,27.75
2023-08-11,8.72,40.92,-32.2,15.98
2023-10-09,0.9,35.51,-34.61,13.46
2023-12-05,13.86,42.24,-28.38,19.97
2024-02-02,19.42,52.79,-33.37,14.75
2024-04-02,20.6,59.09,-38.49,9.4
2024-05-29,14.58,60.75,-46.17,1.38
2024-07-26,34.59,64.89,-30.3,17.96
