Date,rate_ADP,rate_ADP_5D,rate_ADP_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.23,,,-0.02,,
2022-01-05,-0.19,,,-0.97,,
2022-01-06,-0.53,,,-1.04,,
2022-01-07,-1.04,-0.306,,-1.21,-0.648,
2022-01-10,-2.24,-0.7540000000000001,,-1.27,-0.9019999999999999,
2022-01-11,-1.5,-1.1,,-0.63,-1.024,
2022-01-12,-1.7,-1.4020000000000001,,-0.4,-0.9099999999999999,
2022-01-13,-2.54,-1.8039999999999998,,-1.43,-0.9879999999999999,
2022-01-14,-3.52,-2.3,,-1.41,-1.028,
2022-01-18,-4.24,-2.7,,-2.7,-1.314,
2022-01-19,-4.74,-3.3480000000000003,,-3.45,-1.8780000000000001,
2022-01-20,-6.14,-4.236,,-4.24,-2.646,
2022-01-21,-7.13,-5.154000000000001,,-5.63,-3.4859999999999998,
2022-01-24,-6.78,-5.805999999999999,,-5.34,-4.272,
2022-01-25,-7.28,-6.414,,-6.33,-4.998,
2022-01-26,-14.37,-8.34,,-6.51,-5.609999999999999,
2022-01-27,-14.75,-10.062,,-6.91,-6.144,
2022-01-28,-13.71,-11.378,,-4.96,-6.01,
2022-01-31,-11.19,-12.26,-5.168,-3.46,-5.634,-2.8954999999999997
2022-02-01,-11.07,-13.018,-5.721500000000001,-2.79,-4.926,-3.035
2022-02-02,-10.18,-12.180000000000001,-6.242,-1.97,-4.018,-3.1325
2022-02-03,-11.24,-11.478,-6.794500000000001,-4.0,-3.436,-3.284
2022-02-04,-10.81,-10.898,-7.3085,-3.6,-3.164,-3.4120000000000004
2022-02-07,-10.91,-10.841999999999999,-7.802000000000001,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-9.92,-10.612,-8.186,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-8.81,-10.338,-8.5515,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-11.09,-10.308000000000002,-9.020999999999999,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-11.8,-10.506,-9.484,-5.24,-3.504,-4.0409999999999995
2022-02-14,-12.54,-10.832,-9.935,-5.53,-3.8340000000000005,-4.247
2022-02-15,-11.68,-11.184000000000001,-10.307,-4.08,-4.0200000000000005,-4.316
2022-02-16,-11.59,-11.74,-10.6495,-3.98,-4.454,-4.3425
2022-02-17,-13.17,-12.155999999999999,-11.001000000000001,-5.93,-4.952,-4.427
2022-02-18,-13.18,-12.431999999999999,-11.3035,-6.5,-5.204,-4.4704999999999995
2022-02-22,-13.41,-12.606,-11.635000000000002,-7.48,-5.593999999999999,-4.5775
